benzaldehyde,1-methylcyclohexanol,cis-4-methylcyclohexanol,1-propanol,cyclooctanol,cyclopentanol,benzonitrile,4-fluorophenol,cyclobutanol,2-butanol,acetaldehyde,quinoline,2-propanol,benzothiazole,acetone,cycloheptanol,aniline,trans-4-methylcyclohexanol,p-cresol,thianaphthene,ethanol,m-cresol
-25.108,-17.784,-18.037,-20.103,-19.253,-16.832,-24.438,-24.989,-13.179,-22.119,-18.105,-26.988,-20.171,-26.6,-20.272,-19.067,-25.868,-18.611,-28.238,-25.795,-18.24,-27.866
-22.805,-15.481,-15.734,-17.801,-16.95,-14.529,-22.136,-22.687,-10.876,-19.816,-15.802,-24.685,-17.868,-24.297,-17.969,-16.765,-23.565,-16.309,-25.935,-23.493,-15.937,-25.564
-20.502,-15.049,-15.303,-15.498,-16.519,-14.098,-19.833,-20.384,-10.444,-17.514,-13.499,-22.383,-15.566,-21.994,-15.667,-16.333,-21.262,-15.877,-23.632,-21.19,-13.634,-23.261
-18.2,-14.618,-14.871,-13.195,-16.087,-13.666,-17.53,-18.082,-10.013,-15.211,-11.197,-20.08,-13.263,-19.692,-13.364,-15.901,-18.96,-15.445,-21.33,-18.887,-11.332,-20.958
-17.491,-14.186,-14.439,-12.487,-15.655,-13.234,-16.822,-17.373,-9.581,-14.502,-10.488,-19.372,-12.555,-18.983,-12.656,-15.469,-18.251,-15.013,-20.621,-18.179,-10.623,-20.25
-16.783,-13.754,-14.007,-11.778,-15.223,-12.803,-16.113,-16.665,-9.149,-13.794,-9.78,-18.663,-11.846,-18.275,-11.947,-15.038,-17.543,-14.582,-19.913,-17.47,-9.915,-19.541
-16.074,-13.322,-13.576,-11.07,-14.792,-12.371,-15.405,-15.956,-8.717,-13.085,-9.071,-17.955,-11.138,-17.566,-11.239,-14.606,-16.834,-14.15,-19.204,-16.762,-9.206,-18.833
-15.366,-12.891,-13.144,-10.361,-14.36,-11.939,-14.696,-15.248,-8.286,-12.377,-8.363,-17.246,-10.429,-16.858,-10.53,-14.174,-16.126,-13.718,-18.496,-16.053,-8.498,-18.124
-14.657,-12.459,-12.712,-9.653,-13.928,-11.507,-13.988,-14.539,-7.854,-11.669,-7.654,-16.538,-9.721,-16.149,-9.822,-13.742,-15.417,-13.286,-17.787,-15.345,-7.789,-17.416
-13.949,-12.027,-12.281,-8.945,-13.496,-11.076,-13.28,-13.831,-7.422,-10.96,-6.946,-15.829,-9.012,-15.441,-9.113,-13.311,-14.709,-12.855,-17.079,-14.636,-7.081,-16.707
-13.24,-11.596,-11.849,-8.236,-13.065,-10.644,-12.571,-13.122,-6.99,-10.252,-6.237,-15.121,-8.304,-14.732,-8.405,-12.879,-14.0,-12.423,-16.37,-13.928,-6.372,-15.999
-12.532,-11.164,-11.417,-7.528,-12.633,-10.212,-11.863,-12.414,-6.559,-9.543,-5.529,-14.412,-7.595,-14.024,-7.696,-12.447,-13.292,-11.991,-15.662,-13.219,-5.664,-15.29
-11.823,-10.732,-10.985,-6.819,-12.201,-9.78,-11.154,-11.705,-6.127,-8.835,-4.82,-13.704,-6.887,-13.316,-6.988,-12.015,-12.583,-11.56,-14.954,-12.511,-4.956,-14.582
-11.115,-10.3,-10.554,-6.111,-11.769,-9.349,-10.446,-10.997,-5.695,-8.126,-4.112,-12.995,-6.178,-12.607,-6.279,-11.584,-11.875,-11.128,-14.245,-11.802,-4.247,-13.874
-10.407,-9.869,-10.122,-5.402,-11.338,-8.917,-9.737,-10.288,-5.263,-7.418,-3.403,-12.287,-5.47,-11.899,-5.571,-11.152,-11.166,-10.696,-13.537,-11.094,-3.539,-13.165
-9.698,-9.437,-9.69,-4.694,-10.906,-8.485,-9.029,-9.58,-4.832,-6.709,-2.695,-11.578,-4.761,-11.19,-4.862,-10.72,-10.458,-10.264,-12.828,-10.386,-2.83,-12.457
-8.99,-9.005,-9.258,-3.985,-10.474,-8.053,-8.32,-8.871,-4.4,-6.001,-1.986,-10.87,-4.053,-10.482,-4.154,-10.288,-9.749,-9.833,-12.12,-9.677,-2.122,-11.748
-6.687,-8.573,-8.827,-1.683,-10.043,-7.622,-6.018,-6.569,-3.968,-3.698,0.316,-8.567,-1.75,-8.179,-1.851,-9.857,-7.447,-9.401,-9.817,-7.374,0.181,-9.445
-4.384,-7.422,-7.675,0.62,-8.891,-6.47,-3.715,-4.266,-2.817,-1.395,2.619,-6.265,0.553,-5.876,0.451,-8.705,-5.144,-8.25,-7.514,-5.072,2.484,-7.143
-2.082,-6.271,-6.524,2.923,-7.74,-5.319,-1.412,-1.964,-1.666,0.907,4.921,-3.962,2.855,-3.574,2.754,-7.554,-2.842,-7.098,-5.212,-2.769,4.786,-4.84
