Ligand	Mu_ex	Mu_ex_err	B50	B50_err
thianaphthene	-2.32	0.0	-11.72	0.12
p-cresol	-5.13	0.0	-15.58	0.08
acetaldehyde	-3.22	0.0	-6.35	0.08
quinoline	-4.39	0.0	-14.84	0.05
4-fluorophenol	-4.57	0.0	-15.18	0.15
acetone	-3.14	0.0	-8.26	0.15
benzonitrile	-2.88	0.0	-12.21	0.15
2-propanol	-3.08	0.0	-9.61	0.11
aniline	-5.09	0.0	-14.11	0.15
benzothiazole	-4.16	0.0	-15.19	0.04
m-cresol	-4.91	0.0	-15.40	0.17
benzaldehyde	-4.64	0.0	-13.29	0.07
ethanol	-3.3	0.0	-7.92	0.14
2-butanol	-2.87	0.0	-10.20	0.10
1-propanol	-3.04	0.0	-9.04	0.18
cyclobutanol	-3.03	0.01	-10.35	0.13
cyclopentanol	-3.83	0.01	-14.66	0.16
1-methylcyclohexanol	-3.03	0.01	-14.23	0.06
cyclooctanol	-3.91	0.01	-16.52	0.06
cycloheptanol	-3.79	0.01	-16.69	0.22
cis-4-methylcyclohexanol	-3.19	0.01	-15.29	0.06
trans-4-methylcyclohexanol	-3.52	0.01	-16.46	0.15
