Bs_trans-4-methylcyclohexanol,Mean_fit_trans-4-methylcyclohexanol,Bs_cycloheptanol,Mean_fit_cycloheptanol,Bs_cyclooctanol,Mean_fit_cyclooctanol,Bs_cis-4-methylcyclohexanol,Mean_fit_cis-4-methylcyclohexanol,Bs_1-methylcyclohexanol,Mean_fit_1-methylcyclohexanol,Bs_cyclopentanol,Mean_fit_cyclopentanol,Bs_benzothiazole,Mean_fit_benzothiazole,Bs_thianaphthene,Mean_fit_thianaphthene,Bs_4-fluorophenol,Mean_fit_4-fluorophenol,Bs_quinoline,Mean_fit_quinoline,Bs_benzonitrile,Mean_fit_benzonitrile,Bs_m-cresol,Mean_fit_m-cresol,Bs_p-cresol,Mean_fit_p-cresol,Bs_aniline,Mean_fit_aniline,Bs_benzaldehyde,Mean_fit_benzaldehyde,Bs_2-butanol,Mean_fit_2-butanol,Bs_cyclobutanol,Mean_fit_cyclobutanol,Bs_2-propanol,Mean_fit_2-propanol,Bs_1-propanol,Mean_fit_1-propanol,Bs_acetone,Mean_fit_acetone,Bs_ethanol,Mean_fit_ethanol,Bs_acetaldehyde,Mean_fit_acetaldehyde
-28.611,2.3937093485259584e-05,-29.067,2.1321494722565024e-56,-29.253,2.2277277624090757e-07,-28.037,8.068672030562799e-09,-27.784,5.2310781740346566e-09,-26.832,7.4285062498034965e-06,-36.599662211395,3.068742421909525e-11,-35.79511998345707,1.559137260459749e-11,-34.989426140999925,8.331677438266051e-09,-36.9880531265115,2.3479217605013584e-11,-34.43818233596406,9.818015383804512e-10,-37.86615432590532,1.11050618319113e-11,-38.23765867949501,1.078894572676211e-10,-35.86752734039375,1.0648900377977394e-11,-35.10763207168756,7.819151808472825e-10,-32.11871068144321,1.6822652287152185e-11,-23.179000000000002,1.3368705389791257e-05,-30.170743380512054,7.040651776872841e-12,-30.10319713440484,2.94577405847177e-10,-30.27206274967288,1.8565783849150748e-11,-28.2396626411077,1.23269439513231e-09,-28.104570148893263,6.901502545960182e-13
-28.50560535117057,2.6252284080300166e-05,-28.96160535117057,6.350179579217644e-56,-29.14760535117057,2.5288025403209566e-07,-27.931605351170568,9.412784611561901e-09,-27.678605351170567,6.067405692720834e-09,-26.72660535117057,8.228346327623355e-06,-36.45576304440523,3.6108815364295686e-11,-35.6512208164673,1.8091866317536213e-11,-34.845526974010156,9.536937358697905e-09,-36.844153959521734,2.7525771778728688e-11,-34.29428316897429,1.1229248266777948e-09,-37.72225515891555,1.3052633878824144e-11,-38.093759512505244,1.248197479153169e-10,-35.72362817340398,1.2585705419190418e-11,-34.96373290469779,8.978964466070945e-10,-31.974811514453442,1.979816060777137e-11,-23.07360535117057,1.4659416709242133e-05,-30.026844213522285,8.426952626711257e-12,-29.959297967415072,3.422323589233057e-10,-30.12816358268311,2.1820419661957878e-11,-28.09576347411793,1.4254247347246526e-09,-27.960670981903494,8.30555398178702e-13
-28.400210702341138,2.8791392970434136e-05,-28.856210702341137,1.8912736284683046e-55,-29.042210702341137,2.8705672074570514e-07,-27.826210702341136,1.098080499346291e-08,-27.573210702341136,7.037442494717125e-09,-26.621210702341138,9.114305780955157e-06,-36.31186387741546,4.2487976107171253e-11,-35.50732164947753,2.0993381093012573e-11,-34.70162780702039,1.09165500995198e-08,-36.700254792531965,3.226973422880757e-11,-34.15038400198452,1.2843330520991205e-09,-37.57835599192578,1.5341765201612288e-11,-37.949860345515475,1.444067832406981e-10,-35.57972900641421,1.487477347672108e-11,-34.819833737708024,1.031081181902825e-09,-31.830912347463677,2.3299962262803068e-11,-22.96821070234114,1.6074740613213598e-05,-29.88294504653252,1.0086215427679811e-11,-29.815398800425307,3.975966424053191e-10,-29.984264415693346,2.5645602582272018e-11,-27.951864307128165,1.648288239426558e-09,-27.81677181491373,9.99524762687438e-13
-28.294816053511706,3.15760755545598e-05,-28.750816053511706,5.63277918855383e-55,-28.936816053511706,3.258520949374472e-07,-27.720816053511705,1.2810032657589481e-08,-27.467816053511704,8.162565578594212e-09,-26.515816053511706,1.0095656968823324e-05,-36.1679647104257,4.999411073082502e-11,-35.36342248248777,2.436023138691125e-11,-34.557728640030625,1.2495737527609347e-08,-36.5563556255422,3.783130062866167e-11,-34.00648483499476,1.4689419536266622e-09,-37.43445682493602,1.8032357429649215e-11,-37.80596117852571,1.6706746643976168e-10,-35.43582983942445,1.7580173586956867e-11,-34.67593457071826,1.184021172675745e-09,-31.687013180473908,2.7421145438865307e-11,-22.862816053511708,1.7626707501252686e-05,-29.73904587954275,1.2072186252841875e-11,-29.671499633435538,4.6191742519004433e-10,-29.840365248703577,3.014135117456229e-11,-27.807965140138396,1.90599619464443e-09,-27.67287264792396,1.2028694936137141e-12
-28.189421404682275,3.463008128526203e-05,-28.645421404682274,1.677610310291302e-54,-28.831421404682274,3.698906158426755e-07,-27.615421404682273,1.4943980585776373e-08,-27.362421404682273,9.46756962673333e-09,-26.410421404682275,1.1182670552435537e-05,-36.02406554343593,5.882631597838875e-11,-35.219523315498,2.8267046198720872e-11,-34.413829473040856,1.4303370103170591e-08,-36.412456458552434,4.435138192049811e-11,-33.86258566800499,1.6800863759914736e-09,-37.29055765794625,2.1194817558301698e-11,-37.662062011535944,1.9328412222837706e-10,-35.29193067243468,2.0777627560585492e-11,-34.53203540372849,1.359646710577618e-09,-31.543114013484143,3.227126330497303e-11,-22.757421404682276,1.9328509134629488e-05,-29.595146712552985,1.44491937504424e-11,-29.527600466445772,5.366436356232267e-10,-29.69646608171381,3.542521754804035e-11,-27.66406597314863,2.2039964897865954e-09,-27.528973480934194,1.4475829641040141e-12
-28.084026755852843,3.797945610777356e-05,-28.540026755852843,4.9964258476787316e-54,-28.726026755852843,4.198808876782726e-07,-27.51002675585284,1.7433410330641322e-08,-27.25702675585284,1.0981213413268408e-08,-26.305026755852843,1.2386722967529911e-05,-35.88016637644616,6.921886200188303e-11,-35.07562414850823,3.280042328454396e-11,-34.26993030605109,1.6372494684907024e-08,-36.268557291562665,5.199517451338714e-11,-33.71868650101522,1.9215805115631438e-09,-37.14665849095648,2.491190034813898e-11,-37.518162844546175,2.2361476295512365e-10,-35.14803150544491,2.4556629370624997e-11,-34.388136236738724,1.5613227366185276e-09,-31.399214846494374,3.797924625796025e-11,-22.652026755852845,2.1194610732463877e-05,-29.451247545563216,1.7294232847722893e-11,-29.383701299456003,6.234586009240731e-10,-29.552566914724043,4.1635361037959436e-11,-27.520166806158862,2.548588785441687e-09,-27.385074313944425,1.742081289025531e-12
-27.97863210702341,4.1652764458462184e-05,-28.43463210702341,1.4880852304142854e-53,-28.62063210702341,4.76627281405198e-07,-27.40463210702341,2.0337539512046026e-08,-27.15163210702341,1.2736853569903126e-08,-26.19963210702341,1.372041546458942e-05,-35.73626720945639,8.144740626945135e-11,-34.931724981518464,3.806084866741938e-11,-34.12603113906132,1.874093868742534e-08,-36.124658124572896,6.095634579143818e-11,-33.57478733402545,2.1977868013554073e-09,-37.002759323966714,2.928087383852575e-11,-37.37426367755641,2.587049656989208e-10,-35.00413233845514,2.9022950011374396e-11,-34.244237069748955,1.7929133125864916e-09,-31.255315679504605,4.469682927160316e-11,-22.546632107023413,2.3240873884151553e-05,-29.30734837857345,2.0699458734985227e-11,-29.239802132466238,7.24317966818572e-10,-29.408667747734277,4.893416071216864e-11,-27.376267639169093,2.9470576868106213e-09,-27.24117514695466,2.0964927695533437e-12
-27.87323745819398,4.5681332710462925e-05,-28.32923745819398,4.431963408415004e-53,-28.51523745819398,5.410428774065487e-07,-27.29923745819398,2.372545046318063e-08,-27.04623745819398,1.4773179676082233e-08,-26.09423745819398,1.5197705961566946e-05,-35.592368042466624,9.583630525197375e-11,-34.787825814528695,4.4164923992477644e-11,-33.98213197207155,2.1452001635967914e-08,-35.98075895758313,7.146194097844548e-11,-33.43088816703568,2.5136947398009347e-09,-36.858860156976945,3.441606464241712e-11,-37.23036451056664,2.993016131512875e-10,-34.860233171465374,3.430159793712008e-11,-34.100337902759186,2.0588556554946592e-09,-31.11141651251484,5.260258545846531e-11,-22.44123745819398,2.548469132108786e-05,-29.163449211583682,2.4775171913883867e-11,-29.09590296547647,8.414937515819463e-10,-29.26476858074451,5.751246116055419e-11,-27.232368472179328,3.4078267386487092e-09,-27.09727597996489,2.5230062227737686e-12
-27.76784280936455,5.009951613578903e-05,-28.223842809364548,1.3199714137382689e-52,-28.409842809364548,6.141641573284265e-07,-27.193842809364547,2.7677733534567836e-08,-26.940842809364547,1.7135066872910372e-08,-25.98884280936455,1.6834055087575223e-05,-35.44846887547686,1.1276721782816261e-10,-34.64392664753893,5.124795109808207e-11,-33.83823280508179,2.455524676135147e-08,-35.836859790593365,8.377813568205782e-11,-33.28698900004592,2.8750110068543113e-09,-36.71496098998718,4.045184962723077e-11,-37.086465343576876,3.462687907531159e-10,-34.71633400447561,4.054031794071868e-11,-33.956438735769424,2.3642451535372812e-09,-30.96751734552507,6.190667306840154e-11,-22.33584280936455,2.7945134691123297e-05,-29.019550044593913,2.965339100024749e-11,-28.9520037984867,9.77625526877765e-10,-29.12086941375474,6.759456258369494e-11,-27.08846930518956,3.94063649713647e-09,-26.953376812975122,3.0362901759545607e-12
-27.662448160535117,5.494499165238072e-05,-28.118448160535117,3.931270122352632e-52,-28.304448160535117,6.971676814736824e-07,-27.088448160535116,3.2288404146215046e-08,-26.835448160535115,1.9874564790110422e-08,-25.883448160535117,1.8646587944166223e-05,-35.304569708487094,1.3268922860947293e-10,-34.500027480549164,5.946693109209854e-11,-33.69433363809202,2.8107407106907134e-08,-35.6929606236036,9.821697986713603e-11,-33.14308983305615,3.288262555603229e-09,-36.571061822997414,4.754617226763335e-11,-36.94256617658711,4.0060617845095145e-10,-34.572434837485844,4.7913726402644986e-11,-33.812539568779655,2.714932992438653e-09,-30.823618178535305,7.285642211289597e-11,-22.23044816053512,3.0643116589266376e-05,-28.875650877604148,3.549212901000873e-11,-28.808104631496935,1.1357798783237901e-09,-28.976970246764974,7.94440856585479e-11,-26.944570138199794,4.556750443077932e-09,-26.809477645985357,3.6539973422902765e-12
