B_thianaphthene,r1_thianaphthene,r2_thianaphthene,r3_thianaphthene,r4_thianaphthene,B_p-cresol,r1_p-cresol,r2_p-cresol,r3_p-cresol,r4_p-cresol,B_acetaldehyde,r1_acetaldehyde,r2_acetaldehyde,r3_acetaldehyde,r4_acetaldehyde,B_quinoline,r1_quinoline,r2_quinoline,r3_quinoline,r4_quinoline,B_4-fluorophenol,r1_4-fluorophenol,r2_4-fluorophenol,r3_4-fluorophenol,r4_4-fluorophenol,B_acetone,r1_acetone,r2_acetone,r3_acetone,r4_acetone,B_benzonitrile,r1_benzonitrile,r2_benzonitrile,r3_benzonitrile,r4_benzonitrile,B_2-propanol,r1_2-propanol,r2_2-propanol,r3_2-propanol,r4_2-propanol,B_aniline,r1_aniline,r2_aniline,r3_aniline,r4_aniline,B_benzothiazole,r1_benzothiazole,r2_benzothiazole,r3_benzothiazole,r4_benzothiazole,B_m-cresol,r1_m-cresol,r2_m-cresol,r3_m-cresol,r4_m-cresol,B_benzaldehyde,r1_benzaldehyde,r2_benzaldehyde,r3_benzaldehyde,r4_benzaldehyde,B_ethanol,r1_ethanol,r2_ethanol,r3_ethanol,r4_ethanol,B_2-butanol,r1_2-butanol,r2_2-butanol,r3_2-butanol,r4_2-butanol,B_1-propanol,r1_1-propanol,r2_1-propanol,r3_1-propanol,r4_1-propanol,B_cyclobutanol,r1_cyclobutanol,r2_cyclobutanol,r3_cyclobutanol,r4_cyclobutanol,B_cyclopentanol,r1_cyclopentanol,r2_cyclopentanol,r3_cyclopentanol,r4_cyclopentanol,B_1-methylcyclohexanol,r1_1-methylcyclohexanol,r2_1-methylcyclohexanol,r3_1-methylcyclohexanol,r4_1-methylcyclohexanol,B_cyclooctanol,r1_cyclooctanol,r2_cyclooctanol,r3_cyclooctanol,r4_cyclooctanol,B_cycloheptanol,r1_cycloheptanol,r2_cycloheptanol,r3_cycloheptanol,r4_cycloheptanol,B_cis-4-methylcyclohexanol,r1_cis-4-methylcyclohexanol,r2_cis-4-methylcyclohexanol,r3_cis-4-methylcyclohexanol,r4_cis-4-methylcyclohexanol,B_trans-4-methylcyclohexanol,r1_trans-4-methylcyclohexanol,r2_trans-4-methylcyclohexanol,r3_trans-4-methylcyclohexanol,r4_trans-4-methylcyclohexanol
-25.795119983457067,0.0,0.0,0.0,0.0,-28.237658679495013,0.0,0.0,0.0,0.0,-18.104570148893263,0.0,0.0,0.0,0.0,-26.9880531265115,0.0,0.0,0.0,0.0,-24.989426140999928,0.0,0.0,0.0,0.0,-20.27206274967288,0.0,0.0,0.0,0.0,-24.43818233596406,0.0,0.0,0.0,0.0,-20.170743380512054,0.0,0.0,0.0,0.0,-25.86752734039375,0.0,0.0,0.0,0.0,-26.599662211395003,0.0,0.0,0.0,0.0,-27.86615432590532,0.0,0.0,0.0,0.0,-25.10763207168756,0.0,0.0,0.0,0.0,-18.2396626411077,0.0,0.0,0.0,0.0,-22.11871068144321,0.0,0.0,0.0,0.0,-20.10319713440484,0.0,0.0,0.0,0.0,-13.179,0.054,0.028, 0.022, 0.0,-16.832,0.07,0.026,0.042,0.081,-17.784,0.024,0.026,0.028,0.0,-19.253,0.097,0.156,0.0, 0.078,-19.067,0.054,0.174,0.105, 0.018,-18.037,0.09,0.108,0.0,0.343,-18.611,0.054,0.0,0.0,0.093
-23.492534890463023,0.0,0.0,0.0,0.0,-25.93507358650097,0.0,0.0,0.0,0.0,-15.801985055899223,0.0,0.0,0.0,0.0,-24.68546803351745,0.0,0.0,0.0,0.0,-22.68684104800588,0.0,0.0,0.0,0.0,-17.969477656678833,0.0,0.0,0.0,0.0,-22.13559724297001,0.0,0.0,0.0,0.0,-17.868158287518007,0.0,0.0,0.0,0.0,-23.5649422473997,0.0,0.0,0.0,0.0,-24.29707711840096,0.0,0.0,0.0,0.0,-25.56356923291127,0.0,0.0,0.0,0.0,-22.80504697869351,0.0,0.0,0.0,0.0,-15.937077548113656,0.0,0.0,0.0,0.0,-19.816125588449164,0.0,0.0,0.0,0.0,-17.80061204141079,0.0,0.0,0.0,0.0,-10.876,0.156,0.814, 0.871, 0.492,-14.529,0.608,0.27,0.774,0.752,-15.481,0.172,0.148,0.238,0.192,-16.95,0.097,0.319,0.491, nan,-16.765,0.418,0.846,0.504, 0.0,-15.734,0.308,0.418,0.301,0.414,-16.309,0.846,0.582,0.82,0.474
-21.189949797468977,0.0,0.0,0.0,0.0,-23.63248849350692,0.0,0.0,0.0,0.0,-13.499399962905176,0.0,0.0,0.0,0.0,-22.382882940523405,0.0,0.0,0.002,0.0,-20.38425595501184,0.0,0.0,0.0,0.022,-15.666892563684788,0.0,0.0,0.0,0.0,-19.833012149975968,0.003,0.0,0.0,0.0,-15.565573194523964,0.016,0.0,0.0,0.005,-21.262357154405656,0.0,0.0,0.0,0.0,-21.99449202540691,0.0,0.0,0.0,0.01,-23.260984139917227,0.0,0.0,0.0,0.0,-20.502461885699464,0.0,0.0,0.0,0.0,-13.63449245511961,0.006,0.0,0.0,0.012,-17.513540495455118,0.0,0.0,0.0,0.0,-15.498026948416744,0.061,0.0,0.0,0.0,-10.444,0.628,0.236, 0.325, 0.295,-14.098,0.606,0.656,0.5,0.724,-15.049,0.312,0.678,0.048,0.226,-16.519,0.878,0.454,0.346, 0.494,-16.333,0.626,0.536,0.616, 0.796,-15.303,0.412,0.363,0.564,0.204,-15.877,0.624,0.454,0.636,0.554
-18.88736470447493,0.0,0.0,0.0,0.0,-21.32990340051288,0.0,0.0,0.008,0.024,-11.19681486991113,0.0,0.0,0.012,0.0,-20.08029784752936,0.0,0.0,0.0,0.002,-18.08167086201779,0.1,0.036,0.04,0.098,-13.364307470690742,0.0,0.0,0.0,0.02,-17.53042705698192,0.0,0.028,0.0,0.024,-13.262988101529915,0.0,0.03,0.0,0.02,-18.959772061411613,0.027,0.0,0.014,0.026,-19.691906932412863,0.021,0.0,0.0,0.0,-20.95839904692318,0.0,0.0,0.0,0.0,-18.19987679270542,0.0,0.0,0.034,0.0,-11.331907362125564,0.0,0.16,0.015,0.038,-15.210955402461074,0.0,0.0,0.008,0.0,-13.1954418554227,0.05,0.0,0.038,0.1,-10.013,0.584,0.194, 0.397, 0.787,-13.666,0.908,0.832,0.58,0.772,-14.618,0.33,0.326,0.239,0.415,-16.087,0.294,0.622,0.608, 0.887,-15.901,0.428,0.722,0.446, nan,-14.871,0.922,0.748,0.733,0.596,-15.445,0.842,0.692,0.839,0.906
-18.178876983553685,0.0,0.0,0.0,0.0,-20.621415679591628,0.008,0.0,0.0,0.0,-10.488327148989883,0.0,0.0,0.0,0.062,-19.37181012660812,0.014,0.006,0.0,0.0,-17.373183141096547,0.138,0.105,0.178,0.044,-12.655819749769496,0.01,0.0,0.008,0.028,-16.82193933606068,0.057,0.0,0.052,0.0,-12.554500380608673,0.0,0.039,0.122,0.0,-18.251284340490365,0.0,0.046,0.118,0.014,-18.98341921149162,0.0,0.015,0.0,0.062,-20.249911326001936,0.007,0.039,0.031,0.0,-17.491389071784177,0.0,0.0,0.0,0.002,-10.623419641204318,0.253,0.007,0.0,0.172,-14.50246768153983,0.018,0.0,0.0,0.12,-12.486954134501454,0.058,0.052,0.117,0.154,-9.581,0.6,0.691, 0.735, 0.507,-13.234,0.923,0.848,0.576,0.814,-14.186,0.504,0.33,0.739,0.61,-15.655,0.776,0.992,0.824, 0.5,-15.469,0.6,0.736,0.872, 1.0,-14.439,1.0,0.56,0.923,0.804,-15.013,0.698,0.512,0.398,0.827
-17.47038926263244,0.0,0.0,0.04,0.022,-19.912927958670387,0.0,0.076,0.013,0.014,-9.77983942806864,0.198,0.012,0.107,0.012,-18.66332240568687,0.0,0.0,0.052,0.014,-16.664695420175303,0.294,0.377,0.191,0.08,-11.947332028848251,0.02,0.012,0.0,0.075,-16.113451615139432,0.124,0.0,0.176,0.026,-11.846012659687426,0.058,0.082,0.0,0.0,-17.54279661956912,0.0,0.011,0.0,0.014,-18.27493149057037,0.0,0.032,0.016,0.028,-19.54142360508069,0.0,0.014,0.027,0.01,-16.78290135086293,0.068,0.144,0.012,0.078,-9.914931920283074,0.237,0.226,0.134,0.012,-13.793979960618584,0.148,0.0,0.0,0.0,-11.778466413580208,0.068,0.029,0.0,0.036,-9.149,0.589,0.831, 0.923, 0.629,-12.803,0.752,0.769,0.491,0.62,-13.754,0.75,0.503,0.778,0.393,-15.223,0.82,0.99,0.71, 0.828,-15.038,0.774,0.913,0.821, 0.611,-14.007,0.996,0.862,0.946,0.52,-14.582,0.694,0.767,0.799,0.83
-16.761901541711197,0.0,0.0,0.0,0.0,-19.20444023774914,0.0,0.0,0.066,0.008,-9.071351707147397,0.033,0.039,0.016,0.052,-17.954834684765625,0.052,0.032,0.079,0.018,-15.956207699254056,0.348,0.344,0.172,0.237,-11.238844307927009,0.046,0.0,0.1,0.036,-15.404963894218188,0.065,0.048,0.0,0.03,-11.13752493876618,0.082,0.068,0.257,0.016,-16.834308898647876,0.064,0.08,0.043,0.116,-17.56644376964913,0.02,0.0,0.006,0.108,-18.832935884159447,0.002,0.024,0.0,0.0,-16.074413629941684,0.0,0.076,0.0,0.09,-9.20644419936183,0.336,0.205,0.413,0.07,-13.085492239697338,0.02,0.048,0.067,0.04,-11.069978692658964,0.247,0.012,0.016,0.036,-8.717,0.433,1.0, 0.791, 0.889,-12.371,0.762,0.901,0.957,0.916,-13.322,0.826,0.686,0.774,0.586,-14.792,0.948,0.686,0.785, 0.61,-14.606,0.99,0.935,0.998, 0.816,-13.576,0.81,0.868,0.731,0.647,-14.15,1.0,0.962,0.954,0.768
-16.053413820789952,0.011,0.0,0.003,0.0,-18.49595251682789,0.04,0.038,0.035,0.0,-8.36286398622615,0.18,0.108,0.0,0.154,-17.24634696384438,0.0,0.01,0.022,0.156,-15.247719978332812,0.58,0.366,0.608,0.321,-10.530356587005762,0.282,0.038,0.011,0.045,-14.696476173296944,0.085,0.14,0.102,0.075,-10.429037217844936,0.286,0.304,0.16,0.464,-16.125821177726632,0.162,0.155,0.138,0.076,-16.857956048727885,0.166,0.172,0.364,0.093,-18.1244481632382,0.02,0.03,0.025,0.092,-15.36592590902044,0.031,0.107,0.05,0.104,-8.497956478440583,0.406,0.324,0.277,0.186,-12.377004518776094,0.315,0.148,0.128,0.072,-10.36149097173772,0.558,0.12,0.166,0.483,-8.286,0.938,0.926, nan, 1.0,-11.939,0.892,0.899,0.958,0.818,-12.891,1.0,1.0,0.858,0.686,-14.36,0.97,1.0,0.883, 0.965,-14.174,0.874,0.938,0.754, 0.998,-13.144,0.912,0.992,0.222,0.912,-13.718,0.596,1.0,0.976,0.92
-15.344926099868708,0.01,0.066,0.036,0.074,-17.78746479590665,0.094,0.116,0.129,0.142,-7.654376265304906,0.132,0.171,0.16,0.024,-16.537859242923137,0.246,0.08,0.124,0.107,-14.539232257411568,0.665,0.828,0.648,0.747,-9.821868866084518,0.221,0.138,0.3,0.122,-13.9879884523757,0.082,0.133,0.192,0.0,-9.720549496923692,0.408,0.445,0.46,0.549,-15.417333456805387,0.25,0.544,0.001,0.196,-16.14946832780664,0.13,0.29,0.359,0.264,-17.41596044231696,0.076,0.23,0.03,0.041,-14.657438188099196,0.186,0.194,0.076,0.166,-7.789468757519339,0.47,0.33,0.56,0.561,-11.66851679785485,0.13,0.144,0.246,0.14,-9.653003250816475,0.28,0.214,0.255,0.52,-7.854,0.992,0.929, 0.948, 0.98,-11.507,0.932,0.838,0.998,1.0,-12.459,1.0,0.768,0.986,0.988,-13.928,0.782,0.854,0.954, 0.918,-13.742,0.97,0.966,1.0, 1.0,-12.712,1.0,0.905,0.983,0.703,-13.286,1.0,0.958,0.893,0.964
-14.636438378947462,0.072,0.06,0.088,0.025,-17.078977074985403,0.184,0.052,0.17,0.0,-6.945888544383661,0.299,0.416,0.101,0.393,-15.82937152200189,0.32,0.132,0.283,0.526,-13.830744536490322,0.846,0.703,0.722,0.578,-9.113381145163274,0.153,0.612,0.324,0.051,-13.279500731454451,0.271,0.194,0.34,0.574,-9.012061776002447,0.835,0.962,0.27,0.732,-14.70884573588414,0.364,0.233,0.194,0.426,-15.440980606885391,0.334,0.573,0.588,0.494,-16.70747272139571,0.164,0.31,0.062,0.227,-13.948950467177951,0.422,0.482,0.511,0.416,-7.080981036598094,0.712,0.789,0.807,0.546,-10.960029076933605,0.45,0.142,0.144,0.312,-8.94451552989523,0.832,0.6,0.414,0.236,-7.422,0.912,0.933, 0.982, 0.896,-11.076,0.81,1.0,1.0,0.993,-12.027,1.0,0.918,1.0,1.0,-13.496,1.0,0.993,0.934, 0.99,-13.311,1.0,0.996,1.0, 1.0,-12.281,1.0,1.0,0.966,1.0,-12.855,0.992,0.81,0.965,1.0
-13.927950658026218,0.061,0.198,0.02,0.078,-16.370489354064162,0.592,0.296,0.06,0.374,-6.237400823462416,0.611,0.516,0.634,0.62,-15.120883801080646,0.314,0.61,0.297,0.382,-13.122256815569076,0.949,0.908,0.878,0.744,-8.404893424242028,0.534,0.265,0.436,0.256,-12.571013010533209,0.426,0.399,0.21,0.52,-8.303574055081201,0.785,0.827,0.966,0.871,-14.000358014962895,0.776,0.451,0.433,0.15,-14.732492885964149,0.781,0.596,0.214,0.642,-15.998985000474466,0.146,0.479,0.375,0.306,-13.240462746256703,0.658,0.464,0.454,0.374,-6.372493315676849,1.021,0.694,0.788,0.886,-10.25154135601236,0.332,0.522,0.45,0.729,-8.236027808973985,0.542,0.783,0.701,0.562,-6.99,0.942,0.806, 0.986, nan,-10.644,1.0,1.0,0.994,1.0,-11.596,0.96,0.972,0.967,0.968,-13.065,1.0,1.0,0.914, 0.99,-12.879,0.906,1.0,0.776, 0.976,-11.849,1.0,0.907,0.928,1.0,-12.423,0.985,1.0,0.961,0.916
-13.219462937104971,0.018,0.082,0.37,0.215,-15.662001633142914,0.296,0.47,0.785,0.8,-5.528913102541171,0.87,0.562,0.736,0.86,-14.4123960801594,0.612,0.635,0.607,0.597,-12.413769094647831,1.0,1.0,0.97,0.942,-7.696405703320783,0.616,0.596,0.834,0.688,-11.862525289611964,0.492,0.632,0.68,0.83,-7.595086334159958,0.948,0.684,0.892,0.644,-13.29187029404165,0.617,0.803,0.732,0.736,-14.024005165042905,0.837,0.814,0.66,0.748,-15.290497279553222,0.47,0.801,0.5,0.443,-12.53197502533546,0.714,0.744,0.709,0.636,-5.664005594755604,0.969,1.035,0.844,0.882,-9.543053635091116,0.802,0.814,0.588,0.466,-7.52754008805274,0.964,0.784,0.796,0.582,-6.559,0.638,1.0, 0.991, nan,-10.212,1.0,1.0,1.0,1.0,-11.164,0.914,1.0,0.98,1.0,-12.633,1.0,1.0,0.971, 1.0,-12.447,0.905,0.971,0.964, 0.95,-11.417,1.0,1.0,0.91,1.0,-11.991,0.992,1.0,1.0,1.0
-12.510975216183729,0.298,0.196,0.533,0.394,-14.95351391222167,0.805,0.596,0.464,0.636,-4.820425381619927,0.708,0.792,1.024,0.919,-13.703908359238156,0.962,0.522,0.786,0.61,-11.705281373726589,0.94,1.0,0.992,0.904,-6.987917982399539,0.863,0.926,0.948,0.602,-11.154037568690718,0.827,0.453,0.74,0.616,-6.886598613238713,0.847,0.953,1.0,0.972,-12.583382573120408,0.988,0.882,0.8,0.934,-13.31551744412166,0.982,0.744,0.971,0.72,-14.582009558631976,0.86,0.653,0.597,0.69,-11.823487304414217,0.641,0.805,0.732,0.728,-4.95551787383436,0.936,1.061,0.968,0.851,-8.83456591416987,0.804,0.958,0.848,0.939,-6.819052367131496,0.895,0.996,0.996,0.866,-6.127,1.0,0.969, 0.996, 1.0,-9.78,1.0,1.0,0.997,1.0,-10.732,0.935,1.0,1.0,1.0,-12.201,1.0,0.982,1.0, 1.0,-12.015,1.0,1.0,1.0, 1.0,-10.985,1.0,1.0,1.0,1.0,-11.56,1.0,0.927,0.978,1.0
-11.802487495262485,0.392,0.485,0.558,0.333,-14.245026191300424,0.72,0.637,0.66,0.572,-4.111937660698682,0.894,0.786,0.694,0.882,-12.995420638316912,0.982,0.931,1.0,0.812,-10.996793652805342,0.998,1.0,0.996,0.892,-6.279430261478294,0.736,0.936,0.844,0.94,-10.445549847769474,0.921,0.714,0.799,0.821,-6.178110892317468,1.0,0.963,1.0,0.962,-11.874894852199162,0.956,0.876,0.862,0.998,-12.607029723200416,0.91,0.982,0.953,0.924,-13.873521837710731,0.714,0.992,0.856,0.914,-11.11499958349297,0.915,0.849,0.926,0.857,-4.247030152913115,0.969,1.04,0.94,0.857,-8.126078193248626,0.941,0.956,0.716,0.818,-6.110564646210251,0.987,0.996,0.848,0.926,-5.695,0.984,1.0, 1.0, 1.0,-9.349,1.0,1.0,1.0,1.0,-10.3,0.522,0.895,1.0,1.0,-11.769,1.0,0.974,1.0, 0.996,-11.584,1.0,1.0,1.0, 0.97,-10.554,1.0,1.0,1.0,1.0,-11.128,1.0,1.0,1.0,1.0
-11.093999774341238,0.498,0.826,0.466,0.625,-13.53653847037918,0.953,1.0,0.984,0.908,-3.4034499397774365,0.908,0.801,1.01,0.936,-12.286932917395667,0.986,0.992,0.928,1.0,-10.288305931884098,0.985,0.983,0.936,1.0,-5.570942540557048,0.97,0.995,0.938,0.984,-9.73706212684823,0.986,0.808,0.966,0.879,-5.469623171396222,1.052,0.966,0.997,0.986,-11.166407131277916,0.999,1.0,0.996,0.987,-11.89854200227917,1.0,0.974,0.984,0.988,-13.165034116789483,0.708,0.856,0.928,0.958,-10.406511862571726,0.958,0.995,0.948,0.973,-3.538542431991869,1.076,1.107,0.986,1.074,-7.41759047232738,0.99,0.927,0.699,0.832,-5.402076925289005,0.936,1.026,0.983,0.806,-5.263,1.0,0.993, 1.0, 1.0,-8.917,1.0,1.0,1.0,1.0,-9.869,1.0,1.0,1.0,1.0,-11.338,1.0,1.0,0.935, 1.0,-11.152,0.998,1.0,0.999, 1.0,-10.122,1.0,1.0,0.924,1.0,-10.696,0.991,1.0,1.0,1.0
-10.385512053419994,0.944,0.792,0.964,0.952,-12.828050749457937,1.0,0.962,1.0,0.924,-2.694962218856192,0.992,0.927,0.87,0.988,-11.578445196474425,1.0,0.934,0.914,0.986,-9.579818210962854,1.0,1.0,1.0,1.0,-4.862454819635803,0.988,0.934,1.006,0.882,-9.028574405926983,1.0,0.958,0.922,0.956,-4.761135450474978,0.998,0.998,0.966,0.89,-10.457919410356672,0.984,0.868,0.996,0.998,-11.190054281357924,1.0,1.0,1.0,1.0,-12.45654639586824,1.0,0.984,0.996,0.992,-9.698024141650482,1.0,0.994,0.928,0.969,-2.8300547110706247,0.998,1.042,0.976,0.978,-6.709102751406135,0.914,1.0,1.0,1.0,-4.69358920436776,1.0,0.998,0.968,1.0,-4.832,1.0,1.0, 1.0, 1.0,-8.485,0.998,1.0,1.0,0.978,-9.437,1.0,0.956,0.984,1.0,-10.906,1.0,1.0,1.0, 0.968,-10.72,1.0,1.0,1.0, 1.0,-9.69,1.0,1.0,1.0,1.0,-10.264,1.0,1.0,1.0,1.0
-9.67702433249875,0.728,0.857,0.862,0.704,-12.11956302853669,1.0,1.0,1.0,1.0,-1.986474497934948,0.957,1.214,1.19,1.106,-10.869957475553177,1.0,1.0,1.0,1.0,-8.87133049004161,1.0,1.0,1.0,1.0,-4.15396709871456,1.004,1.0,1.0,1.0,-8.32008668500574,0.914,1.0,0.954,0.981,-4.052647729553734,0.991,1.0,1.0,1.0,-9.749431689435427,0.984,0.989,0.986,0.994,-10.48156656043668,1.0,1.028,0.993,1.0,-11.748058674946996,0.945,0.826,0.968,0.878,-8.989536420729237,0.995,0.982,0.95,1.0,-2.1215669901493808,1.212,1.0,0.995,1.018,-6.000615030484891,0.998,0.984,1.0,1.0,-3.985101483446517,0.992,1.0,1.0,0.998,-4.4,1.0,1.0, 1.0, nan,-8.053,1.0,1.0,1.0,0.954,-9.005,1.04,1.0,1.0,1.0,-10.474,0.971,1.0,1.0, 1.0,-10.288,1.0,1.0,1.0, 1.0,-9.258,1.0,1.0,1.0,1.0,-9.833,1.0,1.0,1.0,1.0
-7.374439239504703,0.928,1.0,1.0,1.0,-9.816977935542646,0.996,0.927,1.0,1.0,0.3161105950590981,1.1,1.047,1.088,0.978,-8.567372382559132,1.0,1.0,1.0,0.962,-6.568745397047564,1.0,1.0,1.0,0.998,-1.851382005720514,1.0,1.0,0.994,0.994,-6.017501592011694,1.0,1.134,1.0,1.0,-1.7500626365596883,1.0,1.022,1.0,1.0,-7.446846596441382,1.0,1.0,1.0,1.0,-8.178981467442636,1.0,1.0,1.0,0.994,-9.445473581952951,1.0,1.0,1.0,0.99,-6.686951327735192,1.0,1.0,1.0,1.0,0.1810181028446651,0.96,0.992,0.999,0.996,-3.698029937490846,1.0,1.0,1.112,1.0,-1.682516390452471,1.0,0.998,1.0,1.0,-3.968,1.0,1.0, 1.0, 1.0,-7.622,1.0,1.0,0.996,1.0,-8.573,1.0,1.0,1.0,1.0,-10.043,1.0,0.972,1.0, 0.998,-9.857,1.0,0.931,1.0, 1.0,-8.827,1.0,1.0,1.0,0.894,-9.401,1.0,1.0,1.0,1.0
