Bs_03,Mean_fit_03,Bs_11,Mean_fit_11,Bs_01,Mean_fit_01,Bs_02,Mean_fit_02,Bs_10,Mean_fit_10,Bs_04,Mean_fit_04,Bs_05,Mean_fit_05,Bs_09,Mean_fit_09,Bs_06,Mean_fit_06,Bs_08,Mean_fit_08,Bs_07,Mean_fit_07
-35.83,1.4303727995354936e-06,-35.83,1.9830739546061282e-07,-35.83,2.5294532352257162e-08,-35.83,1.077449133442315e-06,-35.83,3.5760360862427446e-08,-35.83,1.8624616925601773e-10,-35.83,4.895783379529556e-07,-35.83,1.0074969289049841e-12,-35.83,5.446512046512516e-10,-35.83,5.289829229560871e-10,-35.83,1.0098636846685397e-08
-35.71690635451505,1.6060923061158887e-06,-35.71690635451505,2.2671642406838667e-07,-35.71690635451505,2.9256864263294535e-08,-35.71690635451505,1.2062085255682624e-06,-35.71690635451505,4.1117717576651974e-08,-35.71690635451505,2.2138920359837326e-10,-35.71690635451505,5.435669612322388e-07,-35.71690635451505,1.2372947863151959e-12,-35.71690635451505,6.28476355387818e-10,-35.71690635451505,6.076714930425416e-10,-35.71690635451505,1.1297103972793448e-08
-35.6038127090301,1.8033986950241764e-06,-35.6038127090301,2.5919525902590724e-07,-35.6038127090301,3.3839886583756665e-08,-35.6038127090301,1.3503551486627187e-06,-35.6038127090301,4.7277674402126136e-08,-35.6038127090301,2.6316342325528186e-10,-35.6038127090301,6.035092173799325e-07,-35.6038127090301,1.5195067541362611e-12,-35.6038127090301,7.252027093731845e-10,-35.6038127090301,6.980653390258512e-10,-35.6038127090301,1.263780053600417e-08
-35.49071906354515,2.02494387277729e-06,-35.49071906354515,2.9632693028298247e-07,-35.49071906354515,3.9140829067457077e-08,-35.49071906354515,1.511727829356683e-06,-35.49071906354515,5.4360471021863495e-08,-35.49071906354515,3.12820075293873e-10,-35.49071906354515,6.700616465527673e-07,-35.49071906354515,1.8660878566713826e-12,-35.49071906354515,8.368158406689006e-10,-35.49071906354515,8.019056729202395e-10,-35.49071906354515,1.4137605774635042e-08
-35.3776254180602,2.2737055248032694e-06,-35.3776254180602,3.387779910552476e-07,-35.3776254180602,4.5272152287623694e-08,-35.3776254180602,1.6923851390080289e-06,-35.3776254180602,6.250436054550015e-08,-35.3776254180602,3.7184650623358784e-10,-35.3776254180602,7.439531890417092e-07,-35.3776254180602,2.291719914595291e-12,-35.3776254180602,9.656069153238924e-10,-35.3776254180602,9.211927197948404e-10,-35.3776254180602,1.5815402089469462e-08
-35.264531772575246,2.5530271357312946e-06,-35.264531772575246,3.8731048310681043e-07,-35.264531772575246,5.236393350925064e-08,-35.264531772575246,1.8946316534496603e-06,-35.264531772575246,7.186830814736834e-08,-35.264531772575246,4.420107119617904e-10,-35.264531772575246,8.259931691700714e-07,-35.264531772575246,2.8144334942087395e-12,-35.264531772575246,1.1142197238493186e-09,-35.264531772575246,1.0582242471208484e-09,-35.264531772575246,1.7692312771272485e-08
-35.1514381270903,2.866662925791628e-06,-35.1514381270903,4.4279561613258337e-07,-35.1514381270903,6.056662630251609e-08,-35.1514381270903,2.121047350722221e-06,-35.1514381270903,8.263509399411275e-08,-35.1514381270903,5.254142938313631e-10,-35.1514381270903,9.170801596024833e-07,-35.1514381270903,3.456371715791361e-12,-35.1514381270903,1.2857049522786575e-09,-35.1514381270903,1.2156398255308048e-09,-35.1514381270903,1.9791967940873612e-08
-35.03834448160535,3.218828307175736e-06,-35.03834448160535,5.06229406792707e-07,-35.03834448160535,7.005425244280154e-08,-35.03834448160535,2.3745205217524385e-06,-35.03834448160535,9.501488102932988e-08,-35.03834448160535,6.245554071138267e-10,-35.03834448160535,1.0182118231481478e-06,-35.03834448160535,4.244728277396949e-12,-35.03834448160535,1.4835828058755522e-09,-35.03834448160535,1.3964716735631707e-09,-35.03834448160535,2.214080204997361e-08
-34.9252508361204,3.6142565383656408e-06,-34.9252508361204,5.787505581269323e-07,-34.9252508361204,8.102809381380618e-08,-34.9252508361204,2.6582846137367217e-06,-34.9252508361204,1.0924931725638749e-07,-34.9252508361204,7.424035872785297e-10,-34.9252508361204,1.1304958398465201e-06,-34.9252508361204,5.212899430524575e-12,-34.9252508361204,1.7119152710127444e-09,-34.9252508361204,1.6042030657891175e-09,-34.9252508361204,2.476838668817235e-08
-34.81215719063545,4.058262337705806e-06,-34.81215719063545,6.616609002912085e-07,-34.81215719063545,9.372096263782467e-08,-34.81215719063545,2.9759594761401348e-06,-34.81215719063545,1.256162525936352e-07,-34.81215719063545,8.824886953405537e-10,-34.81215719063545,1.2551620390088588e-06,-34.81215719063545,6.401898707500192e-12,-34.81215719063545,1.9753894985956384e-09,-34.81215719063545,1.8428354294085437e-09,-34.81215719063545,2.770780288622189e-08
-34.6990635451505,4.556813310974956e-06,-34.6990635451505,7.564487595331741e-07,-34.6990635451505,1.0840214062643395e-07,-34.6990635451505,3.3315975353603287e-06,-34.6990635451505,1.4443516237219016e-07,-34.6990635451505,1.0490066464227845e-09,-34.6990635451505,1.3935758690843697e-06,-34.6990635451505,7.86209433105404e-12,-34.6990635451505,2.2794140207039913e-09,-34.6990635451505,2.1169654217636854e-09,-34.6990635451505,3.0996057602755934e-08
-34.58596989966555,5.116610152675024e-06,-34.58596989966555,8.648156748831444e-07,-34.58596989966555,1.253830918359115e-07,-34.58596989966555,3.729735486950516e-06,-34.58596989966555,1.6607338333959242e-07,-34.58596989966555,1.2469450883786668e-09,-34.58596989966555,1.5472533528697897e-06,-34.58596989966555,9.655342905996712e-12,-34.58596989966555,2.6302297755620513e-09,-34.58596989966555,2.4318734734759777e-09,-34.58596989966555,3.467454963800796e-08
