Ligand,Complex,Complex_err
"1,2-Benzenedithiol",-12.428280664348348,0.19237221218408393
"1,2-Dichlorobenzene",-11.487704733877072,0.21118782292649077
1-Methylpyrrole,-10.7190065202538,0.24472841252252803
2-Fluorobenzaldehyde_2,-11.66973671886474,0.12886647232132914
2-Fluorobenzaldehyde_3,-11.215797283656476,0.16661241976785343
Benzene,-7.790764206997348,0.1619220190984024
Benzofuran_0,-11.596145490098062,0.11065107252631602
Benzofuran_1,-12.270999943269688,0.11653675198742908
Benzofuran_3,-12.64072851260786,0.18407045424453922
Benzofuran_4,-12.614021280501964,0.18250869919454063
Ethylbenzene,-10.67269401819747,0.005635741656079577
Indene_0,-9.996301470415068,0.1344561825128222
Indene_1,-11.141278607413275,0.33884830840929825
Indene_2,-11.064308083018688,0.089777475408641
Indene_3,-10.740544430589589,0.05283272607434965
Indole_2,-13.537278244525972,0.14131841052325828
Indole_3,-13.334405046513375,0.26562890269531786
Isobutylbenzene_2,-10.043861680706025,0.31967970900105724
Isobutylbenzene_3,-11.558194963708749,0.13189977055612545
m-xylene_2,-9.668978914406154,0.2981859571553002
m-xylene_3,-8.567376866826457,0.4572967864949073
n-Butylbenzene_2,-9.213617618855771,0.06106810518629109
n-Butylbenzene_3,-10.728417912471533,0.1785693721777357
n-Methylaniline,-12.645186247867281,0.18306581386830997
o-xylene_2,-8.740332968026694,0.13943963816154117
o-xylene_4,-9.11869749249414,0.3008917388413143
Phenol_1,-11.570456715792437,0.17764519024138925
Propylbenzene,-10.930803395395628,0.0968955329435718
p-Xylene,-9.49870509196002,0.14307943917502441
Thianaphthene_0,-11.001178243689038,0.32271438965325433
Thianaphthene_3,-11.997326597971172,0.1271567957518496
Thianaphthene_4,-12.68441447392481,0.06222318921138374
Thianaphthene_5,-12.16555793496854,0.24186199377319753
"Thieno[2,3-c]pyridine_0",-13.847237827801747,0.3126771841150583
"Thieno[2,3-c]pyridine_1",-13.95611212012475,0.14063389772787518
Toluene_0,-9.352410924596327,0.08323479237723756
Toluene_1,-8.978941318243765,0.20278616654182055
