Ligand,Rest_off
"1,2-Benzenedithiol",-7.138581942295694
"1,2-Dichlorobenzene",-7.165272897310675
1-Methylpyrrole,-6.9811763879509945
2-Fluorobenzaldehyde_2,-7.093007222640718
2-Fluorobenzaldehyde_3,-7.154770231873318
Benzene,-6.707734160473034
Benzofuran_0,-6.9373357255667445
Benzofuran_1,-7.325370376824933
Benzofuran_3,-6.944632832983279
Benzofuran_4,-6.933014652365862
Ethylbenzene,-6.768817991060819
Indene_0,-6.859234772755541
Indene_1,-6.951997300591958
Indene_2,-6.9766212496771045
Indene_3,-6.8423888662295145
Indole_2,-6.8786144192039576
Indole_3,-6.912797175262064
Isobutylbenzene_2,-6.9981359639021905
Isobutylbenzene_3,-7.162728566543704
m-xylene_2,-7.042004325003433
m-xylene_3,-6.67990544598287
n-Butylbenzene_2,-6.9447280345023215
n-Butylbenzene_3,-7.253612506780652
n-Methylaniline,-6.812346669272976
o-xylene_2,-7.049047321843369
o-xylene_4,-6.869369778883011
Phenol_1,-7.1489561452802874
Propylbenzene,-6.935137053846304
p-Xylene,-6.9343065454026345
Thianaphthene_0,-6.917672727092425
Thianaphthene_3,-6.855092335297334
Thianaphthene_4,-6.5310727213075985
Thianaphthene_5,-6.988928150255216
"Thieno[2,3-c]pyridine_0",-7.217332111953696
"Thieno[2,3-c]pyridine_1",-6.64627215788311
Toluene_0,-7.028917880425758
Toluene_1,-6.802549162294097
