Ligand,Restraints,Restraints_err
"1,2-Benzenedithiol",0.6669482180193719,0.05248645831566117
"1,2-Dichlorobenzene",1.0987128596557965,0.1755469742208141
1-Methylpyrrole,2.360794058804293,0.05378472550744044
2-Fluorobenzaldehyde_2,0.7769778029059581,0.008585914601817863
2-Fluorobenzaldehyde_3,0.9276431622169313,0.02236474486180577
Benzene,2.5521727355889197,0.12090842643777418
Benzofuran_0,1.0823041930452149,0.1382296916741423
Benzofuran_1,1.2758454998680928,0.0043578401074140126
Benzofuran_3,0.9247242209164689,0.08606472773072382
Benzofuran_4,0.9496553035276792,0.08685363367256396
Ethylbenzene,0.8955427847302384,0.016811160477644384
Indene_0,0.9912172382979368,0.03793102769065173
Indene_1,0.8162942120406264,0.006942354294168386
Indene_2,0.7934265188385897,0.007217072646723102
Indene_3,0.889212853172109,0.0302632027432196
Indole_2,0.6571893816014145,0.0030047703013636328
Indole_3,0.8600946519125304,0.0037317541728085156
Isobutylbenzene_2,1.7004575934833468,0.03443508799866285
Isobutylbenzene_3,0.966933899458526,0.04108304842383667
m-xylene_2,0.7687966536016786,0.022512799181319647
m-xylene_3,1.0461120992949946,0.021852474371755814
n-Butylbenzene_2,1.8385817900936117,0.07041918425060678
n-Butylbenzene_3,1.4485213527006013,0.016650954493445218
n-Methylaniline,1.0433588340762483,0.006121703688227092
o-xylene_2,1.7537242311506513,0.12063522347448016
o-xylene_4,0.9220722128015505,0.05543981621599853
Phenol_1,1.7078733059119822,0.13766204541631377
Propylbenzene,0.8584078903735928,0.026826295540367293
p-Xylene,0.837720185284624,0.0058931185024287715
Thianaphthene_0,0.9050858936870562,0.07305626594412214
Thianaphthene_3,1.0089443684752288,0.0766098150093064
Thianaphthene_4,1.251695821082591,0.3024298456482681
Thianaphthene_5,1.0738789565350215,0.11741828821249808
"Thieno[2,3-c]pyridine_0",1.03153107943148,0.06227378916127141
"Thieno[2,3-c]pyridine_1",0.5912640256910014,0.0010192701009542487
Toluene_0,1.603676932260947,0.058467795337720965
Toluene_1,1.2884729325171864,0.02780251541776901
