Name,Smiles,Mu_Ex,Mu_Ex_err
Benzene,C1=CC=CC=C1,-0.5130343171916484,0.025307042787314347
Benzofuran,C1=CC=C2C(=C1)C=CO2,-3.1201053701350925,0.021709453347162094
Indene,C1C=CC2=CC=CC=C21,-2.0972660928520708,0.016246841017200975
Indole,C1=CC=C2C(=C1)C=CN2,-6.1293261278107,0.015181973142218154
Toluene,CC1=CC=CC=C1,-0.3610988059935985,0.0382846259492549
Ethylbenzene,CCC1=CC=CC=C1,-0.20299788226099044,0.02734269776160917
m-xylene,CC1=CC(=CC=C1)C,-0.20846041286100622,0.035903042227174935
o-xylene,CC1=CC=CC=C1C,-0.4229053677426551,0.015326795440025819
Phenol,C1=CC=C(C=C1)O,-5.206573494631095,0.038552597281329974
Propylbenzene,CCCC1=CC=CC=C1,0.0814834467690939,0.045353567921479335
Thianaphthene,c1ccc2sccc2c1,-2.2651407201543514,0.03556072268582201
Isobutylbenzene,CC(C)CC1=CC=CC=C1,0.3196866838019676,0.009500741165881288
n-Butylbenzene,CCCCC1=CC=CC=C1,0.37545888118887866,0.014632758993176363
p-Xylene,CC1=CC=C(C=C1)C,-0.2643626957670811,0.012479524912663919
2-Fluorobenzaldehyde,C1=CC=C(C(=C1)C=O)F,-3.281285152370161,0.012414997099009112
"1,2-Dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl,-0.026602758196967502,0.014082288218030915
n-Methylaniline,CNC1=CC=CC=C1,-4.5632817511114725,0.010002811814389433
1-Methylpyrrole,CN1C=CC=C1,-2.1182495116840063,0.00777931571708201
"1,2-Benzenedithiol",C1=CC=C(C(=C1)S)S,-1.9234836329564449,0.05801401287114654
"Thieno[2,3-c]pyridine",C1=CN=CC2=C1C=CS2,-4.162609359875152,0.03186792805318583
