Steps,B50_Benzene,B50_sem_Benzene,B50_Benzofuran,B50_sem_Benzofuran,B50_Indene,B50_sem_Indene,B50_Indole,B50_sem_Indole,B50_Toluene,B50_sem_Toluene,B50_Ethylbenzene,B50_sem_Ethylbenzene,B50_m-xylene,B50_sem_m-xylene,B50_o-xylene,B50_sem_o-xylene,B50_Phenol,B50_sem_Phenol,B50_Propylbenzene,B50_sem_Propylbenzene,B50_Thianaphthene,B50_sem_Thianaphthene,B50_Isobutylbenzene,B50_sem_Isobutylbenzene,B50_n-Butylbenzene,B50_sem_n-Butylbenzene,B50_p-Xylene,B50_sem_p-Xylene,B50_2-Fluorobenzaldehyde,B50_sem_2-Fluorobenzaldehyde,"B50_1,2-Dichlorobenzene","B50_sem_1,2-Dichlorobenzene",B50_n-Methylaniline,B50_sem_n-Methylaniline,B50_1-Methylpyrrole,B50_sem_1-Methylpyrrole,"B50_1,2-Benzenedithiol","B50_sem_1,2-Benzenedithiol","B50_Thieno[2,3-c]pyridine","B50_sem_Thieno[2,3-c]pyridine"
100,-7.644157485055152,0.5308179467242132,-10.853587969743963,0.804086251017999,-8.895641448379314,0.2591119964723397,-12.09380018440585,0.27704039420223503,-7.339163651190157,0.18148204081512098,-8.654174145092696,0.7021654864005686,-5.805460558747301,0.3085143940498733,-4.237629756917567,0.39397048988747924,-10.143072791161789,0.17064789474569667,-8.62606460107404,0.14032836242329555,-8.377466427721988,1.2085138670078301,-6.840516834886419,0.4166810935107204,-6.358748000423212,0.3184157385020138,-7.327831467467243,0.214977278626614,-9.03936016435479,0.31333230626320563,-8.939174789331714,0.47917281292670166,-11.525081423214646,0.37524352469194217,-9.39993777074428,0.40147179301041114,-9.179607453263053,0.04122738293478553,-12.967748523465099,0.33379107402657027
200,-7.638992129824092,0.49493539329478126,-11.137674293120961,0.6614359154456991,-8.940982023142961,0.24134696877323794,-12.260693255309882,0.25224865387436146,-7.232850286192537,0.38028048021013444,-8.619232342866422,0.646431758894194,-5.987827459118137,0.1925086428680186,-4.445320348053074,0.3732776518612315,-10.224060097691947,0.15231207180906256,-8.698169272487185,0.20612411326895824,-6.312320165485067,3.1730069602230246,-7.075873317081218,0.37218339937152173,-6.8037770665309365,0.3313847960072986,-7.498202704629977,0.16343920133984244,-9.132377778863146,0.37537641207316397,-9.04597257575684,0.3619366135186931,-11.636217498425363,0.40580539083740663,-9.458802993811606,0.39262975768885144,-9.496265413010967,0.11280375230487648,-13.065479361082039,0.3319149756406924
300,-7.655292011047694,0.5164158519581821,-11.440472088369127,0.41136477453616466,-9.049771141750826,0.26239594631625274,-12.54001098082848,0.3185118113210762,-7.3778452296765025,0.2943925464991453,-8.42095125501531,0.6163138938595231,-6.06387761472602,0.13491857034135224,-4.6021947204968905,0.38624737935943587,-10.264328701406535,0.16117101055142702,-8.720583326382048,0.22219631678535587,-7.8360275492935445,1.9700375011807703,-7.176990033276661,0.3286332955186765,-6.866532130630072,0.36057911210731114,-7.573756012054547,0.20007474182918808,-9.21927174159857,0.331254455694811,-9.124765451944587,0.2672993145065783,-11.61487538298913,0.3586451538329518,-9.553815970504878,0.4044777891602757,-9.590750402692676,0.16073617512115804,-12.995190205513069,0.3150705312416995
400,-7.627024121136313,0.49850032603258526,-11.401733936285696,0.3904971878254135,-9.09830808292983,0.20165167258049624,-12.638826448469095,0.3253181142096677,-7.441063230274933,0.31542136648492697,-8.388657605404264,0.556045345954675,-6.167737265554242,0.12202543429224719,-4.726718116977302,0.3704005388789575,-10.418327540371767,0.16086796627909078,-8.776166607541938,0.1930931789705918,-9.37144973599874,0.7099811451204185,-7.2504800511203795,0.30449619788487314,-6.765383898049646,0.36910538297650486,-7.593236906487025,0.21746213571206308,-9.237719197519416,0.3420981214219386,-9.247739043656145,0.2659278735952778,-11.674682551819458,0.29999061097658597,-9.563075053892735,0.39895727514471613,-9.705851477943137,0.17546028882358783,-13.017779439505764,0.30024100134976545
500,-7.46086759750516,0.4408559843638851,-11.540540179087147,0.3041619686182501,-9.171064196660197,0.21609320435872922,-12.781513174585495,0.300539664064565,-7.481303637577444,0.24656452492210942,-8.300534701203624,0.5114399855420926,-6.280596665445792,0.09335846448547562,-4.759046726088879,0.333526480916094,-10.466607910120322,0.16304008633542422,-8.900208024409423,0.17855510137444763,-9.283273884400213,0.8642655445718594,-7.391771685467251,0.2762689264048345,-6.725233689067903,0.3607857535569854,-7.652389966534798,0.18336110332242805,-9.262891405594733,0.3165392391465293,-9.28010293815319,0.25650808259505026,-11.756685224235685,0.33584498297081855,-9.590454511845778,0.3973619194796407,-9.639177009660525,0.168991770740285,-12.959352756233875,0.28660973336574025
600,-7.466597413922535,0.4384020883164983,-11.534359750369504,0.34579609865808314,-9.235619294108048,0.21044280695348322,-12.850056153549197,0.2759686791835335,-7.4335236803432725,0.21528421242342657,-8.359985636410823,0.5379284677225842,-6.37867020725342,0.06829504868726277,-4.843076589170456,0.29038712266769084,-10.497831130458152,0.1617309923721092,-8.91480994568231,0.15824381956599068,-9.124413416122554,1.0655399445110083,-7.415129941098954,0.21079014107765195,-6.777055909562451,0.3583320377759104,-7.6938310496360245,0.15322226460908456,-9.253292645206649,0.3063881712636922,-9.280588916632027,0.249813293279835,-11.787485180726552,0.30186896565801685,-9.650264151311259,0.32624812849621415,-9.595844280099167,0.1866930619147942,-12.928145268197063,0.2985104748397073
700,-7.50920779143536,0.4713211115528226,-11.511453905643219,0.3815744506812153,-9.267077733396848,0.17714263780363423,-12.90470801235183,0.26604325210072555,-7.49748959740883,0.23974317299838022,-8.393461902400801,0.5460381340801784,-6.413967328992249,0.0670379843269768,-4.968046638620547,0.2695305880552615,-10.536948459990729,0.153767615442659,-8.922911696713422,0.16139685521956948,-9.063722262939816,1.1502178838499517,-7.394997567952436,0.18307650333410383,-6.776816500711536,0.36438454531016434,-7.700515997662485,0.12157364284991339,-9.229762210798263,0.27925202976348684,-9.295395698038108,0.24266021089505158,-11.848533385457738,0.2803314018385429,-9.596765085171304,0.3995808141246396,-9.589428205524953,0.19606457651101925,-12.888196184913578,0.26711178956020204
800,-7.400932139293772,0.46792677473815575,-11.544325133455374,0.3585192284731125,-9.271494491147681,0.14636856843159124,-12.92696909116706,0.23052571934509314,-7.581107035714204,0.2132408838990263,-8.494776581934385,0.5231457932315384,-6.454284069375704,0.0649385210321895,-5.110920339349396,0.26122318787368803,-10.5753336468732,0.15295563381571312,-8.958884212376876,0.15079699030293237,-9.100195868739608,1.160708477912083,-7.363705732245754,0.14237459241591718,-6.834587216422299,0.34166603802616013,-7.746483547907705,0.13457885682592982,-9.214744161746065,0.2625033956003164,-9.221157627923812,0.20725862330677955,-11.870351785433819,0.2608540370266834,-9.679360564205725,0.31647698613609115,-9.536482348732147,0.2326142971832997,-12.892053192619612,0.2745488776810404
900,-7.3360329765288315,0.45601977106917824,-11.453776838744067,0.36868870185092845,-9.304940448040329,0.10685666543585594,-12.938431575183234,0.21171067981635155,-7.609854045388812,0.23317673989082743,-8.520148251539155,0.4815912222155088,-6.4810601937115155,0.07128590974833746,-5.207740049519268,0.24428839258164273,-10.605066363336187,0.14889754029618585,-8.971707970725237,0.15345021062291725,-9.311974470223134,1.0117859153585764,-7.379990341572789,0.09477696550308917,-6.855114368918471,0.30526438257087024,-7.778931133294705,0.13771549011797476,-9.200356352632765,0.25999884485204977,-9.21947902358134,0.19854258449172066,-11.900859385702832,0.24309907692182997,-9.725001187590937,0.2714501227049519,-9.556303631292764,0.26549367244156796,-12.888365642918945,0.2689423938305804
1000,-7.284019863194052,0.41716156043089586,-11.512462845608582,0.3168869798110644,-9.311913809172127,0.09542697841046043,-12.966193858825344,0.2010539070313089,-7.612118144820089,0.26005257200562315,-8.579332470137409,0.46527119278807694,-6.480675235119541,0.07022658940612608,-5.256737030627267,0.2484160507903538,-10.621355239993989,0.14955155152040792,-8.989507265488617,0.16163518061158028,-9.468165642647444,0.9018089995689991,-7.391249054055291,0.07485998083301872,-6.870782422734329,0.3127094323462002,-7.779830365616278,0.15054241169913968,-9.201064500251839,0.25153596130779904,-9.31922199100502,0.23204866382771724,-11.93936206495109,0.22023649881578272,-9.733698588194628,0.24826295469458115,-9.566106008441619,0.27169555016291563,-12.859982154378592,0.2560512722431787
