-19.441, 0.0, nan, nan, nan
-17.138, 0.017, 0.0, 0.0, 0.0
-16.707, 0.0, 0.067, 0.0, 0.007
-16.275, 0.0, 0.0, 0.0, 0.029
-15.843, 0.007, 0.044, 0.15, 0.015
-15.412, 0.405, 0.198, 0.253, 0.032
-14.98, 0.037, 0.002, 0.049, 0.097
-14.548, 0.121, 0.033, 0.29, 0.213
-14.116, 0.84, 0.622, 0.205, 0.317
-13.901, nan, 0.605, 0.264, 0.215
-13.685, 0.208, 0.365, 0.803, 0.0
-13.469, nan, 0.747, 0.424, 0.631
-13.253, 0.472, 0.396, 0.005, 0.085
-12.821, 0.506, 0.905, 0.368, 0.567
-12.389, 0.785, 0.647, 0.602, 0.689
-11.958, 0.95, 0.475, 0.596, 0.785
-11.526, 0.951, 0.519, 0.946, 0.983
-11.094, 0.76, 0.871, 0.705, 0.894
-10.662, 0.949, 0.997, 1.0, 0.701
-10.231, 0.915, 0.954, 0.773, 0.946
-9.079, 0.959, 1.0, 0.977, 0.997
-7.928, 0.998, nan, nan, nan
