"Bs_1,2-Dichlorobenzene","Mean_fit_1,2-Dichlorobenzene",Bs_Ethylbenzene,Mean_fit_Ethylbenzene,Bs_Isobutylbenzene,Mean_fit_Isobutylbenzene,Bs_n-Butylbenzene,Mean_fit_n-Butylbenzene,Bs_p-Xylene,Mean_fit_p-Xylene,Bs_Toluene,Mean_fit_Toluene,"Bs_1,2-Benzenedithiol","Mean_fit_1,2-Benzenedithiol",Bs_Thianaphthene,Mean_fit_Thianaphthene,Bs_Benzofuran,Mean_fit_Benzofuran,Bs_Benzene,Mean_fit_Benzene,Bs_m-xylene,Mean_fit_m-xylene,Bs_1-Methylpyrrole,Mean_fit_1-Methylpyrrole,"Bs_Thieno[2,3-c]pyridine","Mean_fit_Thieno[2,3-c]pyridine",Bs_Indene,Mean_fit_Indene,Bs_n-Methylaniline,Mean_fit_n-Methylaniline,Bs_o-xylene,Mean_fit_o-xylene,Bs_2-Fluorobenzaldehyde,Mean_fit_2-Fluorobenzaldehyde,Bs_Indole,Mean_fit_Indole,Bs_Phenol,Mean_fit_Phenol
-23.593,1.5509841422301567e-31,-33.07396949073669,2.1844919366100225e-09,-23.019,5.4498192951789555e-05,-22.918,6.272814863113703e-08,-21.695999999999998,1.3616620350755408e-07,-33.462359945590464,1.0228635202950546e-26,-29.5,5.8828520099181e-116,-27.477,8.716663498758855e-09,-37.971000000000004,1.8110142902598934e-13,-31.311754897841496,4.62214065010173e-12,-21.595,4.4072074084096445e-08,-24.82,1.122710188505596e-22,-26.5,1.603095422232421e-06,-24.905,1.7192696940808826e-49,-28.957,7.77177052694824e-06,-22.0,1.1148607173816483e-05,-24.493000000000002,2.126239274051993e-05,-29.441,2.9899106877472234e-07,-28.208,4.2082499992228115e-09
-23.487608695652174,2.6461676728540875e-31,-32.93007032374692,2.4578064289553733e-09,-22.913605351170567,5.8247601602821806e-05,-22.812605351170568,7.018004033915989e-08,-21.590605351170566,1.536082141365535e-07,-33.318460778600695,1.4311996520267168e-26,-29.370180602006688,3.506929251719283e-115,-27.37160535117057,9.789299789096395e-09,-37.82710033444816,2.124997887187473e-13,-31.167855730851727,5.39780902150565e-12,-21.48905685618729,4.962461262786513e-08,-24.71460535117057,1.5958082311959287e-22,-26.392876254180603,1.7837785519594024e-06,-24.79960535117057,3.674265981048772e-49,-28.85160535117057,8.389480570394565e-06,-21.89460535117057,1.1985140071472177e-05,-24.38760535117057,2.2919890386425338e-05,-29.335605351170567,3.2948194315010124e-07,-28.09490635451505,4.7620163410766015e-09
-23.382217391304348,4.514684039766819e-31,-32.78617115675715,2.76531688708458e-09,-22.808210702341135,6.225494889804067e-05,-22.707210702341136,7.851719148620283e-08,-21.485210702341135,1.7328443321249668e-07,-33.174561611610926,2.0025471661855088e-26,-29.24036120401338,2.09057660397187e-114,-27.266210702341137,1.0993930230506055e-08,-37.683200668896326,2.4934182158789746e-13,-31.02395656386196,6.30364682476781e-12,-21.38311371237458,5.587670260410099e-08,-24.609210702341137,2.26826471944857e-22,-26.285752508361202,1.9848262389782783e-06,-24.694210702341138,7.852305281696535e-49,-28.746210702341138,9.056286536173662e-06,-21.789210702341137,1.288444119312941e-05,-24.28221070234114,2.4706594119429106e-05,-29.230210702341136,3.6308225181871706e-07,-27.9818127090301,5.388653153975254e-09
-23.276826086956522,7.702600325753976e-31,-32.64227198976739,3.1113017671416187e-09,-22.702816053511704,6.653797730832977e-05,-22.601816053511705,8.784476787106022e-08,-21.379816053511703,1.9548104824265095e-07,-33.030662444621164,2.801981643245024e-26,-29.110541806020066,1.2462499877726787e-113,-27.160816053511706,1.2346797472679576e-08,-37.539301003344484,2.9257132144755875e-13,-30.880057396872193,7.361498551187237e-12,-21.27717056856187,6.291647886223779e-08,-24.503816053511706,3.2240871659367786e-22,-26.178628762541805,2.2085337360625687e-06,-24.588816053511707,1.678122883726551e-48,-28.640816053511706,9.776090520779606e-06,-21.683816053511705,1.3851220149871315e-05,-24.176816053511708,2.663257536006135e-05,-29.124816053511704,4.0010909209060287e-07,-27.86871906354515,6.097749510218621e-09
-23.171434782608696,1.314157342035585e-30,-32.49837282277762,3.5005748277931486e-09,-22.597421404682272,7.111564940619229e-05,-22.496421404682273,9.828042862594821e-08,-21.274421404682272,2.205209054556978e-07,-32.886763277631395,3.920557408910963e-26,-28.980722408026757,7.429237603982582e-113,-27.055421404682274,1.3866142917933655e-08,-37.39540133779265,3.432957118402806e-13,-30.736158229882427,8.596874543509678e-12,-21.171227424749162,7.084318015252791e-08,-24.398421404682274,4.582682948966093e-22,-26.07150501672241,2.4574549875225482e-06,-24.483421404682275,3.586330780402774e-48,-28.535421404682275,1.055310474342124e-05,-21.578421404682274,1.4890539903640792e-05,-24.071421404682276,2.870869049719834e-05,-29.019421404682273,4.409118985221335e-07,-27.7556254180602,6.900156314286445e-09
-23.06604347826087,2.2421123342615913e-30,-32.35447365578785,3.938552105037416e-09,-22.49202675585284,7.600823172252674e-05,-22.39102675585284,1.0995581038022993e-07,-21.16902675585284,2.487682055329514e-07,-32.74286411064163,5.485678478166396e-26,-28.850903010033445,4.428772069644606e-112,-26.950026755852843,1.5572452679333246e-08,-37.251501672240806,4.028144152503658e-13,-30.59225906289266,1.0039566183832309e-11,-21.065284280936453,7.976854807943928e-08,-24.293026755852843,6.5137764365134495e-22,-25.96438127090301,2.7344317850608987e-06,-24.378026755852844,7.664378211625651e-48,-28.430026755852843,1.1391876191303253e-05,-21.473026755852842,1.6007843275258186e-05,-23.966026755852845,3.094664205506957e-05,-28.91402675585284,4.858757406228872e-07,-27.64253177257525,7.808152348136123e-09
-22.960652173913044,3.825316466033873e-30,-32.21057448879808,4.431327266620337e-09,-22.38663210702341,8.12373843602321e-05,-22.28563210702341,1.230181877372459e-07,-21.06363210702341,2.8063380082845155e-07,-32.59896494365186,7.675609671579128e-26,-28.721083612040132,2.6401123628555606e-111,-26.84463210702341,1.748873380538419e-08,-37.107602006688964,4.726521408137589e-13,-30.44835989590289,1.172436431977705e-11,-20.959341137123744,8.981840230558388e-08,-24.18763210702341,9.258612026487757e-22,-25.85725752508361,3.0426262095120623e-06,-24.272632107023412,1.6379608287065127e-47,-28.32463210702341,1.2297313223122362e-05,-21.36763210702341,1.7208981440567683e-05,-23.860632107023413,3.3359044624376734e-05,-28.80863210702341,5.354249568556238e-07,-27.529438127090298,8.835632166504685e-09
-22.855260869565218,6.526455361626145e-30,-32.06667532180831,4.985756394479803e-09,-22.281237458193978,8.682625675891506e-05,-22.18023745819398,1.3763233100952765e-07,-20.958237458193977,3.1658117112369286e-07,-32.45506577666209,1.0739780697123822e-25,-28.591264214046824,1.5738433089110212e-110,-26.73923745819398,1.9640824495769774e-08,-36.96370234113713,5.54597943266188e-13,-30.304460728913124,1.3691898253949326e-11,-20.853397993311034,1.0113441421146477e-07,-24.08223745819398,1.3160091920948347e-21,-25.750133779264214,3.38555672875547e-06,-24.16723745819398,3.5005001088117037e-47,-28.21923745819398,1.3274714286315419e-05,-21.26223745819398,1.8500244563750476e-05,-23.75523745819398,3.5959495928231084e-05,-28.70323745819398,5.900271592233338e-07,-27.41634448160535,9.998318717468703e-09
-22.74986956521739,1.113492699637e-29,-31.922776154818546,5.609553374813191e-09,-22.175842809364546,9.27995900318387e-05,-22.074842809364547,1.5398258464585077e-07,-20.852842809364546,3.571331648314963e-07,-32.31116660967233,1.5027195800406192e-25,-28.46144481605351,9.382111139864036e-110,-26.63384280936455,2.2057742490923304e-08,-36.81980267558529,6.507510537147474e-13,-30.160561561923355,1.598961552910901e-11,-20.747454849498325,1.1387610401391207e-07,-23.97684280936455,1.8705613635428177e-21,-25.643010033444817,3.7671383638142314e-06,-24.06184280936455,7.480948748613901e-47,-28.11384280936455,1.432979891594198e-05,-21.156842809364548,1.9888394728002868e-05,-23.64984280936455,3.87626534224036e-05,-28.597842809364547,6.501976462343543e-07,-27.303250836120398,1.1314003941874858e-08
-22.644478260869565,1.899754037137778e-29,-31.77887698782878,6.311397222949423e-09,-22.070448160535115,9.91838263249374e-05,-21.969448160535116,1.7227519256736846e-07,-20.747448160535114,4.028796036963483e-07,-32.16726744268256,2.1026184797630484e-25,-28.3316254180602,5.592933485969244e-109,-26.528448160535117,2.4772076332944626e-08,-36.67590301003345,7.635746562940067e-13,-30.01666239493359,1.8672926136803496e-11,-20.641511705685616,1.2822308949607938e-07,-23.871448160535117,2.6587958775648465e-21,-25.535886287625416,4.191727381570453e-06,-23.956448160535118,1.5987599611412637e-46,-28.008448160535117,1.546874119640588e-05,-21.051448160535116,2.1380701335773435e-05,-23.54444816053512,4.178431686039478e-05,-28.492448160535115,7.165042658902044e-07,-27.19015719063545,1.2802821033395165e-08
-22.53908695652174,3.241211552440215e-29,-31.634977820839012,7.101052836257664e-09,-21.965053511705683,0.00010600722567833076,-21.864053511705684,1.9274089974452629e-07,-20.642053511705683,4.544858615972837e-07,-32.02336827569279,2.9420023071247745e-25,-28.20180602006689,3.3341008768870576e-108,-26.423053511705685,2.782042477342289e-08,-36.53200334448161,8.959589883200985e-13,-29.87276322794382,2.1806538742322966e-11,-20.535568561872907,1.443776180487601e-07,-23.766053511705685,3.779183969226656e-21,-25.42876254180602,4.664171024176754e-06,-23.851053511705686,3.4167235991584715e-46,-27.903053511705686,1.6698205881600632e-05,-20.946053511705685,2.2984979163643286e-05,-23.439053511705687,4.504151728724318e-05,-28.387053511705684,7.895727745873883e-07,-27.0770635451505,1.4487552525447725e-08
-22.433695652173913,5.529901304223499e-29,-31.491078653849247,7.989506855151878e-09,-21.859658862876252,0.00011329999090344286,-21.758658862876253,2.1563786283090903e-07,-20.53665886287625,5.127025422266723e-07,-31.879469108703024,4.116475555804484e-25,-28.071986622073577,1.9875488748696653e-107,-26.317658862876254,3.124389025291492e-08,-36.38810367892977,1.0512953803988892e-12,-29.728864060954056,2.546602114935487e-11,-20.429625418060198,1.6256741771649475e-07,-23.660658862876254,5.371691596852007e-21,-25.321638795986622,5.1898628427075255e-06,-23.745658862876255,7.301909252664284e-46,-27.797658862876254,1.8025387384579738e-05,-20.840658862876253,2.470962927078797e-05,-23.333658862876256,4.8552612961983124e-05,-28.281658862876252,8.700927425039565e-07,-26.96396989966555,1.6393978919458063e-08
-22.328304347826087,9.434684512163258e-29,-31.347179486859478,8.989120522452528e-09,-21.75426421404682,0.00012109440102369779,-21.65326421404682,2.4125490656852425e-07,-20.43126421404682,5.783763964001833e-07,-31.735569941713255,5.759808875913772e-25,-27.94216722408027,1.1848323358722426e-106,-26.212264214046822,3.5088633105900674e-08,-36.24420401337793,1.233563133196831e-12,-29.584964893964287,2.9739622635311876e-11,-20.323682274247492,1.8304890743881457e-07,-23.555264214046822,7.635264873753937e-21,-25.214515050167225,5.774804266527687e-06,-23.640264214046823,1.5604972771948997e-45,-27.692264214046823,1.9458051864601148e-05,-20.735264214046822,2.6563682974846338e-05,-23.228264214046824,5.233739274742853e-05,-28.17626421404682,9.588240611983772e-07,-26.8508762541806,1.8551273189320413e-08
-22.22291304347826,1.60967198051201e-28,-31.203280319869712,1.0113801667867167e-08,-21.64886956521739,0.00012942495386395898,-21.54786956521739,2.699151670404947e-07,-20.32586956521739,6.524626377820017e-07,-31.59167077472349,8.059175340000619e-25,-27.812347826086956,7.063110154816252e-106,-26.10686956521739,3.940649396382813e-08,-36.10030434782609,1.4474314564237698e-12,-29.441065726974518,3.4730402103374085e-11,-20.217739130434783,2.061108117403673e-07,-23.44986956521739,1.0852683673527513e-20,-25.107391304347825,6.425673110989547e-06,-23.53486956521739,3.334952089748541e-45,-27.58686956521739,2.1004582657465814e-05,-20.62986956521739,2.85568491250218e-05,-23.122869565217393,5.641718754772e-05,-28.07086956521739,1.0566041148307302e-06,-26.73778260869565,2.099244719893053e-08
-22.117521739130435,2.7462962661921187e-28,-31.059381152879943,1.13791982104442e-08,-21.543474916387957,0.00013832851841357548,-21.442474916387958,3.0198016772668394e-07,-20.220474916387957,7.360388361473623e-07,-31.44777160773372,1.1276469160718457e-24,-27.682528428093647,4.210513466644907e-105,-26.00147491638796,4.425569274840131e-08,-35.956404682274254,1.6983790814301652e-12,-29.297166559984753,4.055871337213365e-11,-20.111795986622074,2.320782308249601e-07,-23.34447491638796,1.542588827828623e-20,-25.000267558528428,7.149899805208327e-06,-23.42947491638796,7.12715465989835e-45,-27.48147491638796,2.2674029314574612e-05,-20.52447491638796,3.0699564919432155e-05,-23.01747491638796,6.081499041904771e-05,-27.965474916387958,1.1643556826781644e-06,-26.6246889632107,2.375485686405701e-08
-22.01213043478261,4.685515603807485e-28,-30.915481985890175,1.2802915871236636e-08,-21.438080267558526,0.00014784449763022986,-21.337080267558527,3.378543797769805e-07,-20.115080267558525,8.303205902471857e-07,-31.30387244074395,1.5778135028468752e-24,-27.552709030100335,2.510002430120648e-104,-25.896080267558528,4.97016136799681e-08,-35.81250501672241,1.9928346115720685e-12,-29.153267392994984,4.7365107536186047e-11,-20.005852842809364,2.613172234481417e-07,-23.239080267558528,2.1926192297911318e-20,-24.89314381270903,7.955752209715562e-06,-23.32408026755853,1.5231503235760171e-44,-27.376080267558528,2.44761605371714e-05,-20.419080267558527,3.300305053219884e-05,-22.91208026755853,6.555558602739732e-05,-27.860080267558526,1.2830956475168149e-06,-26.51159531772575,2.6880773788748936e-08
-21.906739130434783,7.994059761062852e-28,-30.77158281890041,1.440476312525412e-08,-21.332685618729094,0.00015801500239694493,-21.231685618729095,3.779903240246577e-07,-20.009685618729094,9.366792082207585e-07,-31.159973273754186,2.2076905583514188e-24,-27.422889632107022,1.496281213472066e-103,-25.790685618729096,5.581768688563989e-08,-35.66860535117057,2.3383412057425917e-12,-29.00936822600522,5.531372238876989e-11,-19.899909698996655,2.9423996717123566e-07,-23.133685618729096,3.1165654775402005e-20,-24.78602006688963,8.852429991745568e-06,-23.218685618729097,3.25513759546059e-44,-27.270685618729097,2.6421521314951853e-05,-20.313685618729096,3.547936783561696e-05,-22.806685618729098,7.066569017933124e-05,-27.754685618729095,1.41394459204625e-06,-26.3985016722408,3.0418032123695264e-08
-21.801347826086957,1.363883868223907e-27,-30.62768365191064,1.6207026800766875e-08,-21.227290969899663,0.0001688850373927636,-21.126290969899664,4.228942790954531e-07,-19.904290969899662,1.0566616526982018e-06,-31.016074106764417,3.0890200854790154e-24,-27.293070234113713,8.919742239777959e-103,-25.685290969899665,6.268637849426997e-08,-35.524705685618734,2.743749813819206e-12,-28.86546905901545,6.459624064318551e-11,-19.793966555183946,3.3131056873869274e-07,-23.028290969899665,4.429852773260847e-20,-24.678896321070233,9.850169634890232e-06,-23.113290969899666,6.956582420902649e-44,-27.165290969899665,2.8521494602720447e-05,-20.208290969899664,3.81414835240755e-05,-22.701290969899667,7.617410020798294e-05,-27.649290969899663,1.5581373739115867e-06,-26.285408026755853,3.4420760545023605e-08
-21.69595652173913,2.3269518387414294e-27,-30.483784484920875,1.8234782160425957e-08,-21.12189632107023,0.0001805026996889711,-21.020896321070232,4.7313266761290975e-07,-19.79889632107023,1.192013040669271e-06,-30.872174939774652,4.322184126935912e-24,-27.1632508361204,5.3173027174124e-102,-25.579896321070233,7.040030256818862e-08,-35.38080602006689,3.219445914199556e-12,-28.721569892025684,7.543651240642216e-11,-19.688023411371237,3.730516064849125e-07,-22.922896321070233,6.296545262464756e-20,-24.571772575250836,1.0960361281096797e-05,-23.007896321070234,1.4866971843616798e-43,-27.059896321070234,3.078836789522162e-05,-20.102896321070233,4.100333696931581e-05,-22.595896321070235,8.211185705692326e-05,-27.543896321070232,1.7170347791116297e-06,-26.1723143812709,3.895021055457656e-08
-21.590565217391305,3.970062984081835e-27,-30.339885317931106,2.0516241778417866e-08,-21.0165016722408,0.00019291939093746865,-20.9155016722408,5.293392010535654e-07,-19.6935016722408,1.3447020253478123e-06,-30.728275772784883,6.047638121537164e-24,-27.03343143812709,3.169789824476668e-101,-25.4745016722408,7.906346986436454e-08,-35.23690635451506,3.777615561831346e-12,-28.577670725035915,8.809595337703698e-11,-19.582080267558528,4.200514969954809e-07,-22.8175016722408,8.949841963502325e-20,-24.46464882943144,1.2195678737858768e-05,-22.902501672240803,3.1772332795881024e-43,-26.954501672240802,3.3235405088798066e-05,-19.9975016722408,4.4079913161235825e-05,-22.490501672240804,8.85124199696652e-05,-27.4385016722408,1.8921363637560471e-06,-26.059220735785953,4.407569377664222e-08
