Ligand	Mu_ex	Mu_ex_err	B50	B50_err
Benzene	-0.5130343171916484	0.0253070427873143	-7.10	0.29
Benzofuran	-3.1201053701350925	0.021709453347162	-11.56	0.23
Indene	-2.0972660928520708	0.0162468410172009	-9.32	0.13
Indole	-6.1293261278107	0.0151819731422181	-13.14	0.14
Toluene	-0.3610988059935985	0.0382846259492549	-7.83	0.14
Ethylbenzene	-0.2029978822609904	0.0273426977616091	-8.73	0.38
m-xylene	-0.2084604128610062	0.0359030422271749	-6.47	0.08
o-xylene	-0.4229053677426551	0.0153267954400258	-5.39	0.20
Phenol	-5.206573494631095	0.0385525972813299	-10.56	0.12
Propylbenzene	0.0814834467690939	0.0453535679214793	-9.15	0.18
Thianaphthene	-2.2651407201543514	0.035560722685822	-10.62	0.13
Isobutylbenzene	0.3196866838019676	0.0095007411658812	-7.47	0.12
n-Butylbenzene	0.3754588811888786	0.0146327589931763	-7.35	0.34
p-Xylene	-0.2643626957670811	0.0124795249126639	-7.87	0.04
2-Fluorobenzaldehyde	-3.281285152370161	0.0124149970990091	-9.39	0.23
1,2-Dichlorobenzene	-0.0266027581969675	0.0140822882180309	-9.60	0.11
n-Methylaniline	-4.5632817511114725	0.0100028118143894	-12.74	0.15
1-Methylpyrrole	-2.1182495116840063	0.007779315717082	-9.67	0.29
1,2-Benzenedithiol	-1.9234836329564449	0.0580140128711465	-10.21	0.61
Thieno[2,3-c]pyridine	-4.162609359875152	0.0318679280531858	-13.12	0.23
