B_Benzene,r1_Benzene,r2_Benzene,r3_Benzene,r4_Benzene,B_Benzofuran,r1_Benzofuran,r2_Benzofuran,r3_Benzofuran,r4_Benzofuran,B_Indene,r1_Indene,r2_Indene,r3_Indene,r4_Indene,B_Indole,r1_Indole,r2_Indole,r3_Indole,r4_Indole,B_Toluene,r1_Toluene,r2_Toluene,r3_Toluene,r4_Toluene,B_Ethylbenzene,r1_Ethylbenzene,r2_Ethylbenzene,r3_Ethylbenzene,r4_Ethylbenzene,B_m-xylene,r1_m-xylene,r2_m-xylene,r3_m-xylene,r4_m-xylene,B_o-xylene,r1_o-xylene,r2_o-xylene,r3_o-xylene,r4_o-xylene,B_Phenol,r1_Phenol,r2_Phenol,r3_Phenol,r4_Phenol,B_Propylbenzene,r1_Propylbenzene,r2_Propylbenzene,r3_Propylbenzene,r4_Propylbenzene,B_Thianaphthene,r1_Thianaphthene,r2_Thianaphthene,r3_Thianaphthene,r4_Thianaphthene,B_Isobutylbenzene,r1_Isobutylbenzene,r2_Isobutylbenzene,r3_Isobutylbenzene,r4_Isobutylbenzene,B_n-Butylbenzene,r1_n-Butylbenzene,r2_n-Butylbenzene,r3_n-Butylbenzene,r4_n-Butylbenzene,B_p-Xylene,r1_p-Xylene,r2_p-Xylene,r3_p-Xylene,r4_p-Xylene,B_2-Fluorobenzaldehyde,r1_2-Fluorobenzaldehyde,r2_2-Fluorobenzaldehyde,r3_2-Fluorobenzaldehyde,r4_2-Fluorobenzaldehyde,"B_1,2-Dichlorobenzene","r1_1,2-Dichlorobenzene","r2_1,2-Dichlorobenzene","r3_1,2-Dichlorobenzene","r4_1,2-Dichlorobenzene",B_n-Methylaniline,r1_n-Methylaniline,r2_n-Methylaniline,r3_n-Methylaniline,r4_n-Methylaniline,B_1-Methylpyrrole,r1_1-Methylpyrrole,r2_1-Methylpyrrole,r3_1-Methylpyrrole,r4_1-Methylpyrrole,"B_1,2-Benzenedithiol","r1_1,2-Benzenedithiol","r2_1,2-Benzenedithiol","r3_1,2-Benzenedithiol","r4_1,2-Benzenedithiol","B_Thieno[2,3-c]pyridine","r1_Thieno[2,3-c]pyridine","r2_Thieno[2,3-c]pyridine","r3_Thieno[2,3-c]pyridine","r4_Thieno[2,3-c]pyridine"
-21.311754897841496,0.0,0.0,0.0,0.0,-27.971,0.0,,,,-14.905,0.0,,,,-19.441,0.0,,,,-23.462359945590467,0.0,0.0,0.0,0.0,-23.07396949073669,0.0,0.0,0.0,0.0,-11.595,0.0,0.009,0.0,0.0,-12.0,0.0,,,,-18.208,,0.0,0.0,0.0,-23.783,0.0,,,,-17.477,0.0,0.0,0.0,0.002,-13.019,0.0,0.0,0.0,0.0,-12.918,0.0,0.0,0.0,0.0,-11.696,0.01,0.004,0.0,0.011,-14.493,0.002,0.027,0.0,0.0,-13.593,0.004,0.008,0.001,0.064,-18.957,0.005,0.0,0.0,0.0,-14.82,0.0,0.0,0.001,0.501,-19.5,0.0,0.0,0.0,0.0,-16.5,0.061,0.006,0.025,0.044
-19.00916980484745,0.0,0.0,0.0,0.0,-25.668,0.0,,,,-12.602,0.039,0.003,0.003,0.053,-17.138,0.017,0.0,0.0,0.0,-21.159774852596424,0.0,0.0,0.0,0.0,-20.771384397742647,0.0,0.0,0.0,0.0,-9.292,0.023,0.002,0.23,0.001,-9.698,0.007,,,,-15.906,,0.019,0.002,0.0,-21.481,0.0,,,,-17.17,0.0,,,,-10.717,0.049,0.002,0.169,0.596,-10.615,0.0,0.004,0.001,0.065,-9.394,0.166,0.124,0.0,0.175,-12.191,0.0,0.0,0.005,0.003,-11.291,0.201,0.013,0.54,0.008,-16.655,0.012,0.005,0.0,0.0,-12.518,0.02,0.014,0.0,0.072,-19.0,0.0,0.0,0.0,0.0,-15.98,0.0,0.555,0.0,0.037
-16.706584711853402,0.0,0.0,0.0,0.0,-23.366,0.0,,,,-12.17,0.046,0.009,0.0,0.014,-16.707,0.0,0.067,0.0,0.007,-18.857189759602377,0.0,0.0,0.0,0.0,-18.4687993047486,0.0,0.0,0.003,0.0,-8.86,0.073,0.0,0.082,0.207,-9.266,0.0,,,,-15.474,,0.033,0.0,0.007,-19.178,0.002,,,,-16.863,0.0,,,,-10.285,0.012,0.002,0.563,0.019,-10.184,0.001,0.0,0.0,0.0,-8.962,0.0,0.255,0.712,0.117,-11.759,0.001,0.726,0.0,0.027,-10.859,0.057,0.256,0.003,0.148,-16.223,0.0,0.0,0.031,0.01,-12.086,0.132,0.103,0.074,0.02,-18.5,0.0,0.0,0.0,0.0,-15.5,0.0,0.629,0.0,0.0
-14.403999618859356,0.0,0.0,0.0,0.0,-21.063,0.0,0.0,0.0,0.0,-11.739,0.047,0.027,0.083,0.131,-16.275,0.0,0.0,0.0,0.029,-16.55460466660833,0.0,0.0,0.0,0.0,-16.166214211754554,0.0,0.0,0.0,0.0,-8.429,0.112,0.487,0.214,0.035,-8.834,0.0,0.0,0.0,0.0,-15.042,,0.005,0.072,0.003,-16.875,0.0,,,,-16.556,0.003,,,,-9.853,0.361,0.005,0.249,0.158,-9.752,0.0,0.011,0.001,0.002,-8.53,0.043,0.0,0.114,0.061,-11.327,0.0,0.104,0.039,0.598,-10.427,0.001,0.0,0.011,0.525,-15.791,0.032,0.019,0.001,0.024,-11.654,0.091,0.051,0.014,0.553,-18.0,0.0,0.0,0.0,0.0,-15.0,0.766,0.511,0.078,0.022
-13.695511897938111,0.0,0.001,0.001,0.001,-20.355,0.0,0.0,0.0,0.0,-11.307,0.633,0.119,0.062,0.185,-15.843,0.007,0.044,0.15,0.015,-15.846116945687086,0.0,0.0,0.0,0.0,-15.457726490833307,0.0,0.0,0.0,0.0,-7.997,0.491,0.386,0.709,0.169,-8.402,0.19,,,,-14.611,,0.048,0.013,0.003,-16.167,0.0,,,,-16.249,0.003,,,,-9.422,0.0,0.641,0.047,0.648,-9.32,0.0,0.11,0.822,0.017,-8.098,0.861,0.262,0.693,0.984,-10.896,0.585,0.849,0.759,0.004,-9.996,0.909,0.195,0.065,0.001,-15.36,0.017,0.054,0.003,0.565,-11.222,0.699,0.048,0.832,0.041,-17.5,0.005,0.0,0.0,0.001,-14.5,0.662,0.012,0.293,0.008
-12.987024177016869,0.019,0.0,0.005,0.005,-19.646,0.0,0.0,0.0,0.0,-10.875,0.184,0.135,0.081,0.255,-15.412,0.405,0.198,0.253,0.032,-15.137629224765842,0.0,0.002,0.0,0.0,-14.749238769912065,0.005,0.0,0.011,0.0,-7.565,0.081,0.065,0.004,0.087,-7.971,0.003,,,,-14.179,,0.075,0.043,0.003,-15.458,0.0,,,,-15.942,0.004,,,,-8.99,0.986,0.066,0.015,0.083,-8.888,0.848,0.179,0.125,0.056,-7.667,0.684,0.849,0.712,0.077,-10.464,0.344,0.001,0.77,0.599,-9.564,0.267,0.907,0.989,0.533,-14.928,0.147,0.568,0.0,0.576,-10.791,0.165,0.352,0.0,0.287,-17.0,0.0,0.0,0.0,0.0,-14.0,0.133,0.678,0.076,0.003
-12.278536456095622,0.003,0.0,0.024,0.024,-18.938,0.0,0.0,0.0,0.001,-10.443,0.447,0.352,0.243,0.037,-14.98,0.037,0.002,0.049,0.097,-14.429141503844596,0.0,0.0,0.003,0.0,-14.040751048990815,0.002,0.007,0.008,0.0,-7.35,,0.076,0.456,0.208,-7.539,0.001,0.496,0.103,0.004,-13.747,,0.045,0.005,0.0,-14.75,0.001,,,,-15.635,0.008,,,,-8.558,0.08,0.033,0.062,0.514,-8.457,0.472,0.014,0.0,1.0,-7.235,0.797,0.723,0.312,0.952,-10.032,0.169,0.0,0.201,0.058,-9.132,0.828,0.766,1.0,0.806,-14.496,0.133,0.027,0.084,0.052,-10.359,0.21,0.057,0.213,0.6,-16.5,0.0,0.0,0.0,0.0,-13.68,0.106,0.162,0.264,0.677
-11.570048735174378,0.008,0.004,0.0,0.053,-18.584,,0.0,0.0,0.0,-10.012,0.167,0.091,0.243,0.288,-14.548,0.121,0.033,0.29,0.213,-13.720653782923351,0.0,0.0,0.0,0.012,-13.332263328069573,0.026,0.003,0.0,0.003,-7.134,0.039,0.349,0.283,0.821,-7.107,0.999,0.031,0.237,0.109,-13.603,0.0,,,,-14.041,0.007,,,,-15.328,0.054,,,,-8.126,0.749,0.954,0.089,0.072,-8.025,0.141,0.988,0.097,0.079,-6.803,0.433,0.879,0.983,0.889,-9.6,0.898,0.918,0.748,0.284,-8.7,0.979,0.224,0.897,0.389,-14.064,0.094,0.136,0.841,0.24,-9.927,0.024,0.232,0.932,0.96,-16.0,0.004,0.0,0.011,0.0,-13.5,0.544,0.058,0.174,0.747
-10.861561014253134,0.009,0.001,0.1,0.1,-18.229,0.0,0.007,0.0,0.0,-9.58,0.513,0.238,0.195,0.294,-14.116,0.84,0.622,0.205,0.317,-13.012166062002107,0.0,0.001,0.0,0.0,-12.623775607148328,0.03,0.007,0.006,0.007,-6.918,,0.255,0.243,0.064,-6.675,0.007,0.114,0.05,0.606,-13.315,,0.092,0.055,0.011,-13.333,0.019,,,,-15.175,0.0,0.003,0.044,0.0,-7.695,0.031,0.206,0.998,1.0,-7.593,0.7,0.775,0.0,0.784,-6.371,0.935,0.598,0.404,0.957,-9.169,0.202,0.667,0.688,0.058,-8.269,0.754,0.717,0.894,0.967,-13.633,0.675,0.343,0.542,0.696,-9.495,0.259,0.872,0.875,0.156,-15.5,0.0,0.001,0.0,0.003,-13.24,0.803,0.241,0.916,0.11
-10.153073293331888,0.014,0.003,0.014,0.014,-17.875,,0.0,0.003,0.0,-9.364,,0.246,0.28,0.883,-13.901,,0.605,0.264,0.215,-12.30367834108086,0.006,0.003,0.009,0.0,-11.915287886227082,0.163,0.007,0.021,0.023,-6.702,0.408,0.525,0.412,0.573,-6.244,0.488,0.739,0.563,0.05,-12.884,,0.043,0.129,0.045,-12.625,0.067,,,,-15.021,0.0,,,,-7.263,1.0,0.025,0.949,0.011,-7.162,0.594,0.147,0.09,0.643,-5.94,0.967,0.916,0.951,0.877,-8.737,0.953,0.786,0.395,0.187,-7.837,0.919,0.924,0.22,0.75,-13.201,0.656,0.07,0.706,0.031,-9.064,0.022,0.867,0.357,0.366,-15.0,0.0,0.0,0.0,0.0,-12.81,0.27,0.782,0.384,0.116
