#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-696438.8701539247,1.4111928116688786,435.75245692191004,--
200,-696981.149227343,2.284369762618235,435.75245692191004,2:01:26
300,-697564.7830018334,3.017794265835727,435.75245692191004,1:54:44
400,-698087.1490082962,3.3702380570286796,435.75245692191004,1:53:18
500,-698644.0183950998,3.733033853912077,435.75245692191004,1:50:31
600,-699134.7001621258,3.895035492803458,435.75245692191004,1:48:43
700,-699590.7757774834,3.9418402468592832,435.75245692191004,1:48:32
800,-700008.9590926385,3.925340265749924,435.75245692191004,1:47:29
900,-700417.887355064,3.9195937662694176,435.75245692191004,1:47:27
1000,-700752.3505686631,3.80646404849739,435.75245692191004,2:24:03
1100,-701075.4247728197,3.696572601355167,435.75245692191004,2:19:44
1200,-701359.9306775525,3.60626772931525,435.75245692191004,2:16:43
1300,-701608.7161123995,3.5077619068506585,435.75245692191004,2:13:46
1400,-701846.1752098547,3.4348680205102196,435.75245692191004,2:11:41
1500,-702057.0712171029,3.363698113729624,435.75245692191004,2:09:31
1600,-702230.4193514013,3.2680838099860496,435.75245692191004,2:07:36
1700,-702399.8075960332,3.237566932271194,435.75245692191004,2:06:18
1800,-702577.7236677255,3.2750006911031093,435.75245692191004,2:04:49
1900,-702679.4333872763,3.15715260055597,435.75245692191004,2:03:55
2000,-702819.8742093211,3.1745885253825525,435.75245692191004,2:02:43
2100,-702925.1837194306,3.1758000761027083,435.75245692191004,2:01:38
2200,-703031.1389873209,3.202101512318678,435.75245692191004,2:00:57
2300,-703106.2662106673,3.2040457082089926,435.75245692191004,2:00:03
2400,-703182.5156776574,3.256565248009393,435.75245692191004,1:59:29
2500,-703268.5922953128,3.3194310743531554,435.75245692191004,1:58:43
2600,-703342.9117744553,3.422099407811301,435.75245692191004,1:58:02
2700,-703397.5987794916,3.4554192217083153,435.75245692191004,1:57:37
2800,-703458.8979503217,3.5274466931087036,435.75245692191004,1:57:00
2900,-703489.2526683304,3.5252889941958165,435.75245692191004,1:56:39
3000,-703529.6561184404,3.609011116034401,435.75245692191004,1:56:06
3100,-703560.568562679,3.708282268431188,435.75245692191004,1:55:36
3200,-703565.3218138083,3.7219958392925956,435.75245692191004,1:55:20
3300,-703585.257635914,3.799110311862499,435.75245692191004,1:54:54
3400,-703582.1742826693,3.8454608522178324,435.75245692191004,1:54:39
3500,-703577.6476673149,3.9179657475570058,435.75245692191004,1:54:16
3600,-703593.6455174051,4.027209275200602,435.75245692191004,1:53:53
3700,-703601.156057124,4.137095666593084,435.75245692191004,1:53:42
3800,-703606.2680005999,4.26113843057029,435.75245692191004,1:53:21
3900,-703594.1384251527,4.381252489858548,435.75245692191004,1:53:11
4000,-703626.3672222991,4.568419860308824,435.75245692191004,1:52:53
4100,-703616.444427364,4.6245715529391935,435.75245692191004,1:52:35
