Running SLURM prolog script on pink54.cluster.local
===============================================================================
Job started on Thu Aug  8 17:25:13 BST 2024
Job ID          : 6416869
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Benzofuran_0
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Benzofuran_0/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink54
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink54

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Benzofuran_0
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Benzofuran_0
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Benzofuran_0
1
0.559 [81.825, 137.742] [-69.511, 51.32, -131.852]
Adding Boresch restraints..
raA0 = 0.559 nm between atoms <Atom 2647 (C5) of chain 1 residue 166 (L02)> and <Atom 1564 (N) of chain 0 residue 99 (ALA)>
theta_A0 = 81.825 deg between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
theta_B0 = 137.742 deg between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_A0 = -1.2131958163537784 rad between [<Atom 2649 (C7) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
phi_B0 = 0.8957029721234899 rad between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_C0 = -2.3012515253395636 rad between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>, <Atom 1555 (CA) of chain 0 residue 98 (ALA)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.559 nm
theta_A0 = 1.4281156604443601 rad
theta_B0 = 2.4040514182820294 rad
phi_A0 = -1.2131958163537784 rad
phi_B0 = 0.8957029721234899 rad
phi_C0 = -2.3012515253395636 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-729879.1934436972,2.863652972732969,450.40446844901965,--
2000,-731523.7769565722,2.95780685639391,450.40446844901965,1:45:43
3000,-731855.495639096,3.3304554482585242,450.40446844901965,1:45:40
4000,-731761.0472863717,4.306359585078101,450.40446844901965,1:45:43
5000,-731452.0470738981,5.358853918001766,450.40446844901965,1:45:45
6000,-731137.3384720897,6.599371453221782,450.40446844901965,1:45:49
7000,-730846.6025831862,7.7737113458394616,450.40446844901965,1:45:51
8000,-730479.1219592425,8.948203550169676,450.40446844901965,1:45:52
9000,-730064.7384324549,10.116882997923334,450.40446844901965,1:45:52
10000,-729710.512666879,11.310597979234537,450.40446844901965,1:45:53
11000,-729366.6767927599,12.38125356455349,450.40446844901965,1:45:54
12000,-729109.9228216049,13.688827019072171,450.40446844901965,1:45:55
13000,-728949.7562369148,14.922915806726213,450.40446844901965,1:45:56
14000,-728600.0973940257,15.906537982465625,450.40446844901965,1:45:57
15000,-728399.3186995513,17.353284850676413,450.40446844901965,1:45:58
16000,-728136.8525318212,18.329765633171245,450.40446844901965,1:45:58
17000,-727833.5615680763,19.692287184203206,450.40446844901965,1:46:00
18000,-727721.1646930159,20.963326284289273,450.40446844901965,1:46:03
19000,-727504.7615446141,22.234900448126417,450.40446844901965,1:46:06
20000,-727347.6421808752,23.296131713107155,450.40446844901965,1:46:08
21000,-727423.0383289999,24.390742837998612,450.40446844901965,1:46:10
22000,-727149.3284127978,25.54734374442332,450.40446844901965,1:46:12
23000,-727048.8662924897,26.72167284879717,450.40446844901965,1:46:14
24000,-726770.598689083,27.645633409263286,450.40446844901965,1:46:15
25000,-726580.5642128545,29.07020970009729,450.40446844901965,1:46:16
26000,-726432.5797973312,30.483927518312353,450.40446844901965,1:46:18
27000,-726231.3833255288,31.387276364432072,450.40446844901965,1:46:19
28000,-726108.9038131246,32.361268267417486,450.40446844901965,1:46:20
29000,-725978.8897811426,33.72630763920104,450.40446844901965,1:46:21
30000,-725593.4931512992,35.0585335723438,450.40446844901965,1:46:22
31000,-725389.4824197148,35.96410042531883,450.40446844901965,1:46:24
32000,-725046.623352296,37.148860961349115,450.40446844901965,1:46:26
33000,-724915.9813194438,38.20788161765048,450.40446844901965,1:46:28
34000,-724709.3304164447,39.643754284203794,450.40446844901965,1:46:29
35000,-724447.5618703971,41.26579112410156,450.40446844901965,1:46:30
36000,-724326.6430701851,41.899534422999245,450.40446844901965,1:46:32
37000,-724010.8873199048,43.224254680837554,450.40446844901965,1:46:33
38000,-723796.8082229611,44.48441035551953,450.40446844901965,1:46:34
39000,-723683.2086950066,45.686670473772246,450.40446844901965,1:46:35
40000,-723236.9603441074,46.864883614016264,450.40446844901965,1:46:36
41000,-723065.6794910589,48.0965703346164,450.40446844901965,1:46:37
42000,-723057.7724028663,49.24214759875815,450.40446844901965,1:46:38
43000,-722694.7468051882,50.35917671600076,450.40446844901965,1:46:39
44000,-722417.5765254244,51.47423095848719,450.40446844901965,1:46:40
45000,-722175.9095257365,53.11934425792263,450.40446844901965,1:46:41
46000,-722065.6077170214,53.91988647090448,450.40446844901965,1:46:41
47000,-721695.5584217196,54.880992092219024,450.40446844901965,1:46:42
48000,-721393.4180232936,56.1055638210826,450.40446844901965,1:46:43
