#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-725031.1914499498,0.7663794179296614,449.6387762541752,--
200,-725424.8923738983,1.4707921911900372,449.6387762541752,1:54:23
300,-725816.4108089472,1.981972547335856,449.6387762541752,1:51:25
400,-726155.9101941129,2.2315422818569113,449.6387762541752,1:51:41
500,-726562.3289564915,2.5944815902928613,449.6387762541752,1:50:00
600,-726867.8185109971,2.663441057799476,449.6387762541752,1:50:09
700,-727182.580941543,2.745238150606144,449.6387762541752,1:49:12
800,-727454.1338253999,2.767511085485016,449.6387762541752,1:48:36
900,-727748.1859827838,2.8419221051514714,449.6387762541752,1:48:53
1000,-727983.9361662669,2.7977640026800095,449.6387762541752,2:27:13
1100,-728182.3618564291,2.757007709754278,449.6387762541752,2:23:31
1200,-728430.0654463661,2.857989260687775,449.6387762541752,2:20:01
1300,-728603.4363937702,2.7975912384998174,449.6387762541752,2:17:05
1400,-728785.6643916848,2.81672002001962,449.6387762541752,2:15:02
1500,-728980.0862907986,2.874883382420536,449.6387762541752,2:12:53
1600,-729120.1128746138,2.8673733529475185,449.6387762541752,2:11:25
1700,-729232.0535202397,2.837324920002694,449.6387762541752,2:09:46
1800,-729345.4869654113,2.8318056368713695,449.6387762541752,2:08:17
1900,-729456.7959176926,2.8532657504902565,449.6387762541752,2:07:18
2000,-729526.5539648721,2.845264045813974,449.6387762541752,2:06:06
2100,-729610.8986198017,2.9100375187071945,449.6387762541752,2:05:20
2200,-729685.4884089145,2.9403031246544438,449.6387762541752,2:04:21
2300,-729727.9511663797,2.9679866729100985,449.6387762541752,2:03:27
2400,-729759.8618986374,2.967332939794916,449.6387762541752,2:02:53
2500,-729838.7297319195,3.1321271739678593,449.6387762541752,2:02:09
2600,-729879.1411025925,3.14534895151284,449.6387762541752,2:01:40
2700,-729881.4914611045,3.184123327494175,449.6387762541752,2:01:01
2800,-729886.757249641,3.208097301802176,449.6387762541752,2:00:26
2900,-729885.1040842428,3.2495547476476356,449.6387762541752,2:00:04
3000,-729905.4958650218,3.3582248922588596,449.6387762541752,1:59:33
3100,-729887.1795254548,3.41214481940045,449.6387762541752,1:59:03
3200,-729882.5302261496,3.50498959553116,449.6387762541752,1:58:47
3300,-729879.328342665,3.62690889385919,449.6387762541752,1:58:21
3400,-729869.2131005172,3.6969053325127397,449.6387762541752,1:58:07
3500,-729858.2815756889,3.7964029150199345,449.6387762541752,1:57:44
3600,-729837.5885619288,3.8738244097474266,449.6387762541752,1:57:22
3700,-729816.201013648,3.9519895696264062,449.6387762541752,1:57:11
3800,-729791.9620922548,4.057649041210292,449.6387762541752,1:56:51
3900,-729785.1146700787,4.195470133179609,449.6387762541752,1:56:41
4000,-729758.1183428471,4.273365571232203,449.6387762541752,1:56:24
4100,-729730.9303694295,4.3604265109865805,449.6387762541752,1:56:07
4200,-729724.6176568596,4.509943192845668,449.6387762541752,1:55:59
4300,-729686.0918978492,4.6305017773931425,449.6387762541752,1:55:43
4400,-729658.3597254991,4.751921263054737,449.6387762541752,1:55:37
