#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-743319.9819713598,0.8385493665305813,460.59416301862655,--
200,-743680.1890537362,1.3965896354218108,460.59416301862655,1:56:13
300,-744075.4372119359,1.9326379437374412,460.59416301862655,1:56:32
400,-744393.7076461609,2.1435015862763973,460.59416301862655,1:53:00
500,-744818.5164063533,2.5769611314046044,460.59416301862655,1:51:23
600,-745240.9623666573,2.864240343072759,460.59416301862655,1:51:46
700,-745615.8089819516,3.005382329853761,460.59416301862655,1:50:55
800,-745939.9086596495,3.0199176777100405,460.59416301862655,1:51:13
900,-746193.305770732,2.917169743801947,460.59416301862655,1:50:39
1000,-746500.3809614829,3.002217081034932,460.59416301862655,2:34:34
1100,-746730.3689474498,2.950331689977148,460.59416301862655,2:30:28
1200,-746939.5470651179,2.8849864274203005,460.59416301862655,2:26:28
1300,-747196.2692781026,2.984273469822301,460.59416301862655,2:23:42
1400,-747381.8507864946,2.9295430705998435,460.59416301862655,2:20:49
1500,-747558.6906984881,2.925006901873703,460.59416301862655,2:18:21
1600,-747738.6864014878,2.9659049603886847,460.59416301862655,2:16:41
1700,-747871.8961714939,2.90804803672665,460.59416301862655,2:14:47
1800,-747991.0373508786,2.8981349839213637,460.59416301862655,2:13:28
1900,-748098.8934134138,2.914921526838243,460.59416301862655,2:11:59
2000,-748188.6749136935,2.8842934566243654,460.59416301862655,2:10:37
2100,-748265.9106594357,2.9151389356809814,460.59416301862655,2:09:44
2200,-748325.5404636932,2.916147023561961,460.59416301862655,2:08:38
2300,-748374.8926605778,2.9285879947663243,460.59416301862655,2:07:55
2400,-748412.9683648064,2.95349775894537,460.59416301862655,2:06:57
2500,-748451.2989860512,2.9992014832228864,460.59416301862655,2:06:05
2600,-748481.9407583922,3.0812752718615926,460.59416301862655,2:05:33
2700,-748514.2683730004,3.141844592044377,460.59416301862655,2:04:48
2800,-748518.3136582859,3.2159320456844847,460.59416301862655,2:04:22
2900,-748511.2631918811,3.233642805940513,460.59416301862655,2:03:42
3000,-748528.8227852581,3.3471456254766254,460.59416301862655,2:03:05
3100,-748535.0427856706,3.4500061241147058,460.59416301862655,2:02:45
