#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-755498.805017848,0.9051276624792044,469.2293762739012,--
200,-755954.2788136946,1.662507865602907,469.2293762739012,2:07:43
300,-756393.5198516822,2.1798813195633704,469.2293762739012,2:02:42
400,-756741.4438763382,2.343764939877185,469.2293762739012,2:01:04
500,-757113.2813262488,2.5626972113529036,469.2293762739012,1:58:09
600,-757508.2324153152,2.763270227486146,469.2293762739012,1:56:22
700,-757831.4092867589,2.815352165424103,469.2293762739012,1:56:08
800,-758111.401457014,2.8016124648876413,469.2293762739012,1:55:07
900,-758387.4920160305,2.796815148415626,469.2293762739012,1:55:09
1000,-758639.923822776,2.8081640812273743,469.2293762739012,2:34:02
1100,-758864.4679705133,2.7716785288163988,469.2293762739012,2:29:32
1200,-759046.9821121274,2.698497106693976,469.2293762739012,2:26:22
1300,-759261.5877032704,2.758006772761729,469.2293762739012,2:23:17
1400,-759412.9177491176,2.6980236357585885,469.2293762739012,2:21:03
1500,-759555.143233554,2.6865508210633307,469.2293762739012,2:18:47
1600,-759730.8292615702,2.797822986012065,469.2293762739012,2:16:47
1700,-759843.828126099,2.7652318092505084,469.2293762739012,2:15:23
1800,-759993.7876280185,2.840269738868885,469.2293762739012,2:13:49
1900,-760093.0819616821,2.8754837102575412,469.2293762739012,2:12:45
2000,-760202.2568300054,2.90784524773231,469.2293762739012,2:11:28
2100,-760319.4072690224,3.0117907688942105,469.2293762739012,2:10:19
2200,-760405.4020266538,3.0376617130129935,469.2293762739012,2:09:34
2300,-760482.7609440046,3.0903342753486,469.2293762739012,2:08:38
2400,-760577.0868721518,3.1933897708132855,469.2293762739012,2:08:02
2500,-760649.8842703458,3.2518116219809885,469.2293762739012,2:07:15
2600,-760691.0661116075,3.272715047088329,469.2293762739012,2:06:30
2700,-760759.6624809066,3.371679554679508,469.2293762739012,2:06:02
2800,-760803.191629481,3.4269882534484393,469.2293762739012,2:05:24
2900,-760823.8241813022,3.45851536962028,469.2293762739012,2:05:01
3000,-760828.1478716773,3.4875163186766978,469.2293762739012,2:04:28
3100,-760850.0565469423,3.5754324153932333,469.2293762739012,2:03:55
3200,-760849.7999020885,3.621318049864447,469.2293762739012,2:03:38
3300,-760858.2565605445,3.6936176399430534,469.2293762739012,2:03:10
3400,-760861.4676391645,3.8069044869194695,469.2293762739012,2:02:54
3500,-760849.02963337,3.8830287919261,469.2293762739012,2:02:29
3600,-760840.1012638437,3.9609794134720193,469.2293762739012,2:02:06
3700,-760829.981293377,4.039036573533929,469.2293762739012,2:01:53
3800,-760819.3176392345,4.150194082765652,469.2293762739012,2:01:31
3900,-760801.1261153996,4.244183381442681,469.2293762739012,2:01:19
4000,-760791.4010933673,4.38033250595958,469.2293762739012,2:01:00
4100,-760768.0681716676,4.473054613903132,469.2293762739012,2:00:41
4200,-760738.3548672921,4.538506117071294,469.2293762739012,2:00:32
4300,-760736.2690609768,4.663326425980725,469.2293762739012,2:00:16
4400,-760709.8045015589,4.78514633877313,469.2293762739012,2:00:08
4500,-760681.2703050333,4.869783997769091,469.2293762739012,1:59:53
4600,-760653.9145088913,4.978519599731853,469.2293762739012,1:59:38
4700,-760642.2868095196,5.102098418162055,469.2293762739012,1:59:31
4800,-760603.4287549586,5.180966503228674,469.2293762739012,1:59:18
4900,-760575.9026592823,5.304956221179375,469.2293762739012,1:59:11
5000,-760562.6587387691,5.452701999595647,469.2293762739012,1:58:59
5100,-760503.4259235633,5.547625425821779,469.2293762739012,1:58:46
5200,-760495.9028700097,5.707192047476847,469.2293762739012,1:58:42
5300,-760441.0627032164,5.766462554148661,469.2293762739012,1:58:31
5400,-760417.6533821337,5.879603347385275,469.2293762739012,1:58:27
5500,-760389.5540547138,5.998416982726202,469.2293762739012,1:58:16
5600,-760361.035235008,6.127251536857333,469.2293762739012,1:58:06
5700,-760335.0247381325,6.2511632355391775,469.2293762739012,1:58:03
5800,-760311.0173155866,6.3739876747765924,469.2293762739012,1:57:53
5900,-760300.4378688626,6.495776871358789,469.2293762739012,1:57:52
6000,-760267.4101563101,6.591410068237051,469.2293762739012,1:57:42
6100,-760213.530905877,6.682934202784285,469.2293762739012,1:57:33
6200,-760195.159465722,6.81034454411372,469.2293762739012,1:57:30
6300,-760151.1616098201,6.901823568200559,469.2293762739012,1:57:21
6400,-760130.5629499829,7.056057583181155,469.2293762739012,1:57:19
6500,-760087.2596296687,7.091595117620704,469.2293762739012,1:57:11
6600,-760082.5216693168,7.314857032676338,469.2293762739012,1:57:03
6700,-760043.4781392606,7.332070518632579,469.2293762739012,1:57:01
6800,-760005.1736476803,7.462112735784931,469.2293762739012,1:56:54
6900,-759962.8960200027,7.599614215969825,469.2293762739012,1:56:52
7000,-759939.9082549363,7.738506486105082,469.2293762739012,1:56:45
7100,-759903.4763235068,7.860362530804892,469.2293762739012,1:56:38
7200,-759875.9356893452,8.012909097504254,469.2293762739012,1:56:36
7300,-759863.8660273496,8.1327731546249,469.2293762739012,1:56:30
7400,-759813.7896152823,8.222296372780086,469.2293762739012,1:56:29
7500,-759800.2699405127,8.334478355599249,469.2293762739012,1:56:22
7600,-759756.0831021734,8.446677181223919,469.2293762739012,1:56:16
7700,-759724.9880440342,8.619911976187156,469.2293762739012,1:56:15
7800,-759682.3076115614,8.766821920854238,469.2293762739012,1:56:09
7900,-759638.3177010883,8.841477326262979,469.2293762739012,1:56:08
8000,-759603.2584792159,8.88964750369167,469.2293762739012,1:56:02
8100,-759566.1847602217,9.011287529701683,469.2293762739012,1:55:57
8200,-759542.9416825227,9.202384923185345,469.2293762739012,1:55:56
8300,-759496.119944754,9.274314041030005,469.2293762739012,1:55:51
8400,-759499.0792647093,9.479554613839495,469.2293762739012,1:55:52
8500,-759436.1257430199,9.45301346494979,469.2293762739012,1:55:46
8600,-759407.9944900898,9.634755789051072,469.2293762739012,1:55:42
8700,-759367.4269041494,9.785338188736919,469.2293762739012,1:55:41
8800,-759296.3663317189,9.806614579350757,469.2293762739012,1:55:36
8900,-759283.1725818289,9.94868646537693,469.2293762739012,1:55:31
9000,-759251.0432850621,10.098508133026082,469.2293762739012,1:55:30
9100,-759210.6331451598,10.268216896096545,469.2293762739012,1:55:26
9200,-759169.4675592021,10.342661678237349,469.2293762739012,1:55:25
9300,-759122.843352594,10.487607677058868,469.2293762739012,1:55:20
9400,-759063.1641142832,10.5032133686006,469.2293762739012,1:55:16
9500,-759072.0254791756,10.720327323502378,469.2293762739012,1:55:15
9600,-759045.7019133214,10.897230729578716,469.2293762739012,1:55:11
9700,-758980.3098323653,10.97675388662009,469.2293762739012,1:55:11
9800,-758939.1595336881,11.078399378071959,469.2293762739012,1:55:07
9900,-758938.4555811831,11.251299129347949,469.2293762739012,1:55:04
10000,-758891.1573806875,11.349748031435453,469.2293762739012,1:55:04
10100,-758858.0360242806,11.438039524911884,469.2293762739012,1:55:01
10200,-758803.2505119964,11.428932322556976,469.2293762739012,1:55:01
10300,-758786.5244764008,11.590151906331712,469.2293762739012,1:54:58
10400,-758756.5281739593,11.743775114202242,469.2293762739012,1:54:55
10500,-758700.3418288347,11.795995821901949,469.2293762739012,1:54:55
10600,-758688.1257095858,11.935120971367592,469.2293762739012,1:54:52
10700,-758665.0461789388,12.112394578750845,469.2293762739012,1:54:52
10800,-758585.9114375415,12.251091160020254,469.2293762739012,1:54:50
10900,-758584.0883574854,12.294984460621302,469.2293762739012,1:54:47
11000,-758546.3306407207,12.357212088898736,469.2293762739012,1:54:48
11100,-758544.4143855702,12.56510602066109,469.2293762739012,1:54:45
11200,-758541.2075730362,12.761837242486644,469.2293762739012,1:54:45
11300,-758442.2716744889,12.707559859733724,469.2293762739012,1:54:43
11400,-758458.3527946933,12.958284539393677,469.2293762739012,1:54:40
11500,-758392.8176764403,13.01835057178512,469.2293762739012,1:54:41
11600,-758364.2705211565,13.166723570701171,469.2293762739012,1:54:38
11700,-758297.7087246762,13.157130549761154,469.2293762739012,1:54:38
11800,-758284.2373103905,13.263862329420297,469.2293762739012,1:54:36
11900,-758244.060184309,13.51173181131874,469.2293762739012,1:54:34
12000,-758217.3020775649,13.656046249415319,469.2293762739012,1:54:34
12100,-758160.4869736631,13.6601286889803,469.2293762739012,1:54:32
12200,-758135.2928702557,13.855225016055535,469.2293762739012,1:54:32
12300,-758106.366041275,13.957579248300616,469.2293762739012,1:54:30
12400,-758082.4170275228,14.167975285672016,469.2293762739012,1:54:27
12500,-757998.9034941758,14.192922825092015,469.2293762739012,1:54:28
12600,-757969.508324791,14.378859018727232,469.2293762739012,1:54:26
12700,-757961.2733326326,14.522561698287868,469.2293762739012,1:54:26
12800,-757927.8795399361,14.627888204628254,469.2293762739012,1:54:24
12900,-757904.3545614146,14.722243936561584,469.2293762739012,1:54:21
13000,-757850.0948749576,14.816812716580355,469.2293762739012,1:54:22
13100,-757791.6813800675,14.90742103317837,469.2293762739012,1:54:20
13200,-757780.6736157606,15.0528564622394,469.2293762739012,1:54:21
13300,-757745.360386129,15.042872383694348,469.2293762739012,1:54:19
13400,-757764.1995439087,15.315741357546246,469.2293762739012,1:54:17
13500,-757688.6538137561,15.362106484056124,469.2293762739012,1:54:17
13600,-757697.6565106343,15.585386546783324,469.2293762739012,1:54:15
13700,-757670.803572166,15.738622242304208,469.2293762739012,1:54:16
13800,-757626.0281589888,15.802305695903154,469.2293762739012,1:54:14
13900,-757622.1885647615,15.886253542640043,469.2293762739012,1:54:12
14000,-757556.0758792795,15.849033104771054,469.2293762739012,1:54:13
14100,-757612.5156131149,16.160786047817336,469.2293762739012,1:54:11
14200,-757544.9870932852,16.174164930920128,469.2293762739012,1:54:12
14300,-757543.954903818,16.330746485854437,469.2293762739012,1:54:10
14400,-757524.9286857499,16.4152992911125,469.2293762739012,1:54:08
14500,-757479.4350469089,16.500900316101887,469.2293762739012,1:54:08
14600,-757446.4791945049,16.666611999341743,469.2293762739012,1:54:06
14700,-757424.0623789462,16.810145618482778,469.2293762739012,1:54:07
14800,-757362.3884402364,16.913857096219868,469.2293762739012,1:54:05
14900,-757327.4421623917,16.942955609623308,469.2293762739012,1:54:04
15000,-757363.5593787618,17.15146758059179,469.2293762739012,1:54:04
15100,-757259.5802744711,17.096925907592556,469.2293762739012,1:54:03
15200,-757244.7257611435,17.393790789877876,469.2293762739012,1:54:03
15300,-757245.4570119572,17.537614435041665,469.2293762739012,1:54:02
15400,-757201.325878046,17.612167570846548,469.2293762739012,1:54:00
15500,-757205.8459109375,17.794564408087187,469.2293762739012,1:54:01
15600,-757223.3979312312,17.975673302946042,469.2293762739012,1:53:59
15700,-757206.445726211,18.02685130740499,469.2293762739012,1:54:00
15800,-757136.7357300022,18.198416682343044,469.2293762739012,1:53:58
15900,-757106.3398045569,18.172133414662493,469.2293762739012,1:53:56
16000,-757132.2946571549,18.44239989234244,469.2293762739012,1:53:57
16100,-757114.7029191188,18.543004310672192,469.2293762739012,1:53:55
16200,-757050.0496891942,18.52614243882402,469.2293762739012,1:53:56
16300,-757080.1809829811,18.839136302172044,469.2293762739012,1:53:55
16400,-757046.9915263962,18.919511008301136,469.2293762739012,1:53:53
16500,-757011.1464451135,19.050209965274444,469.2293762739012,1:53:54
16600,-756982.758102457,19.257821377213602,469.2293762739012,1:53:52
16700,-756920.6664342959,19.16672672574234,469.2293762739012,1:53:53
16800,-756952.8579875822,19.444311438506407,469.2293762739012,1:53:51
16900,-756896.3492879705,19.462413187464506,469.2293762739012,1:53:50
17000,-756911.4432968844,19.720961326453892,469.2293762739012,1:53:51
17100,-756924.9283724199,19.915959939182017,469.2293762739012,1:53:49
17200,-756833.3099903474,19.871371502031135,469.2293762739012,1:53:50
17300,-756878.2297490919,20.128253487684322,469.2293762739012,1:53:49
17400,-756804.88999257,20.182293869873185,469.2293762739012,1:53:48
17500,-756809.617762459,20.38566835342679,469.2293762739012,1:53:48
17600,-756733.6063443823,20.426337939314944,469.2293762739012,1:53:47
17700,-756737.5217117849,20.563243197324876,469.2293762739012,1:53:48
17800,-756719.6118130097,20.71270479245345,469.2293762739012,1:53:46
17900,-756670.1068275587,20.846718526822023,469.2293762739012,1:53:45
18000,-756708.2533335022,21.175865135651286,469.2293762739012,1:53:45
18100,-756662.9099798116,21.094400767665373,469.2293762739012,1:53:44
18200,-756639.877339629,21.160262584080503,469.2293762739012,1:53:45
18300,-756670.7644950044,21.388804776656215,469.2293762739012,1:53:43
18400,-756615.4516245588,21.368072738447843,469.2293762739012,1:53:42
18500,-756622.6144643584,21.589637738478704,469.2293762739012,1:53:43
18600,-756603.4635763487,21.642231668605433,469.2293762739012,1:53:41
18700,-756654.2701376323,21.95219794433479,469.2293762739012,1:53:42
18800,-756557.7929673423,21.80801189169577,469.2293762739012,1:53:41
18900,-756606.62460085,22.026371135572077,469.2293762739012,1:53:39
19000,-756550.8031316171,21.98675369502409,469.2293762739012,1:53:40
19100,-756591.7423343752,22.19004088346568,469.2293762739012,1:53:39
19200,-756498.7315445438,22.08783586047978,469.2293762739012,1:53:39
19300,-756510.9786600126,22.36748308374514,469.2293762739012,1:53:38
19400,-756389.0167545453,22.365415214041867,469.2293762739012,1:53:37
19500,-756402.3071185169,22.516361283396787,469.2293762739012,1:53:39
19600,-756396.9366519235,22.706276126458327,469.2293762739012,1:53:37
19700,-756391.376779777,22.99453297186428,469.2293762739012,1:53:38
19800,-756331.5520010607,23.02306731819591,469.2293762739012,1:53:37
