Running SLURM prolog script on pink58.cluster.local
===============================================================================
Job started on Thu Aug  8 15:24:00 BST 2024
Job ID          : 6409989
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink58
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink58

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
1
0.659 [75.317, 153.414] [-78.75, -157.318, -92.127]
Adding Boresch restraints..
raA0 = 0.659 nm between atoms <Atom 2648 (C6) of chain 1 residue 166 (L02)> and <Atom 1531 (HA) of chain 0 residue 96 (ARG)>
theta_A0 = 75.317 deg between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>]
theta_B0 = 153.414 deg between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>]
phi_A0 = -1.3744467859455345 rad between [<Atom 2646 (C4) of chain 1 residue 166 (L02)>, <Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>]
phi_B0 = -2.7457170726524396 rad between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>]
phi_C0 = -1.607919479984816 rad between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>, <Atom 1519 (N) of chain 0 residue 96 (ARG)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.659 nm
theta_A0 = 1.314529632724569 rad
theta_B0 = 2.6775794186545805 rad
phi_A0 = -1.3744467859455345 rad
phi_B0 = -2.7457170726524396 rad
phi_C0 = -1.607919479984816 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-797224.8641457434,2.5629394792277864,491.270992258923,--
2000,-798420.925443728,2.5703638695497735,491.270992258923,1:58:38
3000,-798803.1776904629,3.4400552928458317,491.270992258923,1:58:40
4000,-798947.0102140428,4.485694360606877,491.270992258923,1:58:55
5000,-798747.1549369534,5.490816163511796,491.270992258923,1:59:04
6000,-798471.4178958843,6.564147996213965,491.270992258923,1:59:10
7000,-798176.8185799583,7.753196278770867,491.270992258923,1:59:12
8000,-797910.0229285429,9.048505033921856,491.270992258923,2:00:54
9000,-797629.5991141265,10.183680774088945,491.270992258923,2:00:44
10000,-797354.0819105583,11.41274310918282,491.270992258923,2:00:39
11000,-797073.3008452738,12.339941069968521,491.270992258923,2:00:32
12000,-796773.4293612416,13.765071040891371,491.270992258923,2:00:26
13000,-796411.0401264704,14.96914304705719,491.270992258923,2:00:21
14000,-796175.7543203493,16.10665152705553,491.270992258923,2:00:17
15000,-795964.6232073924,17.206715908655795,491.270992258923,2:00:14
16000,-795690.0096001076,18.394603855267835,491.270992258923,2:00:15
17000,-795416.7736491133,19.545014260266015,491.270992258923,2:00:14
18000,-795284.8201840969,20.599081765307776,491.270992258923,2:00:13
19000,-794947.0731556511,21.84894346638972,491.270992258923,2:00:12
20000,-794746.0955620387,23.12506654390937,491.270992258923,2:00:11
21000,-794405.7939793374,24.13434448987037,491.270992258923,2:00:11
22000,-794105.5080697364,25.580702624943505,491.270992258923,2:00:11
23000,-793808.2637271266,26.672899819767576,491.270992258923,2:00:12
24000,-793676.019339035,27.905462782358466,491.270992258923,2:00:13
25000,-793571.8852931526,29.329025668957918,491.270992258923,2:00:14
26000,-793434.2074878253,30.484114715488435,491.270992258923,2:00:15
27000,-793155.5739987534,31.35402016256853,491.270992258923,2:00:16
28000,-792779.5793256517,32.65484318452975,491.270992258923,2:00:17
29000,-792600.5581189897,33.79973936109064,491.270992258923,2:00:18
30000,-792320.1124385095,34.963110493593085,491.270992258923,2:00:19
31000,-791998.1925983788,35.99645646746761,491.270992258923,2:00:20
32000,-791746.8888108963,37.505120979620976,491.270992258923,2:00:20
33000,-791576.1190949292,38.39372249045553,491.270992258923,2:00:20
34000,-791232.2515519368,39.5485528356113,491.270992258923,2:00:20
35000,-791035.1536431266,41.1944809818339,491.270992258923,2:00:20
36000,-790913.9145107877,41.71052341662055,491.270992258923,2:00:20
37000,-790503.6576522924,42.97792833376845,491.270992258923,2:00:21
38000,-790282.123384882,44.49537964570182,491.270992258923,2:00:23
39000,-789929.7718860405,45.739964450259315,491.270992258923,2:00:24
40000,-789568.4318966581,47.185761385541014,491.270992258923,2:00:25
41000,-789272.8016967834,48.38431681018797,491.270992258923,2:00:26
42000,-789095.1355602657,49.454424311398505,491.270992258923,2:00:27
43000,-788923.4439301584,50.396354632788146,491.270992258923,2:00:28
44000,-788499.3098541549,51.08950614795712,491.270992258923,2:00:29
45000,-788308.1926168399,52.67478017637526,491.270992258923,2:00:30
46000,-788197.844221825,54.35168358857474,491.270992258923,2:00:31
47000,-788031.7767801709,55.001936424110774,491.270992258923,2:00:31
48000,-787595.0199961523,55.7851810151676,491.270992258923,2:00:32
49000,-787367.402947014,57.79648439033462,491.270992258923,2:00:33
50000,-787172.062613674,58.74012457706971,491.270992258923,2:00:33
