Running SLURM prolog script on pink52.cluster.local
===============================================================================
Job started on Fri Aug  9 10:24:46 BST 2024
Job ID          : 6423343
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink52
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink52

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Phenol_4
1
0.659 [75.317, 153.414] [-78.75, -157.318, -92.127]
Adding Boresch restraints..
raA0 = 0.659 nm between atoms <Atom 2648 (C6) of chain 1 residue 166 (L02)> and <Atom 1531 (HA) of chain 0 residue 96 (ARG)>
theta_A0 = 75.317 deg between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>]
theta_B0 = 153.414 deg between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>]
phi_A0 = -1.3744467859455345 rad between [<Atom 2646 (C4) of chain 1 residue 166 (L02)>, <Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>]
phi_B0 = -2.7457170726524396 rad between [<Atom 2647 (C5) of chain 1 residue 166 (L02)>, <Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>]
phi_C0 = -1.607919479984816 rad between [<Atom 2648 (C6) of chain 1 residue 166 (L02)>, <Atom 1531 (HA) of chain 0 residue 96 (ARG)>, <Atom 1520 (CA) of chain 0 residue 96 (ARG)>, <Atom 1519 (N) of chain 0 residue 96 (ARG)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.659 nm
theta_A0 = 1.314529632724569 rad
theta_B0 = 2.6775794186545805 rad
phi_A0 = -1.3744467859455345 rad
phi_B0 = -2.7457170726524396 rad
phi_C0 = -1.607919479984816 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-797202.6514294785,3.1075199238975526,491.270992258923,--
2000,-799023.6130638972,2.893818319941258,491.270992258923,1:56:23
3000,-799451.4071612209,3.4165167223189385,491.270992258923,1:56:24
4000,-799368.1205579434,4.3084779434503,491.270992258923,1:56:20
5000,-799144.0820483682,5.479067519763423,491.270992258923,1:56:21
6000,-798951.0783186329,6.7043950195213196,491.270992258923,1:56:47
7000,-798712.9448331157,7.810070881885032,491.270992258923,1:56:50
8000,-798383.2243339508,8.91338271172713,491.270992258923,1:56:50
9000,-798076.1667473731,10.127023409757053,491.270992258923,1:57:01
10000,-797809.4330553592,11.356945771838182,491.270992258923,1:56:58
11000,-797481.4473584914,12.412919915177314,491.270992258923,1:56:55
12000,-797189.9699906588,13.638681431791134,491.270992258923,1:56:54
13000,-796785.4095374909,14.833598575989326,491.270992258923,1:56:52
14000,-796468.3921645717,15.96739664045347,491.270992258923,1:56:51
15000,-796097.932222198,17.228324834458494,491.270992258923,1:56:51
16000,-795764.0584687816,18.341736459796202,491.270992258923,1:56:51
17000,-795502.7955562961,19.544526637815242,491.270992258923,1:56:53
18000,-795188.2802371301,20.7866878762488,491.270992258923,1:56:55
19000,-794956.3435208758,21.932337664975968,491.270992258923,1:56:56
20000,-794688.2941398718,23.203677148812417,491.270992258923,1:56:58
21000,-794530.81799485,24.402219242404975,491.270992258923,1:56:59
22000,-794290.0876555035,25.611895801920262,491.270992258923,1:57:00
23000,-794107.6672918387,26.673769036468627,491.270992258923,1:57:01
24000,-793851.8754592505,27.904108977933088,491.270992258923,1:57:03
25000,-793692.655903081,29.072430899169596,491.270992258923,1:57:05
26000,-793581.9692802895,30.30619161443512,491.270992258923,1:57:08
27000,-793317.5899788332,31.391509742705185,491.270992258923,1:57:10
28000,-793094.6601350589,32.190236911346005,491.270992258923,1:57:11
29000,-792690.592961831,33.50084985492794,491.270992258923,1:57:13
30000,-792509.4323853925,35.20395779936104,491.270992258923,1:57:14
31000,-792239.6575435277,36.0015781575214,491.270992258923,1:57:15
32000,-791966.6006146206,37.26553985227021,491.270992258923,1:57:17
33000,-791892.7152305192,38.50489984274268,491.270992258923,1:57:18
34000,-791384.6038093043,39.85281364310867,491.270992258923,1:57:19
35000,-791215.5707936012,40.53747932228685,491.270992258923,1:57:21
36000,-791003.641898918,42.05964346161234,491.270992258923,1:57:23
37000,-790541.7292538404,43.04266044651371,491.270992258923,1:57:25
38000,-790333.0550226443,44.55322140121806,491.270992258923,1:57:27
39000,-790066.3290721779,45.51048741235781,491.270992258923,1:57:29
40000,-789937.9142785249,46.912415142576194,491.270992258923,1:57:31
41000,-789525.6244910958,47.743272692487885,491.270992258923,1:57:33
42000,-789110.9404726601,48.73322857975466,491.270992258923,1:57:35
43000,-789069.0401480258,50.2084660234589,491.270992258923,1:57:36
44000,-788646.5675138547,51.059115617677925,491.270992258923,1:57:38
45000,-788283.1744905969,52.858461683936994,491.270992258923,1:57:39
46000,-788069.4725526744,54.21787852170126,491.270992258923,1:57:41
47000,-787818.1203559246,54.77068692957416,491.270992258923,1:57:42
48000,-787609.0758325174,56.28419841470861,491.270992258923,1:57:43
49000,-787188.6764223706,57.57081961589361,491.270992258923,1:57:44
50000,-786642.9475807617,58.874249880914526,491.270992258923,1:57:45
