#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-658397.3117115651,0.2553124390448706,408.6429940351762,--
200,-658497.5045049605,0.4829866186599238,408.6429940351762,1:47:52
300,-658608.529718148,0.7061182581143877,408.6429940351762,1:42:08
400,-658769.1275693174,1.017513729173088,408.6429940351762,1:41:55
500,-658875.5798810502,1.1378949018496538,408.6429940351762,1:40:14
600,-658978.5830015852,1.2319151351514999,408.6429940351762,1:39:12
700,-659088.290764593,1.3490896898662164,408.6429940351762,1:39:36
800,-659196.2936782851,1.4625201601603859,408.6429940351762,1:38:57
900,-659286.2259385874,1.5512620925790477,408.6429940351762,1:39:15
1000,-659394.6534512034,1.6650547255917678,408.6429940351762,2:32:22
1100,-659497.4407450147,1.7932682141005019,408.6429940351762,2:26:39
1200,-659603.3287137786,1.914052022924619,408.6429940351762,2:22:32
1300,-659702.8682418384,2.018234130372799,408.6429940351762,2:18:36
1400,-659789.0691082831,2.1010037840873785,408.6429940351762,2:15:45
1500,-659880.783688182,2.2014878961296347,408.6429940351762,2:12:50
1600,-659963.802522989,2.288243876792061,408.6429940351762,2:10:21
1700,-660017.5817488672,2.29482062645936,408.6429940351762,2:08:31
1800,-660080.9118807632,2.3591978335178405,408.6429940351762,2:06:33
1900,-660158.7183806724,2.530245163418279,408.6429940351762,2:05:09
2000,-660199.5061125432,2.5513385127363413,408.6429940351762,2:03:34
2100,-660256.642249844,2.662250358938669,408.6429940351762,2:02:08
2200,-660281.0988044958,2.6892543666670536,408.6429940351762,2:01:09
2300,-660314.6441202248,2.742475401531144,408.6429940351762,1:59:58
2400,-660345.132710051,2.8291167636148673,408.6429940351762,1:59:09
2500,-660373.838990943,2.939147834966848,408.6429940351762,1:58:10
2600,-660378.2354476578,2.9840141645505343,408.6429940351762,1:57:15
2700,-660378.2253464414,3.0446510108144875,408.6429940351762,1:56:37
2800,-660385.1755277221,3.115703415698836,408.6429940351762,1:55:49
2900,-660391.3059243849,3.1732086951542833,408.6429940351762,1:55:19
3000,-660395.4910762147,3.297692683867504,408.6429940351762,1:54:38
3100,-660403.2803617455,3.3984936263342167,408.6429940351762,1:53:59
3200,-660411.2419380452,3.538031515398054,408.6429940351762,1:53:35
3300,-660388.4003839339,3.576287629358982,408.6429940351762,1:53:00
3400,-660373.2686231607,3.6735950701669924,408.6429940351762,1:52:38
3500,-660362.6350584859,3.800114972870518,408.6429940351762,1:52:07
3600,-660337.5248128204,3.891359894851237,408.6429940351762,1:51:37
3700,-660333.3415022767,4.032815917540045,408.6429940351762,1:51:20
3800,-660318.1150296906,4.083435056508403,408.6429940351762,1:50:53
3900,-660286.1191481794,4.1703684746539045,408.6429940351762,1:50:38
4000,-660280.2846623831,4.2941638692444695,408.6429940351762,1:50:14
4100,-660254.6123385176,4.426733052821517,408.6429940351762,1:49:52
4200,-660233.9013588405,4.525950978108749,408.6429940351762,1:49:40
4300,-660213.5545677429,4.667901783486763,408.6429940351762,1:49:19
4400,-660188.9139316552,4.743438194864802,408.6429940351762,1:49:07
4500,-660171.9376280308,4.884367178001282,408.6429940351762,1:48:48
4600,-660133.2659497601,4.96231887994014,408.6429940351762,1:48:29
4700,-660112.5096355351,5.107796676686459,408.6429940351762,1:48:20
4800,-660081.4163286379,5.204075949049623,408.6429940351762,1:48:02
4900,-660048.7821569811,5.302425638160124,408.6429940351762,1:47:54
5000,-660040.9455379206,5.43712026186829,408.6429940351762,1:47:39
5100,-660022.3759547183,5.557711203352798,408.6429940351762,1:47:24
5200,-659996.5690870788,5.672647455933668,408.6429940351762,1:47:16
5300,-659961.34289343,5.743597174455186,408.6429940351762,1:47:02
5400,-659954.893815639,5.918250309754742,408.6429940351762,1:46:55
5500,-659919.8503812051,6.012922953774082,408.6429940351762,1:46:42
5600,-659898.1610569588,6.121041443405411,408.6429940351762,1:46:29
5700,-659866.8834345462,6.2536618120901775,408.6429940351762,1:46:23
5800,-659830.9916409147,6.373473027210166,408.6429940351762,1:46:11
5900,-659805.5135997958,6.527003917090558,408.6429940351762,1:46:07
6000,-659783.8668902637,6.664992724475939,408.6429940351762,1:45:56
6100,-659765.8768278752,6.785340386196493,408.6429940351762,1:45:46
6200,-659723.2836817345,6.849840676999839,408.6429940351762,1:45:41
6300,-659719.8997508716,7.020598301418856,408.6429940351762,1:45:30
6400,-659682.3721442069,7.147280351046254,408.6429940351762,1:45:26
6500,-659670.8571572215,7.249793298402997,408.6429940351762,1:45:16
6600,-659645.7721707157,7.359178314900252,408.6429940351762,1:45:07
6700,-659635.0960699399,7.508305634335384,408.6429940351762,1:45:03
6800,-659608.2115408175,7.585097661784274,408.6429940351762,1:44:54
6900,-659587.9863585106,7.66395646414872,408.6429940351762,1:44:51
7000,-659574.4290477256,7.78756090929329,408.6429940351762,1:44:42
7100,-659537.435637292,7.914658434716851,408.6429940351762,1:44:34
7200,-659480.8562990346,7.976492108039714,408.6429940351762,1:44:31
7300,-659490.4901399247,8.140272120661582,408.6429940351762,1:44:22
7400,-659464.5606731395,8.210926660961716,408.6429940351762,1:44:20
7500,-659415.853672628,8.270254846751579,408.6429940351762,1:44:12
7600,-659390.9654235935,8.334698531551952,408.6429940351762,1:44:05
7700,-659357.551491959,8.4839196662818,408.6429940351762,1:44:02
7800,-659327.8105477584,8.639155560146122,408.6429940351762,1:43:55
7900,-659308.7610185805,8.728433274096876,408.6429940351762,1:43:53
8000,-659328.7325882879,8.98093106691523,408.6429940351762,1:43:47
8100,-659277.6069076022,9.029869116853579,408.6429940351762,1:43:40
8200,-659261.2163544656,9.213390058840243,408.6429940351762,1:43:39
8300,-659247.5734851491,9.34628771022515,408.6429940351762,1:43:32
8400,-659206.9600871769,9.380994791387332,408.6429940351762,1:43:31
8500,-659192.8363322704,9.532838733853696,408.6429940351762,1:43:24
8600,-659185.7277871864,9.722615341825895,408.6429940351762,1:43:18
8700,-659180.9198997521,9.877546549351706,408.6429940351762,1:43:17
8800,-659153.7990411872,9.997071603378187,408.6429940351762,1:43:11
8900,-659144.1437282984,10.082383249312935,408.6429940351762,1:43:10
9000,-659120.6525198645,10.169961728986177,408.6429940351762,1:43:04
9100,-659128.3354734632,10.35245978519017,408.6429940351762,1:42:59
9200,-659080.4351320579,10.364377200372775,408.6429940351762,1:42:58
9300,-659054.8270730553,10.49877230173661,408.6429940351762,1:42:53
9400,-659042.5270088594,10.646357183663662,408.6429940351762,1:42:47
9500,-658980.8301345101,10.766632321521703,408.6429940351762,1:42:46
9600,-658981.7312088716,10.877925643420514,408.6429940351762,1:42:41
9700,-658950.0646687911,10.943387251181178,408.6429940351762,1:42:40
9800,-658919.3579894674,11.013426445086722,408.6429940351762,1:42:35
9900,-658913.838118921,11.151908268067178,408.6429940351762,1:42:30
10000,-658882.2237100196,11.286518544889228,408.6429940351762,1:42:29
10100,-658847.063880871,11.327810319590087,408.6429940351762,1:42:25
10200,-658798.6441340242,11.384791195801208,408.6429940351762,1:42:24
10300,-658784.8874337864,11.564125878526871,408.6429940351762,1:42:19
10400,-658747.8280743004,11.70098561760285,408.6429940351762,1:42:15
10500,-658735.8656063015,11.884597370803704,408.6429940351762,1:42:14
10600,-658678.1876425287,12.015255899948723,408.6429940351762,1:42:10
10700,-658667.0289988462,12.06651600171439,408.6429940351762,1:42:09
10800,-658623.3986599657,12.232180640956633,408.6429940351762,1:42:05
10900,-658602.9456093912,12.359790963298,408.6429940351762,1:42:01
11000,-658571.1105344512,12.539307903596363,408.6429940351762,1:42:00
11100,-658521.3790676803,12.5548139518829,408.6429940351762,1:41:56
11200,-658508.1665099133,12.632937554491976,408.6429940351762,1:41:56
11300,-658461.0068159862,12.73359214853272,408.6429940351762,1:41:52
11400,-658452.5996300532,12.959828528581633,408.6429940351762,1:41:49
11500,-658379.3118186612,12.910517707643955,408.6429940351762,1:41:48
11600,-658378.8681093939,13.117749390428461,408.6429940351762,1:41:44
11700,-658388.4500453663,13.288642768512593,408.6429940351762,1:41:44
11800,-658339.753202592,13.406570245474237,408.6429940351762,1:41:40
11900,-658327.8414147124,13.584292475052097,408.6429940351762,1:41:37
12000,-658313.8374842107,13.673798441844026,408.6429940351762,1:41:37
12100,-658253.9207880422,13.697525757789213,408.6429940351762,1:41:35
12200,-658297.2381725824,13.93473489530665,408.6429940351762,1:41:36
12300,-658313.9865577125,14.08510106798802,408.6429940351762,1:41:33
12400,-658253.6226167222,14.026405878880265,408.6429940351762,1:41:29
12500,-658205.7898144436,14.177995597021766,408.6429940351762,1:41:30
12600,-658167.6017923439,14.291165544738362,408.6429940351762,1:41:27
12700,-658148.2916621463,14.42262682363156,408.6429940351762,1:41:26
12800,-658146.6835072208,14.600527112929798,408.6429940351762,1:41:23
12900,-658133.9430076915,14.715950470804266,408.6429940351762,1:41:19
13000,-658100.9768346208,14.908507698885884,408.6429940351762,1:41:19
13100,-658066.7340241882,14.956874540897292,408.6429940351762,1:41:16
13200,-658023.7443837491,14.951991549028314,408.6429940351762,1:41:15
13300,-658025.4470589017,15.134479918178542,408.6429940351762,1:41:12
13400,-657981.1174654798,15.268682872872773,408.6429940351762,1:41:09
13500,-657941.3439050056,15.391213160498788,408.6429940351762,1:41:08
13600,-657936.9021042972,15.527369420051338,408.6429940351762,1:41:05
13700,-657900.3727082117,15.625961547258825,408.6429940351762,1:41:05
13800,-657897.6398359824,15.752031571107901,408.6429940351762,1:41:02
13900,-657848.0304663163,15.770828919488586,408.6429940351762,1:40:59
14000,-657914.2381518215,16.13215991275535,408.6429940351762,1:40:59
14100,-657857.212363366,16.229415465211066,408.6429940351762,1:40:56
14200,-657809.8636307374,16.33180779901539,408.6429940351762,1:40:55
14300,-657812.1725669191,16.499995569523584,408.6429940351762,1:40:52
14400,-657737.8541002146,16.32137824496947,408.6429940351762,1:40:49
14500,-657754.6723063625,16.546862338049532,408.6429940351762,1:40:49
14600,-657725.5588001667,16.656373503281696,408.6429940351762,1:40:46
14700,-657724.5145235241,16.80071416736039,408.6429940351762,1:40:46
14800,-657718.5069513174,16.97943396371412,408.6429940351762,1:40:44
14900,-657686.0550071471,17.131364252091473,408.6429940351762,1:40:41
15000,-657666.6117989575,17.26023305916321,408.6429940351762,1:40:41
15100,-657635.7726309071,17.35945582233485,408.6429940351762,1:40:38
15200,-657602.9306994667,17.452304802436043,408.6429940351762,1:40:38
15300,-657607.6475892973,17.569503809822837,408.6429940351762,1:40:35
15400,-657605.3887864281,17.75165653080774,408.6429940351762,1:40:33
15500,-657562.9487131888,17.872219393455605,408.6429940351762,1:40:33
15600,-657565.412779951,17.96849002614407,408.6429940351762,1:40:30
15700,-657558.824624313,18.056574473597415,408.6429940351762,1:40:30
15800,-657516.5757869165,18.18283201782837,408.6429940351762,1:40:28
15900,-657526.5151544493,18.343224682035785,408.6429940351762,1:40:25
16000,-657451.0341931637,18.269273094491794,408.6429940351762,1:40:25
16100,-657454.2961288397,18.462524494401197,408.6429940351762,1:40:22
16200,-657458.9780693566,18.647295893058363,408.6429940351762,1:40:22
16300,-657393.0827017864,18.72252393903026,408.6429940351762,1:40:20
16400,-657421.8100564438,18.815504426282658,408.6429940351762,1:40:18
16500,-657384.4916076919,18.87467299732958,408.6429940351762,1:40:18
16600,-657368.0494522206,18.981109004495824,408.6429940351762,1:40:15
16700,-657383.921723895,19.1787206839886,408.6429940351762,1:40:15
16800,-657347.1689676428,19.34011326150324,408.6429940351762,1:40:13
16900,-657285.6581241419,19.360006990488987,408.6429940351762,1:40:11
17000,-657252.9400702175,19.581279306256974,408.6429940351762,1:40:11
17100,-657264.5556658311,19.796695124112556,408.6429940351762,1:40:09
17200,-657232.8274877847,19.7837644520053,408.6429940351762,1:40:08
17300,-657158.0112136002,19.833364709026004,408.6429940351762,1:40:06
