Running SLURM prolog script on pink56.cluster.local
===============================================================================
Job started on Sat Aug 10 01:08:19 BST 2024
Job ID          : 6426109
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink56
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink56

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
1
0.513 [98.272, 124.347] [-97.064, -119.201, -152.182]
Running on CUDA platform.
Minimizing energy
Adding Boresch restraints..
raA0 = 0.513 nm between atoms <Atom 2652 (H1) of chain 1 residue 166 (L02)> and <Atom 1564 (N) of chain 0 residue 99 (ALA)>
theta_A0 = 98.272 deg between [<Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
theta_B0 = 124.347 deg between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_A0 = -1.694086385155776 rad between [<Atom 2650 (C7) of chain 1 residue 166 (L02)>, <Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
phi_B0 = -2.0804499216697607 rad between [<Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_C0 = -2.6560769622700104 rad between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>, <Atom 1555 (CA) of chain 0 residue 98 (ALA)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.513 nm
theta_A0 = 1.7151699625198675 rad
theta_B0 = 2.170264564977389 rad
phi_A0 = -1.694086385155776 rad
phi_B0 = -2.0804499216697607 rad
phi_C0 = -2.6560769622700104 rad
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-658160.6320193175,2.4425791696826225,408.6429940351762,--
2000,-659333.0233248533,2.7200316847161834,408.6429940351762,2:33:03
3000,-659575.8695880901,3.3463234412698846,408.6429940351762,2:33:17
4000,-659550.00670237,4.3509551080906235,408.6429940351762,2:33:21
5000,-659364.3625538701,5.445938772473687,408.6429940351762,2:33:27
6000,-659142.3333923765,6.552181583890859,408.6429940351762,2:33:37
7000,-658945.0780169396,7.884922528364467,408.6429940351762,2:33:45
8000,-658737.868125912,8.994425725278207,408.6429940351762,2:33:56
9000,-658437.1901882337,10.04278488738315,408.6429940351762,2:34:00
10000,-658145.4174542564,11.41730276792915,408.6429940351762,2:34:10
11000,-657850.781481504,12.443657438103706,408.6429940351762,2:34:10
12000,-657576.3043050067,13.696371348094221,408.6429940351762,2:34:16
13000,-657345.9230358156,14.974213388821308,408.6429940351762,2:34:24
14000,-657123.7310709399,15.872590436406105,408.6429940351762,2:34:27
15000,-656903.6121850708,17.113843543110562,408.6429940351762,2:34:28
16000,-656680.979424157,18.47083801372522,408.6429940351762,2:34:31
17000,-656518.7776062237,19.49474039534171,408.6429940351762,2:34:33
18000,-656462.5031846156,20.96163634907553,408.6429940351762,2:34:35
19000,-656384.1668073526,22.236185082096277,408.6429940351762,2:34:37
20000,-656205.8299929858,23.058876898923014,408.6429940351762,2:34:39
21000,-656004.0761076752,24.062202341317814,408.6429940351762,2:34:42
22000,-655780.1413440034,25.528957456347037,408.6429940351762,2:34:46
23000,-655496.1078834957,26.74199148453468,408.6429940351762,2:34:52
24000,-655447.6756894942,27.78583839767214,408.6429940351762,2:34:58
25000,-655306.8576981719,29.277466319572785,408.6429940351762,2:35:03
26000,-655321.1117905597,30.29927663256811,408.6429940351762,2:35:07
27000,-655064.8046363322,31.563407523940228,408.6429940351762,2:35:11
28000,-655048.9246331234,32.79767334609007,408.6429940351762,2:35:16
29000,-654912.2074863119,33.81254002327465,408.6429940351762,2:35:19
30000,-654717.1001699513,34.73607616084009,408.6429940351762,2:35:21
31000,-654551.4195106269,36.521641121039586,408.6429940351762,2:35:24
32000,-654474.1093057811,37.323305736548335,408.6429940351762,2:35:27
33000,-654197.4654810852,38.55092886159184,408.6429940351762,2:35:30
34000,-654168.3887228938,39.7172031739012,408.6429940351762,2:35:33
35000,-654122.5391403022,40.932184028311866,408.6429940351762,2:35:36
36000,-653880.8225744828,42.09760104119428,408.6429940351762,2:35:39
37000,-653695.3125512097,43.29468652009979,408.6429940351762,2:35:42
38000,-653498.4500541021,44.352003713562766,408.6429940351762,2:35:46
39000,-653147.9279446022,45.63989938599871,408.6429940351762,2:35:49
40000,-652892.1461630019,46.58440058927615,408.6429940351762,2:35:52
41000,-652711.3478412796,47.86370647351931,408.6429940351762,2:35:56
42000,-652685.3548452477,49.13128322445432,408.6429940351762,2:35:58
43000,-652439.2562068999,50.06860506363343,408.6429940351762,2:36:02
44000,-652337.6301153114,51.67235362231314,408.6429940351762,2:36:05
45000,-651895.7485184977,52.92923990638096,408.6429940351762,2:36:07
46000,-651610.3073992757,53.62050700221707,408.6429940351762,2:36:09
47000,-651563.7778076376,54.77027420657128,408.6429940351762,2:36:11
48000,-651196.3849612111,56.25613995083667,408.6429940351762,2:36:14
49000,-650954.6094960896,57.62871216874758,408.6429940351762,2:36:19
