Running SLURM prolog script on indigo59.cluster.local
===============================================================================
Job started on Mon Aug 12 10:15:56 BST 2024
Job ID          : 6432631
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0/run_equil_iridis.sh
Partition       : gpu
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : indigo59
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
indigo59

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
Job ID:             _
Job Name:           Equil
Partition:          gpu
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_0
1
0.513 [98.272, 124.347] [-97.064, -119.201, -152.182]
Running on CUDA platform.
Minimizing energy
Adding Boresch restraints..
raA0 = 0.513 nm between atoms <Atom 2652 (H1) of chain 1 residue 166 (L02)> and <Atom 1564 (N) of chain 0 residue 99 (ALA)>
theta_A0 = 98.272 deg between [<Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
theta_B0 = 124.347 deg between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_A0 = -1.694086385155776 rad between [<Atom 2650 (C7) of chain 1 residue 166 (L02)>, <Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
phi_B0 = -2.0804499216697607 rad between [<Atom 2651 (C8) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_C0 = -2.6560769622700104 rad between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>, <Atom 1555 (CA) of chain 0 residue 98 (ALA)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.513 nm
theta_A0 = 1.7151699625198675 rad
theta_B0 = 2.170264564977389 rad
phi_A0 = -1.694086385155776 rad
phi_B0 = -2.0804499216697607 rad
phi_C0 = -2.6560769622700104 rad
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-659394.6534512034,1.6650547255917678,408.6429940351762,--
2000,-660199.5061125432,2.5513385127363413,408.6429940351762,1:37:40
3000,-660395.4910762147,3.297692683867504,408.6429940351762,1:37:41
4000,-660280.2846623831,4.2941638692444695,408.6429940351762,1:37:37
5000,-660040.9455379206,5.43712026186829,408.6429940351762,1:37:37
6000,-659783.8668902637,6.664992724475939,408.6429940351762,1:37:37
7000,-659574.4290477256,7.78756090929329,408.6429940351762,1:37:35
8000,-659328.7325882879,8.98093106691523,408.6429940351762,1:37:34
9000,-659120.6525198645,10.169961728986177,408.6429940351762,1:37:33
10000,-658882.2237100196,11.286518544889228,408.6429940351762,1:37:32
11000,-658571.1105344512,12.539307903596363,408.6429940351762,1:37:30
12000,-658313.8374842107,13.673798441844026,408.6429940351762,1:37:29
13000,-658100.9768346208,14.908507698885884,408.6429940351762,1:37:31
14000,-657914.2381518215,16.13215991275535,408.6429940351762,1:37:27
15000,-657666.6117989575,17.26023305916321,408.6429940351762,1:37:23
16000,-657451.0341931637,18.269273094491794,408.6429940351762,1:37:19
17000,-657252.9400702175,19.581279306256974,408.6429940351762,1:37:16
18000,-657176.3410997824,20.849021673754038,408.6429940351762,1:37:14
19000,-656939.4053779952,22.083325154803607,408.6429940351762,1:37:12
20000,-656769.7586001684,23.424788610236426,408.6429940351762,1:37:10
21000,-656510.06677562,24.332711979152506,408.6429940351762,1:37:08
22000,-656422.7307314933,25.46028445728363,408.6429940351762,1:37:06
23000,-656294.4970259364,26.727244511794986,408.6429940351762,1:37:04
24000,-656183.7075421498,27.987699377013683,408.6429940351762,1:37:03
25000,-656040.4300016735,29.276575771303264,408.6429940351762,1:37:02
26000,-655856.5460731837,30.35798623240883,408.6429940351762,1:37:01
27000,-655609.1829981068,31.756240606589902,408.6429940351762,1:37:00
28000,-655409.2068947766,32.4814010933117,408.6429940351762,1:36:59
29000,-655193.2629584353,33.94688586215156,408.6429940351762,1:36:58
30000,-654795.561986808,34.49332761987012,408.6429940351762,1:36:57
31000,-654649.7892913446,36.06988375815491,408.6429940351762,1:36:56
32000,-654435.3484872156,37.49441087531477,408.6429940351762,1:36:55
33000,-654303.5037470227,38.639219085495476,408.6429940351762,1:36:54
34000,-654042.1871481182,39.5382417415459,408.6429940351762,1:36:53
35000,-653837.5553100395,41.231619109336414,408.6429940351762,1:36:52
36000,-653571.4956973924,41.97760321053675,408.6429940351762,1:36:51
37000,-653565.7740629739,43.509376149053814,408.6429940351762,1:36:51
38000,-653241.5748351747,44.322164357705724,408.6429940351762,1:36:50
39000,-653005.3372966545,45.4925848817242,408.6429940351762,1:36:50
40000,-652919.4937837208,46.77918443990832,408.6429940351762,1:36:49
41000,-652611.6869812838,48.21850766266141,408.6429940351762,1:36:49
42000,-652282.6411992982,49.12521368061665,408.6429940351762,1:36:49
43000,-652141.8453822192,50.36240534861549,408.6429940351762,1:36:50
44000,-652034.861471442,51.13576670599197,408.6429940351762,1:36:49
45000,-651683.6808322056,51.83349040365227,408.6429940351762,1:36:49
46000,-651242.9187652157,54.15927797393588,408.6429940351762,1:36:48
47000,-651041.8496955959,55.23698816325698,408.6429940351762,1:36:48
48000,-650836.4488878474,55.900934775850516,408.6429940351762,1:36:48
49000,-650799.2067443938,57.82496185858222,408.6429940351762,1:36:47
