Running SLURM prolog script on pink58.cluster.local
===============================================================================
Job started on Thu Aug  8 15:24:00 BST 2024
Job ID          : 6409992
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_3
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_3/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink58
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink58

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_3
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_3
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_3
1
0.548 [94.179, 127.066] [103.918, 125.187, -155.095]
Adding Boresch restraints..
raA0 = 0.548 nm between atoms <Atom 2652 (H1) of chain 1 residue 166 (L02)> and <Atom 1564 (N) of chain 0 residue 99 (ALA)>
theta_A0 = 94.17900000000002 deg between [<Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
theta_B0 = 127.06599999999999 deg between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_A0 = 1.8137112520874674 rad between [<Atom 2646 (C3) of chain 1 residue 166 (L02)>, <Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
phi_B0 = 2.184925330694141 rad between [<Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>]
phi_C0 = -2.7069184033806053 rad between [<Atom 2652 (H1) of chain 1 residue 166 (L02)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>, <Atom 1556 (C) of chain 0 residue 98 (ALA)>, <Atom 1555 (CA) of chain 0 residue 98 (ALA)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.548 nm
theta_A0 = 1.6437336362357398 rad
theta_B0 = 2.2177200673391146 rad
phi_A0 = 1.8137112520874674 rad
phi_B0 = 2.184925330694141 rad
phi_C0 = -2.7069184033806053 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-735245.8207795923,3.051704455677237,454.6601989765836,--
2000,-737249.1465370485,3.3082752520314855,454.6601989765836,1:46:31
3000,-737932.6635215669,3.561007070676186,454.6601989765836,1:46:43
4000,-737926.780226612,4.378066183137561,454.6601989765836,1:46:50
5000,-737690.2413910308,5.4361580348439515,454.6601989765836,1:46:48
6000,-737470.5634616604,6.629000752819954,454.6601989765836,1:46:50
7000,-737173.0743334969,7.753236010604193,454.6601989765836,1:47:26
8000,-736905.3310660918,9.003250442948561,454.6601989765836,1:47:26
9000,-736646.6419640714,10.195128634344924,454.6601989765836,1:47:22
10000,-736352.786738957,11.353440644021601,454.6601989765836,1:47:18
11000,-736100.6409841224,12.508732703159078,454.6601989765836,1:47:15
12000,-735830.8182530904,13.660584475831955,454.6601989765836,1:47:12
13000,-735537.4737244826,14.763286405651002,454.6601989765836,1:47:10
14000,-735230.9487915235,16.088513803339463,454.6601989765836,1:47:08
15000,-734962.8453111066,17.25415980936752,454.6601989765836,1:47:07
16000,-734677.219908007,18.44413460700082,454.6601989765836,1:47:07
17000,-734428.4294523806,19.52715111170772,454.6601989765836,1:47:11
18000,-734203.841324012,20.813262642044215,454.6601989765836,1:47:11
19000,-733955.327366103,22.02958416284264,454.6601989765836,1:47:11
20000,-733825.2361531476,23.06747360364706,454.6601989765836,1:47:11
21000,-733571.6707347848,24.54753280874793,454.6601989765836,1:47:12
22000,-733509.1758925817,25.553340599368607,454.6601989765836,1:47:12
23000,-733157.9546021898,26.78057288787212,454.6601989765836,1:47:12
24000,-732995.6765981326,27.573559907062968,454.6601989765836,1:47:13
25000,-732579.6778695188,28.990979115884297,454.6601989765836,1:47:13
26000,-732305.4672764579,30.35716584947724,454.6601989765836,1:47:14
27000,-732021.2324712034,31.481224862915006,454.6601989765836,1:47:15
28000,-731812.0740536302,32.75251057242226,454.6601989765836,1:47:15
29000,-731452.6721704295,33.951521180245074,454.6601989765836,1:47:16
30000,-731197.159006556,34.66131067377496,454.6601989765836,1:47:16
31000,-731112.1793690473,36.32975122422497,454.6601989765836,1:47:17
32000,-730803.8451473387,37.51807590042088,454.6601989765836,1:47:18
33000,-730620.8203065367,38.595157807138136,454.6601989765836,1:47:18
34000,-730437.5675137225,39.31423090648216,454.6601989765836,1:47:18
35000,-730065.3643945581,41.05190822333422,454.6601989765836,1:47:19
36000,-729829.2262469165,41.78480523165697,454.6601989765836,1:47:20
37000,-729612.5857740487,42.9763591333015,454.6601989765836,1:47:20
38000,-729430.7007563626,44.648545388281846,454.6601989765836,1:47:21
39000,-729383.9134167163,45.608458012994994,454.6601989765836,1:47:23
40000,-729148.401767608,47.16733984875032,454.6601989765836,1:47:24
41000,-728940.6967937157,47.94301035725122,454.6601989765836,1:47:26
42000,-728657.2895174942,49.527842714179755,454.6601989765836,1:47:27
43000,-728611.6515998631,50.20149414271402,454.6601989765836,1:47:29
44000,-728359.0062401551,51.39208754428568,454.6601989765836,1:47:30
45000,-727883.8685380986,52.93277451119172,454.6601989765836,1:47:31
46000,-727672.7049611672,54.102128709117416,454.6601989765836,1:47:32
47000,-727662.8148957004,55.10963623660862,454.6601989765836,1:47:33
48000,-727571.3137038741,55.7441348927603,454.6601989765836,1:47:34
49000,-727284.6856704745,57.31672319219434,454.6601989765836,1:47:35
50000,-726869.9973431039,58.346913014014184,454.6601989765836,1:47:36
51000,-726554.7603245527,59.27671510657808,454.6601989765836,1:47:36
52000,-726310.1722577596,60.465898381395135,454.6601989765836,1:47:37
53000,-726050.4730851855,61.78962570566843,454.6601989765836,1:47:37
54000,-725794.3919550269,63.21857796992909,454.6601989765836,1:47:38
55000,-725592.25072106,64.75307399491011,454.6601989765836,1:47:39
56000,-725240.932842751,65.68518287362677,454.6601989765836,1:47:39
57000,-725184.6940872627,66.81324281084471,454.6601989765836,1:47:40
58000,-724529.8819924248,67.42449939565428,454.6601989765836,1:47:40
59000,-724186.0537459338,69.19773310838598,454.6601989765836,1:47:40
60000,-724199.5575975573,69.81499909161865,454.6601989765836,1:47:40
61000,-723713.8155966322,71.48598033666707,454.6601989765836,1:47:41
62000,-723320.2594130223,73.12537406526216,454.6601989765836,1:47:41
63000,-722796.7921452953,73.69942458630946,454.6601989765836,1:47:41
64000,-722762.110071585,75.43378066790956,454.6601989765836,1:47:41
65000,-722534.7279549362,76.62481040626652,454.6601989765836,1:47:41
66000,-722324.918583062,78.02960450663194,454.6601989765836,1:47:41
67000,-721760.725629414,78.66836796515082,454.6601989765836,1:47:41
68000,-721769.1699426975,79.98366925154578,454.6601989765836,1:47:41
69000,-721315.2779141976,80.5108246437222,454.6601989765836,1:47:41
70000,-720937.6083685192,82.11809804710374,454.6601989765836,1:47:41
71000,-720983.9195418674,83.02734070563983,454.6601989765836,1:47:41
72000,-720823.0270011816,84.89245312909662,454.6601989765836,1:47:41
73000,-720632.6854469741,86.24581354122974,454.6601989765836,1:47:41
74000,-720398.0142575325,87.2464330712578,454.6601989765836,1:47:41
75000,-719923.7908454989,88.55812599151278,454.6601989765836,1:47:42
76000,-719602.7554166215,88.84006288760688,454.6601989765836,1:47:42
77000,-719511.7042044164,90.68669969345262,454.6601989765836,1:47:41
78000,-719408.0460986192,91.5183346437178,454.6601989765836,1:47:42
79000,-719089.9457047936,92.8978712468043,454.6601989765836,1:47:42
80000,-718339.6295405726,93.85794813014317,454.6601989765836,1:47:41
81000,-718284.0794033052,95.06034714163341,454.6601989765836,1:47:41
82000,-717869.7204600854,96.24193056284852,454.6601989765836,1:47:41
83000,-717855.6678933403,97.56460980081283,454.6601989765836,1:47:41
84000,-717347.2598437225,98.7885125983471,454.6601989765836,1:47:41
85000,-716846.5738575719,100.34234636917725,454.6601989765836,1:47:41
86000,-716518.5477612123,101.13910662563119,454.6601989765836,1:47:41
87000,-716381.1037132768,102.45767478171771,454.6601989765836,1:47:41
88000,-716116.612752506,103.26229547364943,454.6601989765836,1:47:41
89000,-715933.7422861706,104.81547869422451,454.6601989765836,1:47:41
90000,-715225.8063675123,105.44668777551092,454.6601989765836,1:47:41
91000,-715246.2547547221,106.91397722559257,454.6601989765836,1:47:41
92000,-714863.4746477616,108.11528778942684,454.6601989765836,1:47:41
93000,-714087.6777466056,109.49384846773638,454.6601989765836,1:47:41
94000,-714112.5134929051,110.89925133801071,454.6601989765836,1:47:41
95000,-713488.4564297388,112.46838219503867,454.6601989765836,1:47:41
96000,-713122.6097907412,112.3663920767089,454.6601989765836,1:47:41
97000,-712812.7223192183,114.18942373096836,454.6601989765836,1:47:41
98000,-712990.9139434732,115.65546478144954,454.6601989765836,1:47:41
99000,-712161.7276922828,116.10295300706481,454.6601989765836,1:47:41
100000,-711953.0072746922,117.10182193648565,454.6601989765836,1:47:41
101000,-711886.7163508357,117.73241537460977,454.6601989765836,1:47:41
102000,-711410.7821909427,120.39263258668471,454.6601989765836,1:47:41
103000,-711136.569384713,121.8359546845923,454.6601989765836,1:47:40
104000,-710642.392020728,122.27161047971761,454.6601989765836,1:47:40
105000,-710430.0152066001,123.82246523081128,454.6601989765836,1:47:40
106000,-710115.8751512156,124.28593126793861,454.6601989765836,1:47:40
107000,-709975.3957438269,125.31867943043382,454.6601989765836,1:47:40
108000,-709284.3627026137,126.77898485131381,454.6601989765836,1:47:40
109000,-708913.9786107736,127.93699912805236,454.6601989765836,1:47:40
110000,-708373.7000633995,130.24338256885267,454.6601989765836,1:47:39
111000,-708044.8738626211,129.71201315086182,454.6601989765836,1:47:39
112000,-707496.8809432862,131.1881176989571,454.6601989765836,1:47:39
