Running SLURM prolog script on pink58.cluster.local
===============================================================================
Job started on Thu Aug  8 15:25:40 BST 2024
Job ID          : 6409993
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_4
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_4/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink58
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink58

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_4
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_4
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Thianaphthene_4
1
0.668 [69.443, 98.656] [-1.663, 171.43, -86.441]
Adding Boresch restraints..
raA0 = 0.668 nm between atoms <Atom 2647 (C4) of chain 1 residue 166 (L02)> and <Atom 1394 (N) of chain 0 residue 88 (TYR)>
theta_A0 = 69.443 deg between [<Atom 2646 (C3) of chain 1 residue 166 (L02)>, <Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 1394 (N) of chain 0 residue 88 (TYR)>]
theta_B0 = 98.656 deg between [<Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 1394 (N) of chain 0 residue 88 (TYR)>, <Atom 1380 (C) of chain 0 residue 87 (VAL)>]
phi_A0 = -0.0290248254606657 rad between [<Atom 2645 (C2) of chain 1 residue 166 (L02)>, <Atom 2646 (C3) of chain 1 residue 166 (L02)>, <Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 1394 (N) of chain 0 residue 88 (TYR)>]
phi_B0 = 2.992017936693879 rad between [<Atom 2646 (C3) of chain 1 residue 166 (L02)>, <Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 1394 (N) of chain 0 residue 88 (TYR)>, <Atom 1380 (C) of chain 0 residue 87 (VAL)>]
phi_C0 = -1.5086800587164184 rad between [<Atom 2647 (C4) of chain 1 residue 166 (L02)>, <Atom 1394 (N) of chain 0 residue 88 (TYR)>, <Atom 1380 (C) of chain 0 residue 87 (VAL)>, <Atom 1379 (CA) of chain 0 residue 87 (VAL)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.668 nm
theta_A0 = 1.2120089924624222 rad
theta_B0 = 1.7218720268475258 rad
phi_A0 = -0.0290248254606657 rad
phi_B0 = 2.992017936693879 rad
phi_C0 = -1.5086800587164184 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-712877.9072051635,3.1684870100096045,439.9878510897433,--
2000,-714708.0443433635,2.9432092371478245,439.9878510897433,1:46:31
3000,-715067.7251211694,3.3636809580918037,439.9878510897433,1:46:26
4000,-715042.0949202413,4.383528681483185,439.9878510897433,1:46:25
5000,-714876.2623360571,5.465131359746005,439.9878510897433,1:46:23
6000,-714700.5226949072,6.666067764780176,439.9878510897433,1:46:23
7000,-714507.3484735284,7.777263783443696,439.9878510897433,1:46:20
8000,-714307.6302545094,9.02014962092889,439.9878510897433,1:46:20
9000,-714139.4673900544,10.249625683779747,439.9878510897433,1:46:26
10000,-713949.8939452886,11.404604756312875,439.9878510897433,1:46:30
11000,-713737.3060524231,12.559171873566155,439.9878510897433,1:46:33
12000,-713519.5989393773,13.716234053678667,439.9878510897433,1:46:35
13000,-713212.3402133947,15.005630103847736,439.9878510897433,1:46:38
14000,-712940.9218300057,15.919170257729442,439.9878510897433,1:46:39
15000,-712745.8137909237,17.23229431170046,439.9878510897433,1:46:40
16000,-712518.6836671326,18.43049826447747,439.9878510897433,1:46:41
17000,-712392.4298480083,19.762848448811635,439.9878510897433,1:46:43
18000,-712086.8902148218,20.74487181923699,439.9878510897433,1:46:45
19000,-711755.9771835385,21.684176257186824,439.9878510897433,1:46:47
20000,-711661.6608337392,23.17606323139489,439.9878510897433,1:46:50
21000,-711571.0314927176,24.492480577751397,439.9878510897433,1:46:52
22000,-711426.1585132875,25.34975186635204,439.9878510897433,1:46:54
23000,-711134.7714451556,26.792468471716322,439.9878510897433,1:46:55
24000,-710981.1651193858,27.86945031414346,439.9878510897433,1:46:56
25000,-710744.5027977971,29.04470266899047,439.9878510897433,1:46:58
26000,-710645.4319259827,30.19817457494043,439.9878510897433,1:46:59
27000,-710497.1630692035,31.336763995032083,439.9878510897433,1:47:00
28000,-710169.0354333953,32.613436981066236,439.9878510897433,1:47:01
29000,-709965.56107906,33.99352056076796,439.9878510897433,1:47:03
30000,-709851.6084755149,34.76271759531981,439.9878510897433,1:47:04
31000,-709734.9966718503,35.9879528599535,439.9878510897433,1:47:05
32000,-709403.6149284451,37.260624582634705,439.9878510897433,1:47:05
33000,-709105.1352751977,38.617122795277346,439.9878510897433,1:47:06
34000,-708760.9456562623,39.87750128938723,439.9878510897433,1:47:06
35000,-708732.2907712874,41.26570886514224,439.9878510897433,1:47:07
36000,-708496.3846207804,42.27602569302566,439.9878510897433,1:47:07
37000,-708347.5401380686,43.4035730117961,439.9878510897433,1:47:07
38000,-708007.916172757,44.375203441956465,439.9878510897433,1:47:08
39000,-707925.5951303802,45.41802117783942,439.9878510897433,1:47:08
40000,-707718.5974749832,46.62560317473835,439.9878510897433,1:47:08
41000,-707297.3184246793,48.16378714512581,439.9878510897433,1:47:09
42000,-707010.336189144,48.779542186962246,439.9878510897433,1:47:09
43000,-707081.040398286,50.48118885015807,439.9878510897433,1:47:10
44000,-706545.7273087944,51.87633637654681,439.9878510897433,1:47:10
45000,-706221.6382016193,52.617373107843754,439.9878510897433,1:47:10
46000,-705987.5183331626,53.93306299352305,439.9878510897433,1:47:10
47000,-705616.5930367103,54.658134439216816,439.9878510897433,1:47:11
48000,-705367.7980721281,56.502544684732115,439.9878510897433,1:47:11
49000,-705264.7573063672,57.676051945265996,439.9878510897433,1:47:11
50000,-704893.6064984384,58.67513866197697,439.9878510897433,1:47:12
51000,-704553.2198888208,59.63655823613805,439.9878510897433,1:47:12
52000,-704279.6026039908,60.698725206260505,439.9878510897433,1:47:12
53000,-704152.153606459,61.87510008071191,439.9878510897433,1:47:12
54000,-704032.5969131212,63.44261241990996,439.9878510897433,1:47:13
55000,-703811.3921794181,64.20152690385594,439.9878510897433,1:47:13
56000,-703506.3644921097,65.77669452687591,439.9878510897433,1:47:13
57000,-703211.6865525581,67.08044419077949,439.9878510897433,1:47:13
58000,-702916.5414113454,68.16114650059316,439.9878510897433,1:47:13
59000,-702583.4916522754,68.95190955925136,439.9878510897433,1:47:13
60000,-702433.1394589867,70.09671269684758,439.9878510897433,1:47:13
61000,-702404.2144916283,71.95614758666171,439.9878510897433,1:47:13
62000,-701811.0327073024,73.28753186308897,439.9878510897433,1:47:14
63000,-701732.4225430023,73.46999430911056,439.9878510897433,1:47:14
64000,-701189.8441255549,75.25149091724461,439.9878510897433,1:47:14
65000,-700705.4672075841,75.87258890432595,439.9878510897433,1:47:14
66000,-700611.5190737494,77.54495231829682,439.9878510897433,1:47:14
67000,-700424.0154388349,79.01729030989623,439.9878510897433,1:47:14
68000,-700177.0295145088,79.77757869741237,439.9878510897433,1:47:14
69000,-699947.2961145213,81.62039615783837,439.9878510897433,1:47:14
70000,-699611.519918072,82.34584426415519,439.9878510897433,1:47:14
71000,-699358.9784241794,83.45747892638138,439.9878510897433,1:47:14
72000,-699003.5379480026,85.1093436493161,439.9878510897433,1:47:14
73000,-698783.8031442829,85.26156559454923,439.9878510897433,1:47:14
74000,-698310.8606066965,86.55625076167317,439.9878510897433,1:47:14
75000,-698393.6376233764,87.86486633104342,439.9878510897433,1:47:14
76000,-697791.5876826725,88.72508369363105,439.9878510897433,1:47:14
77000,-697514.8557848912,91.03945976479208,439.9878510897433,1:47:14
78000,-696885.8815083636,91.26584339362016,439.9878510897433,1:47:14
79000,-697129.5689347915,93.5336204148497,439.9878510897433,1:47:14
80000,-697073.7119699325,93.59402895797707,439.9878510897433,1:47:14
81000,-696691.2899282526,95.00008758214956,439.9878510897433,1:47:13
82000,-696155.3719824189,96.33520054572698,439.9878510897433,1:47:13
83000,-695812.8118912973,96.64069389748309,439.9878510897433,1:47:13
84000,-695387.6175463032,98.06174054823786,439.9878510897433,1:47:13
85000,-695386.0647445116,100.20180557495877,439.9878510897433,1:47:12
86000,-695077.8475746177,101.3628884650374,439.9878510897433,1:47:12
87000,-694696.6725229253,102.32556098415778,439.9878510897433,1:47:12
88000,-694498.4768238598,103.16804459783842,439.9878510897433,1:47:12
89000,-694338.615843137,103.77077969858315,439.9878510897433,1:47:12
90000,-693862.6649056631,106.087498663147,439.9878510897433,1:47:11
91000,-693662.5703851345,106.64342951029938,439.9878510897433,1:47:11
92000,-693219.1416969444,108.17083043562546,439.9878510897433,1:47:11
93000,-693235.2541443347,109.43733529612088,439.9878510897433,1:47:10
94000,-692659.4047651072,110.68945391469252,439.9878510897433,1:47:10
95000,-692229.707504937,112.16989248035875,439.9878510897433,1:47:10
96000,-691908.4743340206,112.13704660643457,439.9878510897433,1:47:09
97000,-692051.9236427366,114.45924692899322,439.9878510897433,1:47:09
98000,-692002.0762627893,114.33763000289822,439.9878510897433,1:47:09
99000,-691666.7591323915,115.9325207555473,439.9878510897433,1:47:08
100000,-690993.0687618398,117.54748834307705,439.9878510897433,1:47:08
101000,-690516.4215848038,118.72068336216569,439.9878510897433,1:47:07
102000,-690781.7040956935,119.84145747468447,439.9878510897433,1:47:07
103000,-690064.3674097257,119.28975442381656,439.9878510897433,1:47:06
104000,-689412.2740788674,121.19938853999753,439.9878510897433,1:47:06
105000,-689783.9446949637,123.94436920376411,439.9878510897433,1:47:05
106000,-688648.5894817356,124.09226942363797,439.9878510897433,1:47:05
107000,-688482.7628171251,125.64868426445352,439.9878510897433,1:47:05
108000,-688298.2355978801,127.55559782099077,439.9878510897433,1:47:04
109000,-687353.3848983168,127.64094522662181,439.9878510897433,1:47:03
110000,-687644.0649508815,129.1781393233316,439.9878510897433,1:47:03
111000,-687354.2147071646,131.008615294527,439.9878510897433,1:47:02
112000,-686395.0155576277,131.97709797810086,439.9878510897433,1:47:02
113000,-686533.6515514213,131.82804334720655,439.9878510897433,1:47:01
114000,-685826.4650756323,132.91413460867088,439.9878510897433,1:47:01
115000,-685231.1673779474,135.51038716360733,439.9878510897433,1:47:00
116000,-685390.338653008,136.7595817850918,439.9878510897433,1:47:00
117000,-685004.5195299806,138.127954076964,439.9878510897433,1:47:00
118000,-684272.0483840341,138.38419755543163,439.9878510897433,1:46:59
119000,-683789.1421673144,140.69737600495404,439.9878510897433,1:46:59
120000,-683309.4738231574,141.35862435819956,439.9878510897433,1:46:59
121000,-683468.9728051848,142.4979543754067,439.9878510897433,1:46:58
122000,-682482.7219680012,143.31909209562994,439.9878510897433,1:46:58
123000,-682198.2309353785,144.16012788283288,439.9878510897433,1:46:58
124000,-681941.0218328054,146.35028729466305,439.9878510897433,1:46:57
125000,-681353.4359079706,147.2688238855478,439.9878510897433,1:46:57
126000,-680828.1567932572,149.2553721547429,439.9878510897433,1:46:56
127000,-681191.2689539837,150.33677533321153,439.9878510897433,1:46:56
128000,-680386.7042943288,149.72449220982975,439.9878510897433,1:46:55
129000,-679748.7067720112,151.5586414405237,439.9878510897433,1:46:55
130000,-678998.8318694979,153.61312167614594,439.9878510897433,1:46:55
131000,-678968.2798371639,154.54107663805897,439.9878510897433,1:46:54
132000,-678217.4631045836,153.81042691062527,439.9878510897433,1:46:54
133000,-677666.6657039518,155.0301907064295,439.9878510897433,1:46:53
134000,-677929.5772074745,157.42394706696277,439.9878510897433,1:46:53
135000,-677529.621199457,157.6092932898226,439.9878510897433,1:46:52
136000,-676559.8253529316,160.24712431343252,439.9878510897433,1:46:52
137000,-676478.1352871507,159.67463485020573,439.9878510897433,1:46:51
138000,-675916.9420564678,161.91847401425974,439.9878510897433,1:46:51
139000,-674888.5204463699,163.3444968804114,439.9878510897433,1:46:51
140000,-674878.0248835078,165.1697476646218,439.9878510897433,1:46:50
141000,-674450.0419275868,165.6926756392666,439.9878510897433,1:46:50
142000,-674296.6662991638,165.87169658934997,439.9878510897433,1:46:49
143000,-672930.8877404756,167.47968656178867,439.9878510897433,1:46:49
144000,-672641.3995227311,168.79566635716708,439.9878510897433,1:46:48
145000,-672520.9620526854,170.26419367799807,439.9878510897433,1:46:48
146000,-672182.4572196254,173.02359502077888,439.9878510897433,1:46:47
147000,-671552.1204220282,172.60026289758395,439.9878510897433,1:46:47
148000,-670950.4048728659,173.50269685113196,439.9878510897433,1:46:46
149000,-669679.2888648817,175.10896404081646,439.9878510897433,1:46:46
150000,-669775.3129312207,176.24395523537262,439.9878510897433,1:46:45
151000,-668386.241706968,177.2017537914521,439.9878510897433,1:46:45
152000,-668650.8593178762,180.6354039942437,439.9878510897433,1:46:44
153000,-667614.3593186275,182.2782683484314,439.9878510897433,1:46:44
154000,-667304.9285680114,181.4188909671138,439.9878510897433,1:46:43
155000,-667722.9836641306,182.47021332266075,439.9878510897433,1:46:43
156000,-666818.0410550626,183.88982923796772,439.9878510897433,1:46:42
157000,-665586.2192809703,183.56408060796028,439.9878510897433,1:46:42
158000,-665963.1040742309,185.59171960088665,439.9878510897433,1:46:41
159000,-664466.1984599521,186.43885011738624,439.9878510897433,1:46:41
160000,-664056.7545784123,188.8294176499562,439.9878510897433,1:46:40
161000,-662886.0526148509,189.02972697020724,439.9878510897433,1:46:40
162000,-662224.9362361785,192.0349828883676,439.9878510897433,1:46:39
163000,-661463.7078273117,192.69984279118788,439.9878510897433,1:46:39
164000,-660300.6011245567,192.3121044359555,439.9878510897433,1:46:38
165000,-659468.3880898943,194.07845111625625,439.9878510897433,1:46:38
166000,-659372.7751712054,194.48898446910346,439.9878510897433,1:46:37
167000,-657598.8523822059,195.90230030324588,439.9878510897433,1:46:37
168000,-656957.9862002824,199.07060020282404,439.9878510897433,1:46:36
169000,-656413.1039389072,198.50868153620775,439.9878510897433,1:46:36
170000,-655791.4727390246,199.92552173709757,439.9878510897433,1:46:35
171000,-654401.6117234118,201.44536028467417,439.9878510897433,1:46:34
172000,-653294.4645304442,201.9398451969479,439.9878510897433,1:46:34
173000,-652986.2813684354,202.8249389465797,439.9878510897433,1:46:33
174000,-650814.8097873982,202.53770201373513,439.9878510897433,1:46:33
175000,-649991.1998240435,205.45820543256508,439.9878510897433,1:46:32
176000,-648743.9251595167,207.975585877827,439.9878510897433,1:46:31
177000,-647099.4204893983,207.4190528396883,439.9878510897433,1:46:31
178000,-647302.5892762216,210.07492149350657,439.9878510897433,1:46:30
179000,-644769.3264920027,210.92881440274937,439.9878510897433,1:46:30
180000,-644402.4666582453,213.3234293855107,439.9878510897433,1:46:29
