Running SLURM prolog script on pink56.cluster.local
===============================================================================
Job started on Thu Aug  8 17:00:56 BST 2024
Job ID          : 6409995
Job name        : Equil
WorkDir         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Toluene_0
Command         : /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Toluene_0/run_equil_iridis.sh
Partition       : gtx1080
Num hosts       : 1
Num cores       : 6
Num of tasks    : 1
Hosts allocated : pink56
Job Output Follows ...
===============================================================================
=================================== SLURM JOB ===================================

The job will be started on the following node(s):
pink56

Slurm User:         wp1g16
Run Directory:      /scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Toluene_0
Job ID:             _
Job Name:           Equil
Partition:          gtx1080
Number of nodes:    1
Number of tasks:    1
Submitted From:     cyan51.cluster.local:/mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Toluene_0
=================================== SLURM JOB ===================================

--- SLURM job-script output ---
Free energy home directory set to /mainfs/scratch/wp1g16/Grand/T4L99A/FreeEnergies/SolvateEquilComplex/Toluene_0
1
0.496 [46.538, 93.691] [-64.553, -159.642, 142.46]
Adding Boresch restraints..
raA0 = 0.496 nm between atoms <Atom 2644 (C2) of chain 1 residue 166 (L02)> and <Atom 1570 (HA) of chain 0 residue 99 (ALA)>
theta_A0 = 46.538 deg between [<Atom 2645 (C3) of chain 1 residue 166 (L02)>, <Atom 2644 (C2) of chain 1 residue 166 (L02)>, <Atom 1570 (HA) of chain 0 residue 99 (ALA)>]
theta_B0 = 93.691 deg between [<Atom 2644 (C2) of chain 1 residue 166 (L02)>, <Atom 1570 (HA) of chain 0 residue 99 (ALA)>, <Atom 1565 (CA) of chain 0 residue 99 (ALA)>]
phi_A0 = -1.1266623920398995 rad between [<Atom 2650 (H1) of chain 1 residue 166 (L02)>, <Atom 2645 (C3) of chain 1 residue 166 (L02)>, <Atom 2644 (C2) of chain 1 residue 166 (L02)>, <Atom 1570 (HA) of chain 0 residue 99 (ALA)>]
phi_B0 = -2.7862785244687873 rad between [<Atom 2645 (C3) of chain 1 residue 166 (L02)>, <Atom 2644 (C2) of chain 1 residue 166 (L02)>, <Atom 1570 (HA) of chain 0 residue 99 (ALA)>, <Atom 1565 (CA) of chain 0 residue 99 (ALA)>]
phi_C0 = 2.486396052391122 rad between [<Atom 2644 (C2) of chain 1 residue 166 (L02)>, <Atom 1570 (HA) of chain 0 residue 99 (ALA)>, <Atom 1565 (CA) of chain 0 residue 99 (ALA)>, <Atom 1564 (N) of chain 0 residue 99 (ALA)>]
K_r = 10 kcal/(A**2 mol)
K_thetaA = 10 kcal/(mol rad**2)
K_thetaB = 10 kcal/(mol rad**2)
K_phiA = 10 kcal/(mol rad**2)
K_phiB = 10 kcal/(mol rad**2)
K_phiC = 10 kcal/(mol rad**2)
r_aA0 = 0.496 nm
theta_A0 = 0.812241327293121 rad
theta_B0 = 1.6352164294860074 rad
phi_A0 = -1.1266623920398995 rad
phi_B0 = -2.7862785244687873 rad
phi_C0 = 2.486396052391122 rad
Running on CUDA platform.
Minimizing energy
Running NVT
Heating...
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
1000,-667639.8222587935,3.0737700688670095,417.1651612106032,--
2000,-669386.7291214196,3.1567636774602397,417.1651612106032,1:39:06
3000,-669994.2242003072,3.5587088562930913,417.1651612106032,1:39:13
4000,-670039.3648192803,4.3956389336045305,417.1651612106032,1:39:15
5000,-669865.7171161028,5.439297499443179,417.1651612106032,1:39:20
6000,-669630.2309352797,6.570043666479385,417.1651612106032,1:39:22
7000,-669376.396117626,7.836435405293251,417.1651612106032,1:39:21
8000,-669092.6111444186,8.903341744787614,417.1651612106032,1:39:18
9000,-668878.6736715427,10.140999831925818,417.1651612106032,1:39:18
10000,-668564.9405074627,11.37346804989909,417.1651612106032,1:40:11
11000,-668276.1063679389,12.427150088276086,417.1651612106032,1:40:10
12000,-668049.5290226489,13.787694433640027,417.1651612106032,1:40:13
13000,-667772.0011364641,14.935750672863305,417.1651612106032,1:40:12
14000,-667481.8119265821,16.041674106689083,417.1651612106032,1:40:11
15000,-667255.7285383281,17.097340529797183,417.1651612106032,1:40:08
16000,-666895.4493318526,18.311878828868316,417.1651612106032,1:40:07
17000,-666697.6142756832,19.7983548952544,417.1651612106032,1:40:06
18000,-666544.3456542634,20.720821526725427,417.1651612106032,1:40:06
19000,-666404.0378816056,22.184007968771056,417.1651612106032,1:40:06
20000,-666278.1355160102,22.954060070348387,417.1651612106032,1:40:05
21000,-666102.1648629042,24.194618944398467,417.1651612106032,1:40:04
22000,-665916.840666052,25.366381853182972,417.1651612106032,1:40:03
23000,-665811.644309876,26.98393815988323,417.1651612106032,1:40:03
24000,-665715.7863544337,28.09949213428986,417.1651612106032,1:40:03
25000,-665543.8075374083,29.259441533717112,417.1651612106032,1:40:03
26000,-665525.4471496381,30.385759312115006,417.1651612106032,1:40:02
27000,-665241.4651435246,31.2218913668271,417.1651612106032,1:40:02
28000,-665087.0324561982,32.26517983493598,417.1651612106032,1:40:02
29000,-664850.9816411613,33.489812466351154,417.1651612106032,1:40:01
30000,-664597.8503917446,34.95341255567875,417.1651612106032,1:40:02
31000,-664270.5043007561,36.21220955737656,417.1651612106032,1:40:01
32000,-664105.9092121182,37.47804493753581,417.1651612106032,1:40:02
33000,-664159.1978832218,38.79164353914249,417.1651612106032,1:40:02
34000,-664125.7835173015,39.53656893219307,417.1651612106032,1:40:03
35000,-663838.366839489,41.25515141034515,417.1651612106032,1:40:04
36000,-663655.2777974356,42.114012802332354,417.1651612106032,1:40:04
37000,-663258.9532244755,43.02832374944204,417.1651612106032,1:40:04
38000,-663136.9515785631,44.40545943474798,417.1651612106032,1:40:05
39000,-662803.6508328398,45.25836578733833,417.1651612106032,1:40:05
40000,-662640.2706033592,47.091941433880486,417.1651612106032,1:40:05
41000,-662326.1459015659,48.22213920294962,417.1651612106032,1:40:05
42000,-662259.9586445095,49.134999181557234,417.1651612106032,1:40:04
43000,-662123.8133185995,50.18851572716374,417.1651612106032,1:40:05
44000,-661891.5665408417,51.23463166991207,417.1651612106032,1:40:05
45000,-661678.667453662,52.420295971990676,417.1651612106032,1:40:05
46000,-661410.9761859835,54.1049978088596,417.1651612106032,1:40:05
47000,-661111.9977422641,55.04257059005309,417.1651612106032,1:40:05
48000,-660899.4269706402,56.22632422578346,417.1651612106032,1:40:04
