#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-702137.0367758512,1.0385059399619216,436.61757817737583,--
200,-702595.3251388522,1.835535663104099,436.61757817737583,1:52:39
300,-703090.4670421055,2.4799277936938684,436.61757817737583,1:52:29
400,-703565.5949238038,2.9340927671740356,436.61757817737583,1:48:53
500,-704010.5537614217,3.1742421678724435,436.61757817737583,1:48:21
600,-704393.9303598783,3.2568412108240086,436.61757817737583,1:47:01
700,-704721.2524959417,3.2154178920148935,436.61757817737583,1:46:08
800,-705053.6567701073,3.220074648972914,436.61757817737583,1:46:17
900,-705375.5452262387,3.2266185759818606,436.61757817737583,1:45:40
1000,-705697.1360534867,3.287473177139594,436.61757817737583,2:25:20
1100,-705996.2799871559,3.321896631360277,436.61757817737583,2:20:55
1200,-706264.6558145629,3.295186012200237,436.61757817737583,2:17:18
1300,-706489.5796803697,3.226100431628592,436.61757817737583,2:14:49
1400,-706666.202844986,3.0997189597784827,436.61757817737583,2:12:15
1500,-706821.0970806626,3.0124874251475147,436.61757817737583,2:10:29
1600,-707008.7218924472,3.063271950137047,436.61757817737583,2:08:32
1700,-707193.9022359499,3.119665023315603,436.61757817737583,2:06:51
1800,-707291.7940301392,3.0058853426097425,436.61757817737583,2:05:41
1900,-707402.0186203602,3.001722831195541,436.61757817737583,2:04:21
2000,-707497.1557553532,3.0028107032042928,436.61757817737583,2:03:26
2100,-707580.714747847,3.0054353899854576,436.61757817737583,2:02:19
2200,-707645.069604029,3.0107667318430136,436.61757817737583,2:01:20
2300,-707686.5785251083,2.976605172387607,436.61757817737583,2:00:39
2400,-707734.9141208972,3.0279433748957225,436.61757817737583,1:59:50
2500,-707770.6623988214,3.056665687111029,436.61757817737583,1:59:17
2600,-707845.223287507,3.233184286899597,436.61757817737583,1:58:35
2700,-707907.727566892,3.3451841331595666,436.61757817737583,1:57:57
2800,-707914.8044362799,3.3059934231098036,436.61757817737583,1:57:33
