#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Time Remaining"
100,-807527.0185719219,1.114824249542806,499.4844883093476,--
200,-808143.5357062698,2.0837446643318303,499.4844883093476,9:45:34
300,-808772.358133289,2.7676739567753326,499.4844883093476,9:46:15
400,-809325.1072945432,3.107165246732993,499.4844883093476,9:49:44
500,-809803.5376990254,3.2355083423328925,499.4844883093476,9:49:01
600,-810305.187910846,3.42642607752161,499.4844883093476,9:50:23
700,-810759.4270665287,3.478881895055248,499.4844883093476,9:49:49
800,-811155.2088814382,3.443975699255921,499.4844883093476,9:49:17
900,-811542.2280551204,3.4110873335899963,499.4844883093476,9:50:10
1000,-811874.4412773002,3.3349357117709344,499.4844883093476,10:33:39
1100,-812201.4979049079,3.313483648945286,499.4844883093476,10:30:06
1200,-812488.6931526104,3.2682129988150517,499.4844883093476,10:26:12
1300,-812723.6867422215,3.1337874824206806,499.4844883093476,10:13:58
1400,-812923.8758830372,3.0424405064049895,499.4844883093476,9:36:16
1500,-813141.2423312527,3.0555102911890977,499.4844883093476,9:03:22
1600,-813343.8925523618,3.0697932009973337,499.4844883093476,8:35:21
1700,-813474.5799948776,2.974743107053153,499.4844883093476,8:10:22
1800,-813607.4796649036,2.952122115166504,499.4844883093476,7:48:21
1900,-813745.3543378424,2.951910216968678,499.4844883093476,7:29:18
2000,-813829.145618673,2.9326278533521104,499.4844883093476,7:11:45
2100,-813926.2402833917,2.9526784000896686,499.4844883093476,6:56:21
2200,-814007.9907069276,2.9880885177912675,499.4844883093476,6:42:03
2300,-814062.94563541,2.99389721073387,499.4844883093476,6:29:03
2400,-814123.9020003877,3.06455919072378,499.4844883093476,6:17:32
2500,-814155.555408099,3.0552182729971333,499.4844883093476,6:06:37
2600,-814189.7757190545,3.1131453847856587,499.4844883093476,5:56:54
2700,-814228.2264820393,3.176502940445587,499.4844883093476,5:47:43
2800,-814233.5512792775,3.217967929006292,499.4844883093476,5:39:06
2900,-814243.9336466126,3.293832682252247,499.4844883093476,5:31:25
3000,-814256.6293333604,3.3741363573923566,499.4844883093476,5:23:57
3100,-814274.180867234,3.476549902304027,499.4844883093476,5:17:15
3200,-814264.4522521493,3.5344707871032015,499.4844883093476,5:10:44
3300,-814245.5686399967,3.6084318015785475,499.4844883093476,5:04:38
3400,-814268.3573143063,3.7738402024067628,499.4844883093476,4:59:07
3500,-814237.539895888,3.814309378441132,499.4844883093476,4:53:42
3600,-814228.4504544863,3.92514687298594,499.4844883093476,4:48:50
3700,-814203.9868475611,3.991960316724081,499.4844883093476,4:44:00
3800,-814183.0670456423,4.0748113650813735,499.4844883093476,4:39:26
3900,-814164.6826549047,4.195127907995131,499.4844883093476,4:35:19
4000,-814143.7810767959,4.295253760158282,499.4844883093476,4:31:13
4100,-814134.5957391039,4.420497831524258,499.4844883093476,4:27:32
4200,-814097.5511043626,4.506876544727656,499.4844883093476,4:23:49
4300,-814087.3737729946,4.644822664420959,499.4844883093476,4:20:17
4400,-814046.6915805601,4.733893709463847,499.4844883093476,4:17:06
4500,-814006.0623735185,4.854157861718,499.4844883093476,4:13:52
4600,-813987.4899524678,4.989739149490038,499.4844883093476,4:10:58
4700,-813951.0293114753,5.095399428102993,499.4844883093476,4:08:01
4800,-813920.0902282398,5.212564617000316,499.4844883093476,4:05:12
4900,-813882.6675008421,5.2939664210553445,499.4844883093476,4:02:40
5000,-813847.9941897606,5.4073765410958,499.4844883093476,4:00:04
5100,-813804.8998867497,5.490321718679862,499.4844883093476,3:57:44
5200,-813793.2102572897,5.63105745344573,499.4844883093476,3:55:20
5300,-813758.2325821046,5.727656118526772,499.4844883093476,3:53:01
5400,-813721.4988245824,5.877507692810129,499.4844883093476,3:50:57
5500,-813688.768798426,5.935512506314245,499.4844883093476,3:48:48
5600,-813664.8946545995,6.035868010193476,499.4844883093476,3:46:53
5700,-813632.7452528547,6.167396439636564,499.4844883093476,3:44:53
5800,-813566.9456298151,6.293706443562738,499.4844883093476,3:42:58
5900,-813527.7362378393,6.464507750274737,499.4844883093476,3:41:15
6000,-813495.1839490845,6.5565042253726595,499.4844883093476,3:39:31
6100,-813472.7899475375,6.6948432364789205,499.4844883093476,3:37:55
6200,-813454.5484525957,6.830191070772227,499.4844883093476,3:36:14
6300,-813405.435254774,6.932547677935981,499.4844883093476,3:34:36
6400,-813380.6549818292,7.092781785992369,499.4844883093476,3:33:10
6500,-813340.6730820187,7.177834246492841,499.4844883093476,3:31:38
6600,-813311.8994887844,7.323907909999749,499.4844883093476,3:30:17
6700,-813252.8767096933,7.41976638423426,499.4844883093476,3:28:50
6800,-813221.2029875638,7.546358093927152,499.4844883093476,3:27:26
6900,-813193.4252733937,7.672187616250751,499.4844883093476,3:26:12
7000,-813178.277432191,7.800561737862364,499.4844883093476,3:24:53
7100,-813114.8923315937,7.823212159793126,499.4844883093476,3:23:43
7200,-813090.3271500152,7.994116915242733,499.4844883093476,3:22:29
7300,-813051.0296354392,8.137102394755566,499.4844883093476,3:21:16
7400,-813007.6077900981,8.267983167744465,499.4844883093476,3:20:13
7500,-812988.05916165,8.425188902228639,499.4844883093476,3:19:04
7600,-812940.3125575955,8.562057075293703,499.4844883093476,3:18:03
7700,-812894.0934670737,8.629235272978065,499.4844883093476,3:16:57
7800,-812882.8242400964,8.699015503896431,499.4844883093476,3:15:53
7900,-812853.4347015359,8.771917675354247,499.4844883093476,3:14:57
8000,-812821.3676487326,8.921541300399523,499.4844883093476,3:13:58
8100,-812777.9649315998,9.044905617963677,499.4844883093476,3:13:05
8200,-812755.549538784,9.20395932903853,499.4844883093476,3:12:07
8300,-812682.4761279896,9.242008565945653,499.4844883093476,3:11:11
8400,-812674.464953348,9.41624024530993,499.4844883093476,3:10:22
8500,-812625.8293642215,9.53021117068684,499.4844883093476,3:09:28
8600,-812587.395975872,9.639906639723604,499.4844883093476,3:08:42
8700,-812524.0809145672,9.763756540640815,499.4844883093476,3:07:51
8800,-812492.2496664992,9.922522386521914,499.4844883093476,3:07:01
8900,-812481.0146095515,10.033052011012199,499.4844883093476,3:06:17
9000,-812452.1541627084,10.155601473298857,499.4844883093476,3:05:30
9100,-812438.3239334868,10.350235719314464,499.4844883093476,3:04:48
9200,-812390.1420578016,10.440624054288367,499.4844883093476,3:04:02
9300,-812366.1733299459,10.544064212856114,499.4844883093476,3:03:17
9400,-812348.5743357898,10.653611354689296,499.4844883093476,3:02:39
9500,-812303.6448927412,10.725079020248032,499.4844883093476,3:01:56
9600,-812285.501417628,10.895360462719957,499.4844883093476,3:01:19
9700,-812225.9236143194,10.93903081820244,499.4844883093476,3:00:37
9800,-812237.129980471,11.156552593584076,499.4844883093476,2:59:57
9900,-812176.5450988361,11.221272454187366,499.4844883093476,2:59:22
10000,-812168.4527909919,11.362502163582892,499.4844883093476,2:58:43
10100,-812119.6261000659,11.418020720167817,499.4844883093476,2:58:10
10200,-812098.3207919206,11.66379092028811,499.4844883093476,2:57:34
10300,-812046.2691926053,11.763992953430341,499.4844883093476,2:56:58
10400,-812041.3779998214,11.885855953788454,499.4844883093476,2:56:27
10500,-812063.6516313427,11.943710414919874,499.4844883093476,2:55:52
10600,-812008.5866995102,12.02334020628158,499.4844883093476,2:55:22
10700,-811946.4991688393,12.092892143528735,499.4844883093476,2:54:48
10800,-811952.903268025,12.268165043773063,499.4844883093476,2:54:16
10900,-811925.7698120419,12.352698323391566,499.4844883093476,2:53:48
11000,-811898.5831277014,12.496649980887787,499.4844883093476,2:53:16
11100,-811852.2747201128,12.645995130344236,499.4844883093476,2:52:49
11200,-811806.5484021825,12.73071548029409,499.4844883093476,2:52:18
11300,-811777.3665458779,12.80641940935292,499.4844883093476,2:51:48
11400,-811743.4398908224,12.945301123335613,499.4844883093476,2:51:22
11500,-811732.1804053714,13.060127083231404,499.4844883093476,2:50:53
11600,-811720.2870626843,13.14195700977798,499.4844883093476,2:50:28
11700,-811681.6831815108,13.243099071015376,499.4844883093476,2:50:00
11800,-811649.4784976235,13.319534416933596,499.4844883093476,2:49:32
11900,-811603.1413210039,13.440083277031949,499.4844883093476,2:49:09
12000,-811607.7687516676,13.608428060768034,499.4844883093476,2:48:42
12100,-811559.5875941156,13.675656572675715,499.4844883093476,2:48:19
12200,-811555.086739456,13.808050422840685,499.4844883093476,2:47:53
12300,-811470.5532123358,13.892275985941383,499.4844883093476,2:47:27
12400,-811427.8087016181,14.06853875556818,499.4844883093476,2:47:06
12500,-811435.6202435489,14.295335139302907,499.4844883093476,2:46:41
12600,-811370.2877027346,14.420225337024652,499.4844883093476,2:46:20
12700,-811303.7761598653,14.45926836239446,499.4844883093476,2:45:56
12800,-811271.0659040387,14.525113907792695,499.4844883093476,2:45:32
12900,-811255.0812380919,14.671272888361955,499.4844883093476,2:45:12
13000,-811274.3659440516,14.925065049184655,499.4844883093476,2:44:50
13100,-811289.2981017521,15.069734120556953,499.4844883093476,2:44:27
13200,-811243.2354646157,15.173247263461834,499.4844883093476,2:44:08
13300,-811182.3877702814,15.286655919488634,499.4844883093476,2:43:46
13400,-811130.603913697,15.272128411664697,499.4844883093476,2:43:28
13500,-811102.5494237342,15.37668857859396,499.4844883093476,2:43:07
13600,-811133.6428641081,15.592489992096786,499.4844883093476,2:42:46
13700,-811085.6730887266,15.704927666684403,499.4844883093476,2:42:29
13800,-811043.2498651501,15.808839610383314,499.4844883093476,2:42:08
13900,-811023.2884801256,16.00250267227514,499.4844883093476,2:41:52
14000,-810966.7606423595,16.05825063707487,499.4844883093476,2:41:32
14100,-810965.3917480588,16.20851127277672,499.4844883093476,2:41:12
14200,-811002.9279864389,16.364659931561828,499.4844883093476,2:40:56
14300,-810969.3478824405,16.441282866397042,499.4844883093476,2:40:37
14400,-810935.5496487748,16.49469625034411,499.4844883093476,2:40:22
14500,-810910.2733494388,16.6395887386702,499.4844883093476,2:40:03
14600,-810871.9578384766,16.730440515203846,499.4844883093476,2:39:44
14700,-810887.5477486635,16.992922292514784,499.4844883093476,2:39:30
14800,-810877.043480183,17.067775541010228,499.4844883093476,2:39:12
14900,-810840.2525501864,17.079116957465153,499.4844883093476,2:38:58
15000,-810823.0687898637,17.24405145729517,499.4844883093476,2:38:40
15100,-810819.3671985422,17.343434698689432,499.4844883093476,2:38:23
15200,-810804.0702922216,17.396956283978696,499.4844883093476,2:38:09
15300,-810766.5804901351,17.54840027560264,499.4844883093476,2:37:54
15400,-810678.5459274219,17.544152209088846,499.4844883093476,2:37:41
15500,-810657.1529429599,17.763807738890996,499.4844883093476,2:37:25
15600,-810658.3495471447,17.89527313171402,499.4844883093476,2:37:09
15700,-810633.8843340687,18.08168036999461,499.4844883093476,2:36:56
15800,-810610.8023531013,18.180711487978755,499.4844883093476,2:36:41
15900,-810549.6640255149,18.243222987066083,499.4844883093476,2:36:29
16000,-810574.2996975274,18.38947184234058,499.4844883093476,2:36:36
16100,-810588.5392559874,18.66125700636595,499.4844883093476,2:36:21
16200,-810524.9781887643,18.655077868135642,499.4844883093476,2:36:09
16300,-810503.5920377192,18.726704078386682,499.4844883093476,2:35:54
16400,-810505.0435660407,18.98922910146452,499.4844883093476,2:35:43
16500,-810410.0676039981,18.88477789251204,499.4844883093476,2:35:28
16600,-810453.1139127959,19.177014163660576,499.4844883093476,2:35:14
16700,-810382.3161699227,19.26601116337034,499.4844883093476,2:35:03
16800,-810372.2696910673,19.42687530651525,499.4844883093476,2:34:50
16900,-810337.2618303418,19.400987665456356,499.4844883093476,2:34:39
17000,-810409.8316869582,19.468093014135416,499.4844883093476,2:34:25
17100,-810357.3618484158,19.612016114857894,499.4844883093476,2:34:11
17200,-810346.5094520184,19.839544668357156,499.4844883093476,2:34:01
17300,-810275.6890222346,19.83576973885612,499.4844883093476,2:33:48
17400,-810231.8875184632,19.928981290670894,499.4844883093476,2:33:38
17500,-810269.8291555219,20.095856258940945,499.4844883093476,2:33:25
17600,-810207.2324142093,20.366066252935767,499.4844883093476,2:33:12
17700,-810179.551948382,20.447519315477866,499.4844883093476,2:33:03
17800,-810168.6381280136,20.584711560362408,499.4844883093476,2:32:50
17900,-810117.8442462732,20.612815577772984,499.4844883093476,2:32:41
18000,-810096.9229713148,20.76260879173251,499.4844883093476,2:32:28
18100,-810041.7057327079,20.960301162239453,499.4844883093476,2:32:16
18200,-809990.1346741342,20.9306112537069,499.4844883093476,2:32:07
18300,-810022.7025775921,21.236193686337906,499.4844883093476,2:31:56
18400,-809945.9958242271,21.399454871368714,499.4844883093476,2:31:47
18500,-809951.1908753912,21.515417841589596,499.4844883093476,2:31:35
18600,-809881.8136607674,21.532540859576685,499.4844883093476,2:31:24
18700,-809889.3880469007,21.790703745715078,499.4844883093476,2:31:15
18800,-809847.0195378689,21.945764744307002,499.4844883093476,2:31:04
18900,-809877.1272612594,22.16523990510756,499.4844883093476,2:30:55
19000,-809820.8668997956,22.16942333741248,499.4844883093476,2:30:44
19100,-809780.4118411215,22.170956821728236,499.4844883093476,2:30:33
19200,-809848.9784006507,22.390329153894722,499.4844883093476,2:30:25
19300,-809775.2605178356,22.289001973934898,499.4844883093476,2:30:15
19400,-809810.9028997035,22.351560512660882,499.4844883093476,2:30:07
19500,-809754.2104183808,22.447568129584695,499.4844883093476,2:29:57
19600,-809760.4057868938,22.530149417240303,499.4844883093476,2:29:46
19700,-809688.7501844428,22.67672746357332,499.4844883093476,2:29:39
19800,-809630.4515870404,22.7870644885447,499.4844883093476,2:29:29
19900,-809567.8728121731,23.047197084602224,499.4844883093476,2:29:21
20000,-809564.5198167819,23.165092699247257,499.4844883093476,2:29:11
20100,-809547.6935427554,23.39318246726837,499.4844883093476,2:29:01
20200,-809536.0735042,23.389166312749733,499.4844883093476,2:28:54
20300,-809442.1715140543,23.276756005652246,499.4844883093476,2:28:45
20400,-809525.4221336714,23.625269659980308,499.4844883093476,2:28:37
20500,-809494.6578243449,23.717619211072375,499.4844883093476,2:28:28
20600,-809502.1547308345,23.952658987334125,499.4844883093476,2:28:19
20700,-809414.6718908274,23.89319075294714,499.4844883093476,2:28:12
20800,-809372.0485750819,24.21426396757786,499.4844883093476,2:28:03
20900,-809318.2876883615,24.217121786747754,499.4844883093476,2:27:56
21000,-809287.231220477,24.40382501625613,499.4844883093476,2:27:47
21100,-809258.1368235569,24.53100235430201,499.4844883093476,2:27:38
21200,-809284.1407991168,24.784704020159182,499.4844883093476,2:27:31
21300,-809295.1135533636,24.867317883605487,499.4844883093476,2:27:23
21400,-809326.8655482593,24.960665059155914,499.4844883093476,2:27:16
21500,-809248.0268844748,24.995091639649146,499.4844883093476,2:27:08
21600,-809291.8127127839,25.249723677968344,499.4844883093476,2:27:00
21700,-809185.7380179479,25.09828450890287,499.4844883093476,2:26:53
21800,-809180.7218322549,25.402941223998553,499.4844883093476,2:26:45
21900,-809167.2747445952,25.449968142209887,499.4844883093476,2:26:39
22000,-809084.9024375661,25.571631243229053,499.4844883093476,2:26:30
22100,-809142.344832893,25.838181462032907,499.4844883093476,2:26:22
22200,-809111.7537126872,25.86453800000664,499.4844883093476,2:26:16
22300,-809074.8329587784,25.940761656232223,499.4844883093476,2:26:08
22400,-809112.446974718,26.1453692501608,499.4844883093476,2:26:03
22500,-809099.6279763884,26.263634675507255,499.4844883093476,2:25:56
22600,-809045.4854027738,26.43767304135727,499.4844883093476,2:25:48
22700,-809028.9135510367,26.58431919952289,499.4844883093476,2:25:42
22800,-808992.0517221931,26.78945662801406,499.4844883093476,2:25:35
22900,-808934.4204863263,26.79895551374644,499.4844883093476,2:25:29
23000,-808884.2040138496,26.72716566342019,499.4844883093476,2:25:22
23100,-808963.2010133856,26.910606256026178,499.4844883093476,2:25:14
23200,-808938.5884714045,26.897848136874952,499.4844883093476,2:25:09
23300,-809001.0433192644,27.108296839135026,499.4844883093476,2:25:02
23400,-808958.0567392097,27.32670658200408,499.4844883093476,2:24:57
23500,-808864.1382830141,27.08590466697841,499.4844883093476,2:24:49
23600,-808893.7176419967,27.352613620103003,499.4844883093476,2:24:42
23700,-808869.6068774483,27.516345184014522,499.4844883093476,2:24:37
23800,-808827.1615194278,27.68466687402355,499.4844883093476,2:24:30
23900,-808770.5164900492,27.652616974883326,499.4844883093476,2:24:25
24000,-808730.9239881043,27.734686544131385,499.4844883093476,2:24:18
24100,-808752.7338809692,28.036693792169498,499.4844883093476,2:24:11
24200,-808741.2597132267,28.16480939385155,499.4844883093476,2:24:06
24300,-808695.6643951987,28.226949090630384,499.4844883093476,2:24:00
24400,-808582.8872713305,28.278273057043346,499.4844883093476,2:23:55
24500,-808613.2116965179,28.547367381701612,499.4844883093476,2:23:48
24600,-808443.5176953482,28.283319798563447,499.4844883093476,2:23:42
24700,-808578.5095012127,28.92769283274176,499.4844883093476,2:23:37
24800,-808456.8762495378,28.785133024802132,499.4844883093476,2:23:30
24900,-808488.1083674831,28.94281101076976,499.4844883093476,2:23:26
25000,-808427.7931406675,29.101758065407946,499.4844883093476,2:23:20
25100,-808447.8288825264,29.294478601702863,499.4844883093476,2:23:13
25200,-808394.8149749776,29.492851751286413,499.4844883093476,2:23:09
25300,-808322.6657675607,29.5686385940418,499.4844883093476,2:23:03
25400,-808257.9737617539,29.62637619886604,499.4844883093476,2:22:57
25500,-808223.3392541376,29.63454584555785,499.4844883093476,2:22:52
25600,-808268.2997740507,29.799256058346913,499.4844883093476,2:22:46
25700,-808294.0915131811,30.004098920483646,499.4844883093476,2:22:42
25800,-808241.5334882645,30.02396478775411,499.4844883093476,2:22:36
25900,-808171.6263489567,30.023009656235207,499.4844883093476,2:22:30
26000,-808204.6397734466,30.242862076431017,499.4844883093476,2:22:26
26100,-808184.0193891414,30.319776459337348,499.4844883093476,2:22:20
26200,-808150.0325833373,30.36807538182683,499.4844883093476,2:22:16
26300,-808222.460259492,30.79030371425473,499.4844883093476,2:22:10
26400,-808097.5836611902,30.558902576869183,499.4844883093476,2:22:04
26500,-808028.4933740697,30.690747036378987,499.4844883093476,2:22:00
26600,-808024.8829110535,30.820926314418926,499.4844883093476,2:21:55
26700,-807978.0155639611,30.930054851182387,499.4844883093476,2:21:51
26800,-807981.4938849779,31.16405854634533,499.4844883093476,2:21:45
26900,-807983.0571768153,31.299434962101905,499.4844883093476,2:21:40
27000,-808005.563379884,31.44488992301489,499.4844883093476,2:21:36
27100,-808005.3488029903,31.530064356158842,499.4844883093476,2:21:31
27200,-807921.3973285654,31.36952417302983,499.4844883093476,2:21:27
27300,-807872.4339764724,31.546413695823755,499.4844883093476,2:21:21
27400,-807830.6350684934,31.826458018083212,499.4844883093476,2:21:16
27500,-807790.9934977435,32.161373487927456,499.4844883093476,2:21:12
27600,-807724.7336248048,32.03279549440645,499.4844883093476,2:21:07
27700,-807706.4401305001,32.16504400209957,499.4844883093476,2:21:03
27800,-807683.5569731374,32.26116092727523,499.4844883093476,2:20:58
27900,-807634.3785643019,32.427766663081556,499.4844883093476,2:20:53
28000,-807624.7762109267,32.700369474990275,499.4844883093476,2:20:50
28100,-807666.1062340913,32.76348601116174,499.4844883093476,2:20:44
28200,-807581.1744478131,32.77472738614309,499.4844883093476,2:20:41
28300,-807568.8787968971,32.91486138995259,499.4844883093476,2:20:36
28400,-807619.4080872373,33.13884880334372,499.4844883093476,2:20:31
28500,-807480.5527571533,32.96986258748473,499.4844883093476,2:20:28
28600,-807552.7752618871,33.29484994010108,499.4844883093476,2:20:23
28700,-807454.6090380596,33.36706357342908,499.4844883093476,2:20:19
28800,-807400.3520823263,33.64403012425373,499.4844883093476,2:20:15
28900,-807423.893453571,33.809442613640414,499.4844883093476,2:20:10
29000,-807437.726648673,33.873298518294334,499.4844883093476,2:20:07
29100,-807325.5316885009,33.87467747952377,499.4844883093476,2:20:02
29200,-807399.7101332154,34.06912747111513,499.4844883093476,2:19:59
29300,-807339.4860294485,34.07414571168271,499.4844883093476,2:19:54
29400,-807313.000867069,34.23002625080608,499.4844883093476,2:19:49
29500,-807331.4926470278,34.44519035292897,499.4844883093476,2:19:46
29600,-807228.6865067275,34.362696693190024,499.4844883093476,2:19:42
29700,-807252.6047347137,34.63286177849362,499.4844883093476,2:19:39
29800,-807260.7765339217,34.83302951688092,499.4844883093476,2:19:34
29900,-807166.4610436542,34.92103491606705,499.4844883093476,2:19:30
30000,-807154.0349222836,35.16742674685958,499.4844883093476,2:19:27
30100,-807138.0858221117,35.022789799961615,499.4844883093476,2:19:22
30200,-807221.3356779795,35.30110711181465,499.4844883093476,2:19:19
30300,-807121.9509140975,35.307755393326694,499.4844883093476,2:19:15
30400,-807153.5218911786,35.507010656286944,499.4844883093476,2:19:10
30500,-807009.550994209,35.60685790904665,499.4844883093476,2:19:08
30600,-807026.7758336389,35.59340330140233,499.4844883093476,2:19:03
30700,-807054.3596561439,35.823588238593324,499.4844883093476,2:19:00
30800,-807017.9786869525,35.864558026346245,499.4844883093476,2:18:56
30900,-806958.3558269292,35.7644056837693,499.4844883093476,2:18:52
31000,-806950.62572646,36.11942829619464,499.4844883093476,2:18:50
31100,-806832.4119278179,36.20845936509751,499.4844883093476,2:18:46
31200,-806854.8171555917,36.48135587521439,499.4844883093476,2:18:43
31300,-806772.1642962659,36.4032071357949,499.4844883093476,2:18:39
31400,-806760.7209965545,36.574465972242585,499.4844883093476,2:18:35
31500,-806783.0320753944,36.78822024693823,499.4844883093476,2:18:32
31600,-806767.7092729225,36.7700134318377,499.4844883093476,2:18:28
31700,-806726.5679238441,36.86675164543393,499.4844883093476,2:18:26
31800,-806759.201054614,37.017060347925785,499.4844883093476,2:18:22
31900,-806708.6674523153,37.194533488716345,499.4844883093476,2:18:17
32000,-806673.8860606751,37.32508748418779,499.4844883093476,2:18:15
32100,-806574.9814938218,37.16909220484917,499.4844883093476,2:18:11
32200,-806712.6677110996,37.52959947460177,499.4844883093476,2:18:09
32300,-806594.635153184,37.30745793263259,499.4844883093476,2:18:05
32400,-806661.323097609,37.855419108616495,499.4844883093476,2:18:01
32500,-806560.8940612243,37.93445377675483,499.4844883093476,2:17:59
32600,-806412.7480667634,37.83448732192025,499.4844883093476,2:17:55
32700,-806497.6048467434,38.141150591494274,499.4844883093476,2:17:52
32800,-806444.0484794611,38.28501531198577,499.4844883093476,2:17:49
32900,-806375.753145243,38.38501937966681,499.4844883093476,2:17:45
33000,-806414.8918961117,38.51367378207037,499.4844883093476,2:17:43
33100,-806308.3330371361,38.52736006019832,499.4844883093476,2:17:39
33200,-806324.2657256776,38.87746287717596,499.4844883093476,2:17:37
33300,-806295.604268872,38.82526766638931,499.4844883093476,2:17:33
33400,-806190.2066880222,38.88572193206474,499.4844883093476,2:17:29
33500,-806323.4927015039,39.295874252442935,499.4844883093476,2:17:27
33600,-806207.5007059169,39.20947638468507,499.4844883093476,2:17:23
33700,-806078.6129183618,39.13973829990989,499.4844883093476,2:17:21
33800,-806154.5129351593,39.54753275886576,499.4844883093476,2:17:18
33900,-806051.697270202,39.57456419063331,499.4844883093476,2:17:14
34000,-806031.4161144781,39.72426242293285,499.4844883093476,2:17:12
34100,-806082.2052498907,39.8290973850431,499.4844883093476,2:17:09
34200,-806117.7633045567,40.07920720546518,499.4844883093476,2:17:07
34300,-806017.4355889433,40.06761789522027,499.4844883093476,2:17:03
34400,-805984.9516963142,40.206037147677904,499.4844883093476,2:17:00
34500,-806003.1347555281,40.07439673624894,499.4844883093476,2:16:58
34600,-806019.4866526497,40.23192291563261,499.4844883093476,2:16:54
34700,-806063.0735810846,40.1997632234808,499.4844883093476,2:16:52
34800,-806005.3384757319,40.470147762785906,499.4844883093476,2:16:49
34900,-805917.4615338917,40.50705552430744,499.4844883093476,2:16:45
35000,-805982.0333847972,40.93926974831525,499.4844883093476,2:16:43
35100,-805904.0700396448,41.10835706822472,499.4844883093476,2:16:40
35200,-805782.2567054266,41.05385700247781,499.4844883093476,2:16:38
35300,-805772.6271908847,41.191458153347455,499.4844883093476,2:16:35
